,RSL1D1 (26156)
ACH-000004,-1.2272191634799998
ACH-000007,-1.28182234003
ACH-000009,-1.32820720658
ACH-000011,-0.938452413177
ACH-000012,-1.24269095945
ACH-000013,-1.50870222422
ACH-000014,-1.4662745812
ACH-000015,-1.26584929118
ACH-000017,-1.00438635648
ACH-000018,-1.64919746153
ACH-000019,-1.4091709666
ACH-000021,-1.13566993019
ACH-000022,-1.45634649708
ACH-000025,-1.15875781502
ACH-000028,-1.2027188978
ACH-000030,-1.1756351089000001
ACH-000035,-1.22037431998
ACH-000036,-1.31397705735
ACH-000037,-0.5938157871540001
ACH-000039,-1.0794920324600001
ACH-000040,-1.19830172126
ACH-000041,-1.28840574264
ACH-000042,-1.14247834239
ACH-000045,-1.2131724503799999
ACH-000047,-1.0688665445999999
ACH-000052,-1.29219791631
ACH-000053,-1.0040969479700002
ACH-000054,-1.22702391249
ACH-000055,-1.3125600642200002
ACH-000060,-1.1179128124700002
ACH-000067,-1.5261634312299999
ACH-000070,-1.47723351449
ACH-000075,-1.20791343953
ACH-000078,-1.50235463115
ACH-000082,-1.32120591775
ACH-000085,-1.2005342575700002
ACH-000086,-1.26644083677
ACH-000087,-1.21102216854
ACH-000092,-1.2479597038899999
ACH-000095,-1.39392588382
ACH-000097,-1.30822231929
ACH-000098,-1.2210976743200002
ACH-000099,-1.3748383456
ACH-000108,-1.29698934287
ACH-000113,-1.2352398723
ACH-000115,-1.3091094987799998
ACH-000116,-1.2108074192
ACH-000118,-1.16223835019
ACH-000120,-1.4056927500799998
ACH-000123,-1.0587911989399998
ACH-000127,-1.39061385676
ACH-000128,-1.62498107875
ACH-000132,-1.4604539853
ACH-000133,-1.20617417411
ACH-000137,-1.25411257089
ACH-000138,-1.35539077949
ACH-000142,-1.4448558980300001
ACH-000143,-1.28587727479
ACH-000146,-1.2353699001799998
ACH-000148,-1.3439889222299999
ACH-000150,-1.34905673549
ACH-000152,-1.10000728017
ACH-000153,-1.2929875672
ACH-000159,-1.45104968926
ACH-000160,-1.50834635605
ACH-000163,-1.09218041477
ACH-000167,-1.42510796391
ACH-000168,-1.0893034669
ACH-000169,-1.38163402645
ACH-000178,-1.23311623983
ACH-000182,-1.14367280639
ACH-000183,-1.3842944838999998
ACH-000188,-1.21788775767
ACH-000189,-1.20647020996
ACH-000190,-1.19092860232
ACH-000198,-1.23742699494
ACH-000204,-1.27293264618
ACH-000206,-1.3192068482100001
ACH-000207,-1.2968126997299998
ACH-000211,-1.1673532926999999
ACH-000215,-1.55212396107
ACH-000221,-1.30146604547
ACH-000222,-1.06594024626
ACH-000223,-1.33257322627
ACH-000226,-1.1431981978899999
ACH-000227,-1.51134186644
ACH-000228,-1.0741204832100002
ACH-000231,-1.30603819335
ACH-000232,-1.4357222989200003
ACH-000233,-1.10925060917
ACH-000234,-1.25168133899
ACH-000235,-1.1531907428000001
ACH-000237,-1.3844193682700001
