,TCEB3B (51224)
ACH-000004,0.277943324702
ACH-000007,-0.0102564148023
ACH-000009,-0.29451588479
ACH-000011,-0.196416002896
ACH-000012,-0.09213996248089999
ACH-000013,-0.180448029956
ACH-000014,-0.275481360325
ACH-000015,-0.09859126908119999
ACH-000017,-0.0203316657954
ACH-000018,-0.36276681370999997
ACH-000019,0.07382200625230001
ACH-000021,-0.08416634396119999
ACH-000022,-0.0494401056171
ACH-000025,-0.19307006311
ACH-000028,-0.28091879728700003
ACH-000030,-0.174607675281
ACH-000035,0.188571628527
ACH-000036,-0.0496423047432
ACH-000037,-0.0759634917475
ACH-000039,-0.120042427617
ACH-000040,-0.200349438387
ACH-000041,-0.0568490403189
ACH-000042,-0.230015170298
ACH-000045,-0.280673244014
ACH-000047,-0.10477760189600001
ACH-000052,0.249633967325
ACH-000053,0.202693513411
ACH-000054,-0.202076706549
ACH-000055,-0.10056918792899999
ACH-000060,-0.0614044107503
ACH-000067,-0.0362626362833
ACH-000070,-0.229956890335
ACH-000075,-0.28288739995900003
ACH-000078,-0.153862259406
ACH-000082,-0.019066113941799998
ACH-000085,-0.45349308402599997
ACH-000086,-0.043869009031100005
ACH-000087,0.104732499196
ACH-000092,0.0011239383774
ACH-000095,-0.0855768241946
ACH-000097,-0.09128255674249999
ACH-000098,-0.0574672950784
ACH-000099,-0.0216246166317
ACH-000108,-0.10182704757899999
ACH-000113,-0.18248347780299998
ACH-000115,-0.151588891403
ACH-000116,-0.18486957966499998
ACH-000118,-0.07325457151789999
ACH-000120,-0.07077623505460001
ACH-000123,-0.045086031952099995
ACH-000127,-0.194966651169
ACH-000128,-0.09067224544050001
ACH-000132,-0.263951363498
ACH-000133,0.20928888602899998
ACH-000137,-0.055485477768599994
ACH-000138,-0.40064297830799994
ACH-000142,-0.11760136041500001
ACH-000143,-0.287211063185
ACH-000146,-0.05025041343230001
ACH-000148,0.08008737300869999
ACH-000150,0.221671789552
ACH-000152,0.0961781298453
ACH-000153,0.038496789161900004
ACH-000159,-0.15080119368
ACH-000160,-0.0361166061203
ACH-000163,0.0413394484793
ACH-000167,0.057012235309699996
ACH-000168,-0.12384058593
ACH-000169,-0.08852635958100001
ACH-000178,-0.0453705750421
ACH-000182,-0.23022509299000002
ACH-000183,0.0246543353038
ACH-000188,-0.11555059649499999
ACH-000189,0.11157049222200001
ACH-000190,-0.14458920682600002
ACH-000198,-0.0464222520828
ACH-000204,-0.0007222372247899999
ACH-000206,-0.123978532737
ACH-000207,-0.170889144486
ACH-000211,-0.0468651930387
ACH-000215,-0.0412295365223
ACH-000221,-0.21743947214200002
ACH-000222,-0.044833095584000004
ACH-000223,-0.304586641778
ACH-000226,0.00320454688981
ACH-000227,-0.199965516454
ACH-000228,-0.195650741176
ACH-000231,0.009629155919790001
ACH-000232,-0.0750157608296
ACH-000233,-0.133561993616
ACH-000234,-0.08540830798869999
ACH-000235,-0.18020651600600002
ACH-000237,-0.180556121545
ACH-000238,-0.0629986659065
ACH-000243,-0.0303872931322
ACH-000244,-0.39996444368100004
ACH-000246,-0.21141296230300002
ACH-000248,-0.193325477181
ACH-000250,-0.0988194687855
ACH-000251,0.00438760589697
ACH-000253,-0.039519872908699995
ACH-000255,-0.0072596763485399994
ACH-000256,-0.168204221624
ACH-000257,-0.282286105244
ACH-000258,-0.0398858802406
ACH-000259,-0.218529129747
ACH-000260,-0.006802717243879999
ACH-000261,-0.237366801459
ACH-000262,-0.11873254012800001
ACH-000263,-0.235900645794
ACH-000264,0.0153897377883
ACH-000265,-0.134805830632
ACH-000266,-0.216428310986
ACH-000272,-0.0746703737162
ACH-000273,-0.205786201187
ACH-000274,-0.206549424354
ACH-000277,-0.0158865677291
ACH-000278,-0.0342591364498
ACH-000279,-0.206021583669
ACH-000280,-0.218706878854
ACH-000281,-0.1720244019
ACH-000288,0.0155943867441
ACH-000291,-0.136384318643
ACH-000293,-0.19754580068
ACH-000294,0.09639921468860001
ACH-000295,-4.26276424396e-06
ACH-000296,0.027323616812299997
ACH-000302,-0.233255528098
ACH-000304,-0.125578621635
ACH-000307,-0.111701061037
ACH-000308,-0.197195734978
ACH-000310,-0.234527134756
ACH-000311,-0.345840028955
ACH-000312,-0.26659518577799995
ACH-000315,0.13505217117
ACH-000316,-0.14279515988500002
ACH-000317,-0.0564777247977
ACH-000318,-0.027819957626799997
ACH-000319,-0.14308128018400001
ACH-000320,-0.38934800304
ACH-000322,-0.0935746828051
ACH-000323,-0.125302071914
ACH-000324,-0.0860592190924
ACH-000329,-0.025394170373800002
