,ANP32D (23519)
ACH-000004,-0.13018451128
ACH-000007,0.00526511932088
ACH-000009,-0.124806106937
ACH-000011,-0.11891413158500001
ACH-000012,0.03700905625
ACH-000013,-0.203367592686
ACH-000014,0.07037843981019999
ACH-000015,-0.14428118010399998
ACH-000017,-0.246388866717
ACH-000018,-0.276912577713
ACH-000019,-0.09197479713310001
ACH-000021,0.000743630308617
ACH-000022,-0.049821500288199996
ACH-000025,-0.09156839306339999
ACH-000028,-0.10256808420499999
ACH-000030,-0.044381278120400006
ACH-000035,0.06199274766969999
ACH-000036,0.114576576404
ACH-000037,-0.07132137961839999
ACH-000039,-0.101744177891
ACH-000040,-0.104889875886
ACH-000041,0.12842882606
ACH-000042,0.000842514514571
ACH-000045,0.0293997670212
ACH-000047,-0.0292171267007
ACH-000052,-0.08854558377119999
ACH-000053,-0.030705745322699998
ACH-000054,0.046574476129300005
ACH-000055,0.0515959762608
ACH-000060,0.20001986718800002
ACH-000067,-0.263215579115
ACH-000070,0.11444543069499999
ACH-000075,-0.0353434965684
ACH-000078,0.054409282858899996
ACH-000082,-0.014478767016799999
ACH-000085,-0.125753362528
ACH-000086,-0.31414288377099997
ACH-000087,-0.146872203743
ACH-000092,0.0507104584845
ACH-000095,-0.054957304075600004
ACH-000097,-0.0933937662053
ACH-000098,-0.0294814649968
ACH-000099,0.11645188369699999
ACH-000108,0.04267093820640001
ACH-000113,-0.16292332128599998
ACH-000115,-0.121975607544
ACH-000116,0.00103934363848
ACH-000118,-0.06231061983519999
ACH-000120,-0.0213893584219
ACH-000123,-0.049642036914300004
ACH-000127,-0.023785153242099996
ACH-000128,-0.0203089029815
ACH-000132,0.0157378016249
ACH-000133,0.00748433194824
ACH-000137,-0.18829106871100001
ACH-000138,-0.0963670254146
ACH-000142,0.008594791891919999
ACH-000143,-0.0951391855906
ACH-000146,-0.11441230019099999
ACH-000148,-0.077342582638
ACH-000150,-0.21021175675599998
ACH-000152,-0.11920589552100001
ACH-000153,-0.048710862847600005
ACH-000159,0.112877667508
ACH-000160,-0.229950681839
ACH-000163,-0.032862976083200005
ACH-000167,-0.173959137722
ACH-000168,0.18820066896600002
