,RAET1L (154064)
ACH-000004,-0.0759614380153
ACH-000007,-0.045596290750799996
ACH-000009,0.158257577302
ACH-000011,-0.0719213972603
ACH-000012,-0.026078682995
ACH-000013,0.037484756423400004
ACH-000014,-0.10017993512199999
ACH-000015,0.12604541916200002
ACH-000017,-0.11464211045999999
ACH-000018,0.0440717418468
ACH-000019,-0.0008364909660710002
ACH-000021,-0.323497687803
ACH-000022,-0.024471268688699997
ACH-000025,0.06451804359230001
ACH-000028,0.226025185581
ACH-000030,-0.09900748703230002
ACH-000035,-0.14557302295
ACH-000036,-0.14332516211899998
ACH-000037,-0.0193773695762
ACH-000039,0.067271257069
ACH-000040,-0.273817576474
ACH-000041,-0.186561200769
ACH-000042,-0.07126406161860001
ACH-000045,0.142941018665
ACH-000047,-0.019641711960400002
ACH-000052,0.14617253598
ACH-000053,-0.0113081046563
ACH-000054,-0.180557121582
ACH-000055,0.087193180242
ACH-000060,-0.00970569334003
ACH-000067,-0.0037664580513600003
ACH-000070,-0.200612458806
ACH-000075,-0.272435142354
ACH-000078,-0.33255221268
ACH-000082,-0.151365170361
ACH-000085,-0.0322109841464
ACH-000086,0.0036824380836500002
ACH-000087,0.00728072330053
ACH-000092,-0.17254773406399998
ACH-000095,-0.295881648316
ACH-000097,-0.0657706402768
ACH-000098,-0.045301302456900006
ACH-000099,-0.0067443632198200005
ACH-000108,-0.010946932490600001
ACH-000113,-0.0809841832445
ACH-000115,-0.150712611216
ACH-000116,-0.10056693246500001
ACH-000118,-0.0641837333719
ACH-000120,-0.0177808294765
ACH-000123,0.027733823677400002
ACH-000127,-0.163845966629
ACH-000128,-0.175519800742
ACH-000132,-0.0261178758727
ACH-000133,-0.00644597744647
ACH-000137,-0.025070381150599997
ACH-000138,0.0011263857733399998
ACH-000142,-0.163501086189
ACH-000143,-0.166389689706
ACH-000146,-0.115391547831
ACH-000148,0.0611714673147
ACH-000150,0.04771521009330001
ACH-000152,0.146766515943
ACH-000153,-0.207718471689
ACH-000159,-0.18109499132100002
ACH-000160,-0.023021543970300002
ACH-000163,0.07663115782760001
ACH-000167,0.36161273995899995
ACH-000168,-0.0664611265255
ACH-000169,-0.10520237947000001
ACH-000178,-0.0272848841109
ACH-000182,-0.0228140953508
ACH-000183,0.044967454310599994
ACH-000188,-0.128741925831
ACH-000189,-0.12830893893200002
ACH-000190,-0.09786599684429999
ACH-000198,-0.155630600851
ACH-000204,0.261447898143
ACH-000206,-0.0629259890266
ACH-000207,0.0813643098935
ACH-000211,-0.09281024468110001
ACH-000215,-0.014847157085400001
ACH-000221,0.0484232717518
ACH-000222,0.0234583973734
ACH-000223,-0.00712471230423
ACH-000226,-0.07035350268610001
ACH-000227,0.0588893103075
ACH-000228,0.182916012633
ACH-000231,-0.0186402767
ACH-000232,-0.0570408014282
ACH-000233,0.06989475982160001
ACH-000234,0.038059855142
ACH-000235,-0.145154730462
ACH-000237,-0.33416236147399997
ACH-000238,-0.242389933508
ACH-000243,-0.0429845952102
ACH-000244,-0.126843884105
ACH-000246,-0.08486440008950001
ACH-000248,0.13522666245999998
ACH-000250,-0.148639635489
ACH-000251,-0.35192846540100003
ACH-000253,-0.0585056780683
ACH-000255,-0.0405803341302
ACH-000256,-0.097882280895
ACH-000257,0.029178098327999998
ACH-000258,0.318447670339
ACH-000259,-0.153843793144
ACH-000260,0.053365966393300004
ACH-000261,-0.20116356204500002
ACH-000262,-0.171065620449
ACH-000263,-0.09055837375150001
ACH-000264,-0.0590614394404
ACH-000265,0.011639905885199999
ACH-000266,-0.202125295677
ACH-000272,-0.152063085053
ACH-000273,-0.368620108793
ACH-000274,-0.180784319948
ACH-000277,0.0978352837399
ACH-000278,-0.118857686381
ACH-000279,-0.120437005227
ACH-000280,0.064215105683
ACH-000281,0.160681979388
ACH-000288,-0.0570356676251
ACH-000291,0.108181172881
ACH-000293,0.208690062834
ACH-000294,-0.00300649628398
ACH-000295,0.184817283074
ACH-000296,0.00394948871466
ACH-000302,0.045494281470599994
ACH-000304,-0.740627130886
ACH-000307,0.00334811411189
ACH-000308,0.0035536554827700004
ACH-000310,-0.310760330917
ACH-000311,0.027982931792599995
ACH-000312,-0.18107467862100002
ACH-000315,0.0934336841398
ACH-000316,-0.0921790042796
ACH-000317,-0.118577054431
ACH-000318,0.128573182206
ACH-000319,-0.0224492937701
ACH-000320,-0.470063468681
ACH-000322,0.029582759708799998
ACH-000323,0.046109489022399995
ACH-000324,0.0576726897731
ACH-000329,-0.184686959008
ACH-000330,-0.219894352011
ACH-000331,-0.09404838215269999
ACH-000332,-0.159447257465
ACH-000334,0.138838719708
ACH-000335,0.00121361459333
ACH-000336,0.21145575093199998
ACH-000337,0.189325135052
ACH-000339,-0.06660001679269999
ACH-000341,-0.124153105907
ACH-000348,-0.11755217450300001
ACH-000350,-0.016494530066
ACH-000352,-0.11408958473200001
ACH-000356,0.205690119852
ACH-000361,0.07650791945430001
ACH-000362,-0.0887909740148
ACH-000363,-0.0199974789687
ACH-000364,0.053815239273499994
ACH-000365,0.059057651773499996
ACH-000366,-0.108534814585
ACH-000368,-0.0636845432245
ACH-000374,0.115714291199
ACH-000375,-0.028440851527200002
ACH-000376,-0.0783400253787
