,LIPK (643414)
ACH-000004,0.0355223079489
ACH-000007,0.0564433526535
ACH-000009,0.009337943721540001
ACH-000011,-0.0692152848026
ACH-000012,0.136788803384
ACH-000013,0.0686818662151
ACH-000014,0.147352028622
ACH-000015,0.0393385889352
ACH-000017,0.0023189758581599997
ACH-000018,0.13413982634299998
ACH-000019,-0.013096552067
ACH-000021,0.0186102798083
ACH-000022,-0.0323280660874
ACH-000025,-0.29282164441999997
ACH-000028,-0.0355947023712
ACH-000030,-0.042817184695199996
ACH-000035,-0.07558709737380001
ACH-000036,0.0107910202404
ACH-000037,0.0840245627303
ACH-000039,-0.09543353107920001
ACH-000040,0.154539676422
ACH-000041,-0.0508878323339
ACH-000042,-0.163300756873
ACH-000045,-0.126590809701
ACH-000047,-0.09199038523489998
ACH-000052,-0.0633759379654
ACH-000053,-0.005961606949270001
ACH-000054,0.0659960461307
ACH-000055,-0.14671180556299998
ACH-000060,-0.133682095354
ACH-000067,0.134979096274
ACH-000070,-0.0420036900046
ACH-000075,0.106041075143
ACH-000078,-0.113760594543
ACH-000082,0.00779628119051
ACH-000085,0.0319695359422
ACH-000086,-0.199380713794
ACH-000087,-0.035423024522
ACH-000092,0.14329638809599998
ACH-000095,-0.0565365482056
ACH-000097,-0.011157526389200001
ACH-000098,0.034406155037
ACH-000099,0.025974933809599997
ACH-000108,-0.0509206655771
ACH-000113,0.0363916319226
ACH-000115,-0.13429499692299998
ACH-000116,0.00731414753223
ACH-000118,-0.10041131389
ACH-000120,0.00516660535525
ACH-000123,0.102868133739
ACH-000127,-0.101199829186
ACH-000128,0.000458741515149
ACH-000132,-0.09079776280780001
ACH-000133,-0.184270449703
ACH-000137,0.04860950025619999
ACH-000138,0.18416988763300002
ACH-000142,0.167517140064
ACH-000143,-0.0620646020015
ACH-000146,-0.00547084838075
ACH-000148,0.0049745034568500004
ACH-000150,-0.00486560426325
ACH-000152,-0.1168119947
ACH-000153,0.0948473861511
ACH-000159,0.0352820560458
ACH-000160,-0.16431141767000002
ACH-000163,0.0185615190462
ACH-000167,-0.195561348206
ACH-000168,-0.19763414669799997
ACH-000169,-0.0538278540548
ACH-000178,-0.059781182248099994
ACH-000182,-0.052430112166099996
ACH-000183,-0.152170829745
ACH-000188,0.038179329063
ACH-000189,0.356008108939
ACH-000190,0.00742780844887
ACH-000198,-0.09740047794989999
ACH-000204,-0.19306945965300001
ACH-000206,0.0226225603252
ACH-000207,0.0821279882172
ACH-000211,-0.0444850285995
ACH-000215,-0.040965359446499996
