,BET1L (51272)
ACH-000004,-0.07009178741660001
ACH-000007,-0.18900440521200002
ACH-000009,-0.113902545838
ACH-000011,-0.0146375854266
ACH-000012,-0.013080727145
ACH-000013,0.0346291742948
ACH-000014,0.127572108145
ACH-000015,-0.0748999901437
ACH-000017,0.0120819234076
ACH-000018,-0.300883954441
ACH-000019,0.12152493180400001
ACH-000021,-0.0164644506581
ACH-000022,-0.08608164603679999
ACH-000025,-0.09401055343919999
ACH-000028,-0.109467828911
ACH-000030,-0.0926630152383
ACH-000035,-0.17045608251400002
ACH-000036,-0.334232520564
ACH-000037,-0.32487412546
ACH-000039,-0.08579541573889998
ACH-000040,-0.19188515576600002
ACH-000041,-0.37271802647
ACH-000042,-0.17729075547400003
ACH-000045,-0.107338273147
ACH-000047,-0.204938339463
ACH-000052,0.261296197816
ACH-000053,-0.0839009947759
ACH-000054,-0.275786593714
ACH-000055,0.115760744303
ACH-000060,-0.15396836285499998
ACH-000067,-0.184558757925
ACH-000070,-0.23628187930199998
ACH-000075,-0.698508290412
ACH-000078,-0.548985443464
ACH-000082,-0.24099519860500002
ACH-000085,-0.427450897185
ACH-000086,-0.306136524212
ACH-000087,0.104553786302
ACH-000092,-0.0034576458841999998
ACH-000095,-0.0790586906675
ACH-000097,0.04453223695780001
ACH-000098,-0.0847790264249
ACH-000099,-0.296581978979
ACH-000108,-0.21596299116700002
ACH-000113,-0.102643310424
ACH-000115,-0.0961197526121
ACH-000116,-0.200904233375
ACH-000118,-0.15275714985400002
ACH-000120,-0.273460541465
ACH-000123,-0.230697531466
ACH-000127,-0.108494408189
ACH-000128,-0.0781464379778
ACH-000132,0.00411707725822
ACH-000133,-0.0028188564018200002
ACH-000137,-0.24807640074099999
ACH-000138,-0.338867119299
ACH-000142,-0.120203596646
ACH-000143,-0.34876020380500006
ACH-000146,-0.016877520651
ACH-000148,-0.194737767439
ACH-000150,-0.156255913912
ACH-000152,-0.282173166937
ACH-000153,-0.17776911203899998
ACH-000159,-0.105114130384
ACH-000160,-0.167014080816
ACH-000163,-0.159156077758
ACH-000167,-0.180079522725
ACH-000168,-0.178478837036
ACH-000169,-0.208114364009
ACH-000178,-0.238634107694
ACH-000182,0.0130978636781
ACH-000183,-0.218053460076
ACH-000188,-0.0297029398749
ACH-000189,-0.327924560933
ACH-000190,-0.202245242767
ACH-000198,-0.234981405458
ACH-000204,-0.0311786215601
ACH-000206,-0.180696518096
ACH-000207,-0.09310211048839999
ACH-000211,-0.0701331771188
ACH-000215,-0.0825060065031
ACH-000221,-0.0768334759188
ACH-000222,-0.267647327986
ACH-000223,-0.0849388950453
ACH-000226,0.032490038510099996
ACH-000227,-0.230835117726
ACH-000228,-0.0828855467127
ACH-000231,-0.16418210196900002
ACH-000232,0.0421605447622
ACH-000233,-0.264280705472
ACH-000234,-0.24747387682900002
ACH-000235,-0.254800525951
ACH-000237,-0.12389413911800001
ACH-000238,-0.213422186606
ACH-000243,-0.0476433323867
ACH-000244,0.105298918412
ACH-000246,-0.22292365271899997
ACH-000248,-0.10612576099300002
ACH-000250,-0.209616362474
ACH-000251,0.051458805729900005
ACH-000253,-0.199708609106
ACH-000255,-0.049157468514099995
ACH-000256,-0.12940652886499998
ACH-000257,-0.42546707074900003
ACH-000258,-0.23594322639600002
ACH-000259,-0.229190926769
ACH-000260,-0.218728943219
ACH-000261,-0.24315054262299998
ACH-000262,-0.17335013017700002
ACH-000263,-0.243219099232
ACH-000264,-0.362843468993
ACH-000265,0.0960394200077
ACH-000266,-0.232789388155
ACH-000272,-0.27604043038000003
ACH-000273,-0.17460581454100002
ACH-000274,-0.0985798551894
ACH-000277,-0.264584890272
ACH-000278,-0.269638764155
ACH-000279,-0.222030518831
ACH-000280,-0.121797777303
ACH-000281,-0.526778036513
ACH-000288,-0.267500295099
ACH-000291,-0.194507922958
ACH-000293,-0.05046292180919999
ACH-000294,-0.037243781506300006
ACH-000295,-0.209436239659
ACH-000296,-0.12877081751
ACH-000302,-0.183879722362
ACH-000304,-0.11656666462300001
ACH-000307,-0.122184715747
ACH-000308,-0.179579077221
ACH-000310,-0.11172817314899999
ACH-000311,-0.056119140455300004
ACH-000312,-0.322010322655
ACH-000315,-0.5387303936
ACH-000316,-0.400373493936
ACH-000317,-0.082181685048
ACH-000318,-0.204051392542
ACH-000319,-0.43049020348800004
ACH-000320,-0.143340947393
ACH-000322,0.019894090044599997
ACH-000323,-0.0663264610361
ACH-000324,-0.21183984463199998
ACH-000329,-0.232880908576
ACH-000330,-0.245721771901
ACH-000331,-0.07526262734
ACH-000332,-0.157635828885
ACH-000334,-0.153776867475
ACH-000335,0.0712618846981
ACH-000336,-0.570370098652
ACH-000337,-0.0378829521909
ACH-000339,-0.1377047212
ACH-000341,-0.232683955083
ACH-000348,-0.148797391578
ACH-000350,-0.13909073649700002
ACH-000352,-0.0660754224303
ACH-000356,0.091630038679
ACH-000361,0.08802967558319999
ACH-000362,-0.252888313719
ACH-000363,-0.227794610037
ACH-000364,-0.109959898992
ACH-000365,-0.137638600157
ACH-000366,-0.314091921484
ACH-000368,-0.218377163992
ACH-000374,0.0192517236225
ACH-000375,-0.20026333727600001
ACH-000376,-0.032391287138099994
ACH-000381,-0.508881293542
ACH-000383,-0.0546928865123
ACH-000387,-0.270603076692
ACH-000389,-0.34399742155900004
ACH-000390,0.010429931286200001
ACH-000393,-0.247355160432
ACH-000395,-0.262601450836
ACH-000397,-0.316633186464
ACH-000401,-0.0485450026898
ACH-000402,-0.0109348559482
ACH-000403,-0.368423376458
ACH-000404,-0.0698106636728
ACH-000406,-0.192145085354
ACH-000407,-0.12024864240399999
ACH-000408,0.0288340516365
ACH-000410,-0.10068184515699999
ACH-000411,-0.257984730617
ACH-000414,-0.163485317158
ACH-000415,0.0498934983859
ACH-000416,-0.126582087621
ACH-000420,-0.15343287412
ACH-000421,-0.0885928155373
ACH-000424,-0.216384986571
ACH-000425,-0.15065994090600002
ACH-000426,-0.012554218761100001
ACH-000427,-0.39261467872100003
ACH-000433,-0.386876646654
ACH-000436,-0.292869831568
ACH-000444,-0.191738380466
ACH-000445,-0.715580527593
ACH-000448,-0.13628337628599999
ACH-000450,-0.33253136171799996
ACH-000452,-0.18657560864599998
ACH-000454,0.0016786794361300001
ACH-000458,-0.0817882774713
ACH-000459,-0.0777515084078
ACH-000460,-0.0651801413095
ACH-000461,-0.115330787213
ACH-000463,-0.105795923274
ACH-000464,0.030719205355700004
ACH-000466,-0.22928716304900001
ACH-000467,-0.49199894072800004
ACH-000468,-0.237485177516
ACH-000469,-0.137790155116
ACH-000470,-0.12059690064999999
ACH-000471,-0.25597322215999996
ACH-000472,-0.151328180959
ACH-000473,0.00111230141921
ACH-000475,-0.0622988103873
ACH-000476,-0.146499877828
ACH-000477,-0.0620705785374
ACH-000480,-0.276626533986
ACH-000481,-0.202390167669
ACH-000483,0.0686660928038
ACH-000484,-0.07667402326100001
