,PEBP1 (5037)
ACH-000004,-0.135756975146
ACH-000007,-0.0120920726114
ACH-000009,-0.405364666785
ACH-000011,-0.270864350589
ACH-000012,-0.21241223269200002
ACH-000013,-0.23558923926300002
ACH-000014,-0.0773194903137
ACH-000015,-0.262224677496
ACH-000017,-0.240047941523
ACH-000018,-0.20457943645799997
ACH-000019,-0.0947046539197
ACH-000021,-0.34999362341300005
ACH-000022,-0.20365289471200002
ACH-000025,-0.105466863863
ACH-000028,-0.19676564840100003
ACH-000030,-0.153670842458
ACH-000035,-0.166726341319
ACH-000036,-0.153540871214
ACH-000037,-0.297731142612
ACH-000039,-0.6342900190990001
ACH-000040,-0.165823411387
ACH-000041,-0.144049831289
ACH-000042,-0.302085577741
ACH-000045,-0.19873742810199999
ACH-000047,-0.11996769282500001
ACH-000052,-0.337212533666
ACH-000053,-0.297682575094
ACH-000054,-0.16377713795
ACH-000055,-0.104389267916
ACH-000060,-0.150735489581
ACH-000067,-0.13895728786699998
ACH-000070,-0.115748965481
ACH-000075,-0.0532915566264
ACH-000078,-0.499696359369
ACH-000082,-0.21301747705600002
ACH-000085,-0.149221889703
ACH-000086,-0.20259664882
ACH-000087,-0.232885437474
ACH-000092,-0.408889365078
ACH-000095,-0.301594534861
ACH-000097,-0.0884371932567
ACH-000098,-0.10996348886099999
ACH-000099,-0.323931417933
ACH-000108,-0.16707342377999998
ACH-000113,-0.0385062998056
ACH-000115,-0.26680023906100003
ACH-000116,-0.209069762603
ACH-000118,-0.254756595559
ACH-000120,-0.46228334327299997
ACH-000123,-0.369368460488
ACH-000127,-0.101096558344
ACH-000128,-0.499437932008
ACH-000132,0.0478443474715
ACH-000133,-0.113542635198
ACH-000137,-0.0677020318166
ACH-000138,-0.16978695432799998
ACH-000142,-0.232695872039
ACH-000143,-0.16165329967800002
ACH-000146,-0.167121793442
ACH-000148,-0.0650301923808
ACH-000150,-0.26377525757
ACH-000152,-0.273853895192
ACH-000153,-0.350858985076
ACH-000159,-0.311661055362
ACH-000160,-0.30090777052900003
ACH-000163,-0.237310161737
ACH-000167,-0.203609694501
ACH-000168,-0.31518401085299996
ACH-000169,-0.200421168886
ACH-000178,-0.13570993059699998
ACH-000182,-0.112385872905
ACH-000183,-0.17230142757
ACH-000188,-0.227512794527
ACH-000189,0.206416957134
ACH-000190,-0.26135381158300003
ACH-000198,-0.186508841036
ACH-000204,-0.24860685500100002
ACH-000206,-0.220187711016
ACH-000207,-0.11383564924900001
ACH-000211,-0.26196092474800003
