,STKLD1 (169436)
ACH-000004,-0.07523022953360001
ACH-000007,-0.14128163630100002
ACH-000009,-0.17565598801600002
ACH-000011,0.03553003002
ACH-000012,-0.019422252495099997
ACH-000013,-0.176160487487
ACH-000014,-0.115881941074
ACH-000015,-0.150056101401
ACH-000017,-0.015978420739
ACH-000018,-0.061981790135699995
ACH-000019,0.034124191337900005
ACH-000021,-0.115839316521
ACH-000022,-0.0864503443374
ACH-000025,-0.0169388778951
ACH-000028,-0.047229741771
ACH-000030,-0.0374144360129
ACH-000035,-0.0100600867247
ACH-000036,-0.000544851355803
ACH-000037,-0.0978419339023
ACH-000039,0.0977414336672
ACH-000040,0.0328675882829
ACH-000041,-0.138329308618
ACH-000042,-0.11902404280300001
ACH-000045,0.0787559632528
ACH-000047,0.07443203196060001
ACH-000052,-0.076893974962
ACH-000053,-0.071333800822
ACH-000054,-0.054408576690100005
ACH-000055,-0.206366941121
ACH-000060,-0.125601627114
ACH-000067,0.011393178033
ACH-000070,-0.12845560566
ACH-000075,-0.0318990280418
ACH-000078,-0.07445837785360002
ACH-000082,0.046114655033900005
ACH-000085,-0.25844012336399996
ACH-000086,0.061190494366499995
ACH-000087,-0.143715235252
ACH-000092,0.00396400730051
ACH-000095,0.0253744834903
ACH-000097,-0.0816672811114
ACH-000098,0.07218852553230001
ACH-000099,-0.158531854807
ACH-000108,-0.055396496498
ACH-000113,-0.0224944865314
ACH-000115,-0.253818539467
ACH-000116,-0.13090738396600002
ACH-000118,-0.054990292328699994
ACH-000120,-0.178568169054
ACH-000123,-0.0184254391918
ACH-000127,-0.109493951932
ACH-000128,-0.031133031645900002
ACH-000132,-0.037138181472300004
ACH-000133,0.06361568302569999
ACH-000137,-0.022716842109599997
ACH-000138,-0.0295439982615
ACH-000142,0.08435440142789999
ACH-000143,-0.052054022944900004
ACH-000146,-0.0549884795515
ACH-000148,-0.120727341914
ACH-000150,-0.145048601248
ACH-000152,0.067886147361
ACH-000153,-0.0732628349626
ACH-000159,-0.021067373738099998
ACH-000160,-0.00700171807691
ACH-000163,-0.08076873544669999
ACH-000167,0.11007992101700001
ACH-000168,-0.151892077435
ACH-000169,-0.133963996178
ACH-000178,-0.215050245257
ACH-000182,-0.12294569379499999
ACH-000183,-0.071274479792
ACH-000188,-0.0373196308218
ACH-000189,0.07794200912539999
ACH-000190,0.0864408957663
ACH-000198,-0.00542085211381
ACH-000204,0.0264666203227
ACH-000206,0.21398413476
ACH-000207,-0.0346287247318
ACH-000211,0.045799319542
