,TLCD1 (116238)
ACH-000004,-0.357742882256
ACH-000007,-0.5140867430439999
ACH-000009,-0.45547183490800003
ACH-000011,-0.558651334957
ACH-000012,-0.590791397364
ACH-000013,-0.34695434107400003
ACH-000014,-0.328006806491
ACH-000015,-0.30091270343800003
ACH-000017,-0.76190770488
ACH-000018,-0.13802987272199999
ACH-000019,-0.691526854356
ACH-000021,-0.501138202209
ACH-000022,-0.431947703878
ACH-000025,-0.39214800668000005
ACH-000028,-0.601280006532
ACH-000030,-0.504478381095
ACH-000035,-0.543767978835
ACH-000036,-0.5849452609979999
ACH-000037,-0.347794849678
ACH-000039,-0.6845938642749999
ACH-000040,-0.421893904043
ACH-000041,-0.48687976522
ACH-000042,-0.283653623709
ACH-000045,-0.545926010142
ACH-000047,-0.234513611978
ACH-000052,-0.16245611089099998
ACH-000053,-0.5218850424600001
ACH-000054,-0.563335869805
ACH-000055,-0.5324432839
ACH-000060,-0.337636743621
ACH-000067,-0.35260558662299996
ACH-000070,-0.350863093265
ACH-000075,-0.6584977203069999
ACH-000078,-0.537487714472
ACH-000082,-0.459773814524
ACH-000085,-0.25515346665399996
ACH-000086,-0.417947007384
ACH-000087,-0.26814111153000003
ACH-000092,-0.23715608106999997
ACH-000095,-0.47515877665600004
ACH-000097,-0.358045480388
ACH-000098,-0.356550346847
ACH-000099,-0.359305320365
ACH-000108,-0.5951808865899999
ACH-000113,-0.381770160026
ACH-000115,-0.419371564983
ACH-000116,-0.369368296405
ACH-000118,-0.401594878033
ACH-000120,-0.15295535102900001
ACH-000123,-0.527630717742
ACH-000127,-0.29167251556699997
ACH-000128,-0.371122107801
ACH-000132,-0.492636634889
ACH-000133,-0.180908394096
ACH-000137,-0.41814338608400003
ACH-000138,-0.280279987819
ACH-000142,-0.490621292317
ACH-000143,-0.193525843635
ACH-000146,-0.40322730819700003
ACH-000148,-0.500390188815
ACH-000150,-0.392408790048
ACH-000152,-0.6012976323120001
ACH-000153,-0.23135299776
ACH-000159,-0.451501658955
ACH-000160,-0.45464778129600003
ACH-000163,-0.33399768773899996
