,JMY (133746)
ACH-000004,-0.272649628704
ACH-000007,-0.126033057413
ACH-000009,-0.290956545302
ACH-000011,-0.337352699881
ACH-000012,-0.246120841812
ACH-000013,-0.212234632932
ACH-000014,-0.322352001139
ACH-000015,-0.289476585509
ACH-000017,-0.165949903342
ACH-000018,-0.161807023593
ACH-000019,-0.237167131496
ACH-000021,-0.38929319732100004
ACH-000022,-0.101461582521
ACH-000025,-0.33518411653
ACH-000028,-0.0628279102776
ACH-000030,-0.23600563366799998
ACH-000035,-0.0579666076265
ACH-000036,-0.377277215906
ACH-000037,-0.300323058047
ACH-000039,-0.439298644897
ACH-000040,-0.344923259083
ACH-000041,-0.523933316386
ACH-000042,-0.339810464772
ACH-000045,-0.232176487555
ACH-000047,-0.213845749745
ACH-000052,-0.36140044947300004
ACH-000053,-0.10801055669500001
ACH-000054,-0.294828068593
ACH-000055,-0.219067882004
ACH-000060,-0.307212635358
ACH-000067,-0.204394742712
ACH-000070,-0.115723054736
ACH-000075,-0.145286119059
ACH-000078,-0.277348678098
ACH-000082,-0.21312994849300002
ACH-000085,-0.06642915769419999
ACH-000086,-0.39684224165299997
ACH-000087,-0.08105593236269999
ACH-000092,-0.239556727112
ACH-000095,-0.40360885404200003
ACH-000097,-0.34103917483699997
ACH-000098,-0.241973642973
ACH-000099,-0.363922591043
ACH-000108,-0.46159300483099996
ACH-000113,-0.38917030219800003
ACH-000115,-0.17653914149799999
ACH-000116,-0.14069244084899998
ACH-000118,-0.363148138345
ACH-000120,-0.206732511323
ACH-000123,-0.25785758769
ACH-000127,-0.222625973688
ACH-000128,-0.146218343428
ACH-000132,-0.301908017476
ACH-000133,-0.175047940096
ACH-000137,-0.46865231924999995
ACH-000138,-0.243624227629
ACH-000142,-0.137056609558
ACH-000143,-0.403343099506
ACH-000146,-0.200166230544
ACH-000148,-0.32851337145799997
ACH-000150,0.0493828270328
ACH-000152,-0.311350328839
ACH-000153,-0.245862476056
ACH-000159,-0.309742261254
ACH-000160,0.09208995477700001
ACH-000163,-0.491713051222
ACH-000167,0.117077656031
ACH-000168,-0.306061565493
ACH-000169,-0.273384297815
ACH-000178,-0.380897417048
ACH-000182,-0.18280051391
ACH-000183,-0.23619131126899998
ACH-000188,-0.258016948182
ACH-000189,-0.514790445861
ACH-000190,0.09536910878730001
ACH-000198,-0.45798696649400006
ACH-000204,-0.397597831748
ACH-000206,-0.459848256829
ACH-000207,-0.105685771082
ACH-000211,-0.320170638108
ACH-000215,-0.33298017723900003
ACH-000221,-0.005859232063029999
ACH-000222,-0.411663745853
ACH-000223,-0.259738118134
ACH-000226,-0.49832227196199996
ACH-000227,-0.23857843389000002
ACH-000228,-0.531272531491
ACH-000231,-0.219992847559
ACH-000232,-0.392569605038
ACH-000233,0.042548598432400005
ACH-000234,-0.33963714928800004
ACH-000235,-0.241528001424
ACH-000237,-0.09903712601220001
ACH-000238,-0.312083305783
ACH-000243,-0.222964170033
ACH-000244,-0.137730206391
ACH-000246,-0.162288310725
ACH-000248,-0.343991371404
ACH-000250,-0.305147027312
ACH-000251,-0.106421349208
ACH-000253,-0.386639262693
ACH-000255,-0.35824874277900004
ACH-000256,-0.326479411667
ACH-000257,-0.406768709841
ACH-000258,-0.7072305033409999
ACH-000259,-0.20116382273699998
ACH-000260,-0.174768894067
ACH-000261,-0.196315579807
ACH-000262,-0.259998594815
ACH-000263,-0.0112258608399
ACH-000264,-0.36385993838200004
ACH-000265,-0.33919643621699996
ACH-000266,-0.345750883319
ACH-000272,-0.257496966569
ACH-000273,-0.318928525915
ACH-000274,-0.331022595201
ACH-000277,0.07723597938019999
ACH-000278,-0.216873465581
ACH-000279,-0.299661381289
ACH-000280,-0.324078380216
ACH-000281,-0.244559537228
ACH-000288,-0.147960155233
ACH-000291,-0.34728304001599997
ACH-000293,-0.427194679536
ACH-000294,-0.115323113797
ACH-000295,-0.35327339696800003
ACH-000296,-0.15676276440099998
ACH-000302,-0.287454348013
ACH-000304,-0.402039810275
ACH-000307,-0.328545539339
ACH-000308,-0.118316587184
ACH-000310,-0.170611565079
ACH-000311,-0.20303745624699998
ACH-000312,-0.314077527077
ACH-000315,-0.321006412392
ACH-000316,-0.141022585866
ACH-000317,-0.108831841141
ACH-000318,0.009492632256459998
ACH-000319,-0.26856983518000005
ACH-000320,-0.5988382514580001
ACH-000322,-0.300887465405
ACH-000323,-0.254862917345
ACH-000324,-0.14049450267799998
ACH-000329,-0.392138874895
ACH-000330,-0.130954951866
ACH-000331,-0.329587712764
ACH-000332,-0.30395700911999995
ACH-000334,-0.0834806882892
ACH-000335,-0.39980122136
ACH-000336,-0.0973564165474
ACH-000337,-0.091775628018
ACH-000339,-0.40014342976499995
ACH-000341,-0.279914965533
ACH-000348,-0.361405678405
ACH-000350,-0.20495277928199998
ACH-000352,-0.171185597087
ACH-000356,-0.445324297141
ACH-000361,-0.27245540765500004
ACH-000362,-0.139811683352
ACH-000363,-0.275288481424
ACH-000364,-0.124646495387
ACH-000365,-0.21582414190000002
ACH-000366,-0.289083087924
ACH-000368,-0.034812433702599996
ACH-000374,-0.23146200832699998
ACH-000375,-0.11750176680400001
ACH-000376,-0.0267178687904
ACH-000381,-0.35401325748499995
ACH-000383,-0.1663966609
ACH-000387,-0.335954537783
ACH-000389,-0.36841023586800004
ACH-000390,-0.20661718222300002
ACH-000393,-0.522376924528
ACH-000395,-0.20462044001600002
ACH-000397,-0.27234819509
ACH-000401,-0.262032289397
ACH-000402,-0.41038040297300005
ACH-000403,-0.18781783886300002
ACH-000404,-0.183609064032
ACH-000406,-0.279368653931
ACH-000407,-0.34932204240000003
ACH-000408,-0.272272361476
