,NXF1 (10482)
ACH-000004,-1.04844196183
ACH-000007,-1.12174041016
ACH-000009,-1.15721763299
ACH-000011,-1.0671404276
ACH-000012,-0.9178303638940001
ACH-000013,-1.19427085497
ACH-000014,-1.07393483292
ACH-000015,-1.0003571398
ACH-000017,-1.3325667394299998
ACH-000018,-0.857668308775
ACH-000019,-1.04059019118
ACH-000021,-1.0091429269
ACH-000022,-1.33710790672
ACH-000025,-1.1401069361299998
ACH-000028,-1.28605394273
ACH-000030,-0.96300932881
ACH-000035,-0.9544826381370001
ACH-000036,-1.2225778404799998
ACH-000037,-1.38120692618
ACH-000039,-1.51882084991
ACH-000040,-0.992452461582
ACH-000041,-1.05057286472
ACH-000042,-1.13444382015
ACH-000045,-1.36099280208
ACH-000047,-1.3307998336700002
ACH-000052,-1.65882737431
ACH-000053,-0.950055971364
ACH-000054,-0.9314909902590001
ACH-000055,-1.30886625862
ACH-000060,-0.9735272705679999
ACH-000067,-0.715355075986
ACH-000070,-1.04658677546
ACH-000075,-0.749764172812
ACH-000078,-1.02533738441
ACH-000082,-1.25445334971
ACH-000085,-1.1734379304
ACH-000086,-0.8630315042550001
ACH-000087,-1.2414765203
ACH-000092,-1.23780818347
ACH-000095,-1.39428197927
ACH-000097,-1.19030492076
ACH-000098,-1.17748714867
ACH-000099,-1.24141394849
ACH-000108,-0.9643753386830001
ACH-000113,-1.37694743842
ACH-000115,-1.7263438930400001
ACH-000116,-1.00994763157
ACH-000118,-1.1139925895
ACH-000120,-0.897404059168
ACH-000123,-1.21524232042
ACH-000127,-0.9420759937630001
ACH-000128,-1.06691582138
ACH-000132,-0.979925909183
ACH-000133,-0.905107587471
ACH-000137,-1.0605703156200001
ACH-000138,-1.22771466885
ACH-000142,-0.9714564893009999
ACH-000143,-0.917811270607
ACH-000146,-1.67576928309
ACH-000148,-0.89746442059
ACH-000150,-1.05721605236
ACH-000152,-1.10651607737
ACH-000153,-0.849357299885
ACH-000159,-1.05011552388
ACH-000160,-1.09076271937
ACH-000163,-0.994864445362
ACH-000167,-1.46063916201
ACH-000168,-1.08661751786
ACH-000169,-1.22689790874
ACH-000178,-1.07864348801
ACH-000182,-1.0978098478799998
ACH-000183,-0.825763183919
ACH-000188,-1.2023136231
ACH-000189,-1.1251407435
ACH-000190,-1.1449442068100002
ACH-000198,-1.36629460217
ACH-000204,-1.18417426244
ACH-000206,-1.57064189829
ACH-000207,-1.47492138534
ACH-000211,-1.13942067552
ACH-000215,-1.00745502747
ACH-000221,-1.13887709776
ACH-000222,-0.80025088693
ACH-000223,-1.10821883036
ACH-000226,-1.28362052404
ACH-000227,-1.3080186950700001
ACH-000228,-1.02699666412
ACH-000231,-1.04335100403
ACH-000232,-1.3741486641799998
ACH-000233,-1.42696604049
ACH-000234,-1.43659309369
ACH-000235,-1.13068023113
ACH-000237,-1.02737356503
ACH-000238,-0.966021905181
ACH-000243,-0.8866789896200001
ACH-000244,-1.31240630675
ACH-000246,-1.23888925609
ACH-000248,-1.0094749153799998
ACH-000250,-1.2285562710200002
ACH-000251,-0.884604674672
ACH-000253,-1.27035449681
ACH-000255,-0.9401513723330001
ACH-000256,-1.1184869247
ACH-000257,-1.16211284287
ACH-000258,-1.34482479905
ACH-000259,-1.12576734287
ACH-000260,-1.18926573925
ACH-000261,-1.26438943535
ACH-000262,-0.8102450493629999
ACH-000263,-0.770402031882
ACH-000264,-1.11005923255
ACH-000265,-1.0321281560200002
ACH-000266,-1.09046075309
ACH-000272,-0.9996428849169999
ACH-000273,-1.20285084052
ACH-000274,-1.2859311555
ACH-000277,-1.06134546744
ACH-000278,-1.15259812865
ACH-000279,-0.921569987869
ACH-000280,-0.827222013662
