,POLE (5426)
ACH-000004,-1.76821369358
ACH-000007,-1.2057119075700002
ACH-000009,-1.43337431289
ACH-000011,-1.3877608706
ACH-000012,-1.4909004834000001
ACH-000013,-1.2841697849200002
ACH-000014,-1.6903358289500001
ACH-000015,-1.44676500604
ACH-000017,-1.27277495236
ACH-000018,-1.19832605692
ACH-000019,-1.5594871069799998
ACH-000021,-1.4213133977399999
ACH-000022,-1.44868630095
ACH-000025,-1.4771050363799998
ACH-000028,-1.40085686709
ACH-000030,-1.3912753526100001
ACH-000035,-1.0970352891600001
ACH-000036,-1.5615045692899998
ACH-000037,-1.7292499683400002
ACH-000039,-1.55513715676
ACH-000040,-1.29645160046
ACH-000041,-1.32823583094
ACH-000042,-1.50909661525
ACH-000045,-1.46847015754
ACH-000047,-1.51024317844
ACH-000052,-1.38243207932
ACH-000053,-1.57164850842
ACH-000054,-1.3151016530600002
ACH-000055,-1.29154509746
ACH-000060,-1.31043254313
ACH-000067,-1.39581784966
ACH-000070,-1.46817967236
ACH-000075,-1.23401722212
ACH-000078,-1.5357466411200003
ACH-000082,-1.8110295213299998
ACH-000085,-1.19923048847
ACH-000086,-1.2201805775399999
ACH-000087,-1.2299806935200002
ACH-000092,-1.49795456942
ACH-000095,-1.63536367539
ACH-000097,-1.4380392425200001
ACH-000098,-1.5616783454299998
ACH-000099,-1.5164114426700002
ACH-000108,-1.29208439445
ACH-000113,-1.51817674127
ACH-000115,-1.8054287233200002
ACH-000116,-1.36136172409
ACH-000118,-1.32668526343
ACH-000120,-1.27902246568
ACH-000123,-1.49082692773
ACH-000127,-1.5714888764
ACH-000128,-1.44305043041
ACH-000132,-1.03793497703
ACH-000133,-1.44832543062
ACH-000137,-1.49547063019
ACH-000138,-1.3820364401499998
ACH-000142,-1.1473581798299999
ACH-000143,-1.66073761419
ACH-000146,-1.75579459621
ACH-000148,-1.3542603828100002
ACH-000150,-1.27535669067
ACH-000152,-1.3266542501799998
ACH-000153,-1.6954069657
ACH-000159,-1.39846301458
ACH-000160,-1.46420037192
ACH-000163,-1.2855729015700001
ACH-000167,-1.76228564477
ACH-000168,-1.3139791678200001
ACH-000169,-1.30300912149
ACH-000178,-1.24810492527
ACH-000182,-1.39622082462
ACH-000183,-1.8333223478
ACH-000188,-1.46248869023
ACH-000189,-1.1867113298
ACH-000190,-1.6015752558399998
ACH-000198,-1.6090664159
ACH-000204,-1.50727378244
ACH-000206,-1.3833074355500001
ACH-000207,-1.5825144508200002
ACH-000211,-1.4955679061000002
ACH-000215,-1.51803376956
ACH-000221,-1.18527279553
ACH-000222,-1.61002448176
ACH-000223,-1.6565043556999999
ACH-000226,-1.5268703172100002
ACH-000227,-2.10678610463
ACH-000228,-1.10626555486
ACH-000231,-1.47084405568
ACH-000232,-1.4331802650799998
ACH-000233,-1.43217270313
ACH-000234,-1.50386643266
ACH-000235,-1.57139906745
ACH-000237,-1.36512409285
ACH-000238,-1.6803657305500002
ACH-000243,-1.34352740584
ACH-000244,-1.42564213379
ACH-000246,-1.51955244979
ACH-000248,-1.14294828081
ACH-000250,-1.5940133674
ACH-000251,-0.953158961788
ACH-000253,-1.48755227222
ACH-000255,-1.33840177016
ACH-000256,-1.6617449576700003
ACH-000257,-1.53055660914
ACH-000258,-1.28656995687
ACH-000259,-1.64652438026
ACH-000260,-1.35056677421
ACH-000261,-1.2620336639
ACH-000262,-1.4418416188999998
ACH-000263,-1.82415167137
ACH-000264,-1.52365666194
ACH-000265,-1.35143209611
ACH-000266,-1.54204325655
ACH-000272,-1.34825937146
ACH-000273,-1.3516948172499998
ACH-000274,-1.59225952417
ACH-000277,-1.4083655994799997
ACH-000278,-1.7804992572099998
ACH-000279,-1.59408468322
ACH-000280,-1.14365899189
ACH-000281,-1.4141696594600002
ACH-000288,-1.3605573048800002
ACH-000291,-1.3496452458300001
ACH-000293,-1.5858728426100002
ACH-000294,-1.58405964745
ACH-000295,-1.6220911170399999
ACH-000296,-1.6591006685799998
ACH-000302,-1.65096713139
ACH-000304,-1.1947830064
ACH-000307,-1.26773874551
ACH-000308,-1.71829277393
ACH-000310,-1.63690108375
ACH-000311,-1.5097659829299999
ACH-000312,-1.46411922025
ACH-000315,-1.5770432885899999
ACH-000316,-1.714644725
ACH-000317,-1.32837677752
ACH-000318,-1.47681638667
ACH-000319,-1.43323574304
ACH-000320,-1.27799608416
ACH-000322,-1.75701282207
ACH-000323,-1.31581564464
ACH-000324,-1.6079765941100002
ACH-000329,-1.86530191729
ACH-000330,-1.4151359226700002
ACH-000331,-1.30671153173
ACH-000332,-1.43173301572
ACH-000334,-2.3359707155900002
ACH-000335,-1.11164261899
ACH-000336,-1.4240190421
ACH-000337,-1.3944553441799998
ACH-000339,-1.4000386936200002
ACH-000341,-1.66311130891
ACH-000348,-1.53463362995
ACH-000350,-1.3798687865200001
ACH-000352,-1.33693260138
ACH-000356,-1.1819918140799999
ACH-000361,-1.3764087425799998
ACH-000362,-1.54466979658
ACH-000363,-1.50449503062
ACH-000364,-1.57706822322
ACH-000365,-1.54519845051
ACH-000366,-1.4956333385499998
ACH-000368,-1.41184492413
ACH-000374,-1.4260285175999998
ACH-000375,-1.5528468387099998
ACH-000376,-1.18704420491
ACH-000381,-1.59614011501
ACH-000383,-1.54817376398
ACH-000387,-1.7514267627700002
ACH-000389,-1.22196807013
ACH-000390,-1.5362088076700002
ACH-000393,-1.6524959412600002
ACH-000395,-1.25965728623
ACH-000397,-1.47621540605
ACH-000401,-1.4431322945899998
ACH-000402,-1.55268908609
ACH-000403,-1.7970369847299998
ACH-000404,-1.15280766552
ACH-000406,-1.5786035393399998
ACH-000407,-1.3728576083200001
ACH-000408,-1.5016196565200002
ACH-000410,-1.35866046181
ACH-000411,-1.2078835212
ACH-000414,-1.6250146440399997
ACH-000415,-1.37271363264
ACH-000416,-1.4539050677899998
ACH-000420,-1.3046780331299999
ACH-000421,-1.31457555764
