,XRCC1 (7515)
ACH-000004,-0.458126534973
ACH-000007,-0.526264578826
ACH-000009,-0.33304590397399997
ACH-000011,-0.5561300091879999
ACH-000012,-0.569870731664
ACH-000013,-0.781762529699
ACH-000014,-0.487569581914
ACH-000015,-0.382136996629
ACH-000017,-0.24237117870299998
ACH-000018,-0.723928802706
ACH-000019,-0.387430446968
ACH-000021,-0.43239021289499996
ACH-000022,-0.48226935287199996
ACH-000025,-0.694187096466
ACH-000028,-0.6857009336830001
ACH-000030,-0.411777019038
ACH-000035,-0.5475285548569999
ACH-000036,-0.447826857293
ACH-000037,-0.450829927556
ACH-000039,-0.453534928613
ACH-000040,-0.490878586135
ACH-000041,-0.583305466125
ACH-000042,-0.34460460795599995
ACH-000045,-0.344556638724
ACH-000047,-0.301949704577
ACH-000052,-0.37433104592699995
ACH-000053,-0.309085800473
ACH-000054,-0.426390344482
ACH-000055,-0.483829544595
ACH-000060,-0.264769321684
ACH-000067,-0.4541718447
ACH-000070,-0.932021006203
ACH-000075,-0.334894425289
ACH-000078,-0.330619546806
ACH-000082,-0.500746178313
ACH-000085,-0.24347339485
ACH-000086,-0.43864871135399996
ACH-000087,-0.876085100797
ACH-000092,-0.588306281607
ACH-000095,-0.31342361095
ACH-000097,-0.462871273551
ACH-000098,-0.514633546951
ACH-000099,-0.480201943332
ACH-000108,-0.167166744351
ACH-000113,-0.434527672507
ACH-000115,-0.554384452471
ACH-000116,-0.5587886758089999
ACH-000118,-0.508564689449
ACH-000120,-0.669709317026
ACH-000123,-0.401315685071
ACH-000127,-0.45032452806699996
ACH-000128,-0.450864966858
ACH-000132,-0.625561675149
ACH-000133,-0.577251597798
ACH-000137,-0.485247155202
ACH-000138,-0.512196806399
ACH-000142,-0.802553480615
ACH-000143,-0.474318515106
ACH-000146,-0.37173579634900006
ACH-000148,-0.43191673601999997
ACH-000150,-0.539873756734
ACH-000152,-0.7668349439319999
ACH-000153,-0.702228528803
ACH-000159,-0.512905045693
ACH-000160,-0.590762910563
ACH-000163,-0.519523625297
ACH-000167,-0.318983368768
ACH-000168,-0.168093760244
ACH-000169,-0.282302068978
ACH-000178,-0.429162892847
ACH-000182,-0.328623201653
ACH-000183,-0.46168784853699996
ACH-000188,-0.7260568674789999
ACH-000189,-0.399658185468
ACH-000190,-0.700673008816
ACH-000198,-0.290253322838
ACH-000204,-0.695534942369
ACH-000206,-0.341393550233
ACH-000207,-0.534610966572
ACH-000211,-0.549536227865
ACH-000215,-0.551048750245
ACH-000221,-0.7511467730220001
ACH-000222,-0.315142448192
ACH-000223,-0.424179537017
ACH-000226,-0.64930496887
ACH-000227,-0.22755403274
ACH-000228,-0.479640098689
ACH-000231,-0.7132734158030001
ACH-000232,-1.16580587796
ACH-000233,-0.705103538338
ACH-000234,-0.635148786233
ACH-000235,-0.335942651763
ACH-000237,-0.653414676774
ACH-000238,-0.293035244333
ACH-000243,-0.380401697002
ACH-000244,-0.33978082575499996
ACH-000246,-0.754029498574
ACH-000248,-0.500931784388
ACH-000250,-0.297777040474
ACH-000251,-0.614071120903
ACH-000253,-0.223786302632
ACH-000255,-0.8668069096590001
ACH-000256,-0.657476605678
ACH-000257,-0.402640114424
ACH-000258,-0.58215652045
ACH-000259,-0.47789679945
ACH-000260,-0.33773866829099997
ACH-000261,-0.5592149935499999
ACH-000262,-0.524501890774
ACH-000263,-0.44880159358599997
ACH-000264,-0.26709699329500003
ACH-000265,-0.39466729817699997
ACH-000266,-0.39028653591300005
ACH-000272,-0.37507113361999994
ACH-000273,-0.440812394526
ACH-000274,-0.337001418821
ACH-000277,-0.418714792987
ACH-000278,-0.6900882459250001
ACH-000279,-0.529508478913
ACH-000280,-0.334615570403
ACH-000281,-0.411224976555
ACH-000288,-0.319791266446
ACH-000291,-0.323999090775
ACH-000293,-0.448547277753
ACH-000294,-0.250218081964
ACH-000295,-0.36624854725999995
ACH-000296,-0.472194995676
ACH-000302,-0.793521369755
ACH-000304,-0.527428879418
ACH-000307,-0.179663523413
ACH-000308,-0.589943266225
ACH-000310,-0.213904580177
ACH-000311,-0.244327795047
ACH-000312,-0.162888352622
ACH-000315,-0.413960775411
ACH-000316,-0.370843756242
ACH-000317,-0.46032268923
ACH-000318,-0.544761619951
ACH-000319,-0.513919236636
ACH-000320,-0.291717233423
ACH-000322,-0.598597846915
ACH-000323,-0.515613118767
ACH-000324,-0.667400168429
ACH-000329,-0.428509020204
ACH-000330,-0.574525067142
ACH-000331,-0.753947708656
ACH-000332,-0.434956138984
ACH-000334,-0.613677962759
ACH-000335,-0.835961670096
ACH-000336,-0.342289158916
ACH-000337,-0.768387848674
ACH-000339,-0.450232228066
ACH-000341,-0.7257679401010001
ACH-000348,-0.423791030242
ACH-000350,-0.275123505101
ACH-000352,-0.394713996094
ACH-000356,-0.443269033788
ACH-000361,-0.42312407529299995
ACH-000362,-0.457274268938
ACH-000363,-0.421404300132
ACH-000364,-0.570705496939
ACH-000365,-0.560604273238
ACH-000366,-0.41556621162100005
ACH-000368,-0.550428377261
ACH-000374,-0.23177118279800002
ACH-000375,-0.663985565999
ACH-000376,-0.433426735437
ACH-000381,-0.116371648434
ACH-000383,-0.521066153522
ACH-000387,-0.6155611407079999
ACH-000389,-0.719560936629
ACH-000390,-0.399674620312
ACH-000393,-0.51187257809
ACH-000395,-0.37097847447099996
ACH-000397,-0.545108999781
ACH-000401,-0.811215637059
ACH-000402,-0.481692232923
ACH-000403,-0.345530656253
ACH-000404,-0.7242672330509999
ACH-000406,-0.261252385702
ACH-000407,-0.695675445301
ACH-000408,-0.6897579389830001
ACH-000410,-0.5949906095549999
ACH-000411,-0.473290935712
ACH-000414,-0.34530764018200005
ACH-000415,-0.715849083561
ACH-000416,-0.346764646367
ACH-000420,-0.143705643814
ACH-000421,-0.5578727574419999
ACH-000424,-0.7428112496179999
ACH-000425,-0.47357026738799995
ACH-000426,-0.412921278314
ACH-000427,-0.615503653818
ACH-000433,-0.38001405053099996
ACH-000436,-0.145238627175
ACH-000444,-0.431248971124
ACH-000445,-0.491270974012
ACH-000448,-0.540440869668
ACH-000450,-0.313838376406
ACH-000452,-0.43580920340400003
ACH-000454,-0.301715872612
ACH-000458,-0.41529871063600005
ACH-000459,-0.67267399307
ACH-000460,-0.32153534751699997
ACH-000461,-0.439311532286
ACH-000463,-0.691269498005
ACH-000464,-0.449128908641
ACH-000466,-0.484432872777
ACH-000467,-0.27598374483800003
ACH-000468,-0.550378940817
ACH-000469,-0.515419848985
ACH-000470,-0.54468071143
ACH-000471,-0.527344782354
ACH-000472,-0.468881453557
ACH-000473,-0.333682134204
ACH-000475,-0.360660129379
ACH-000476,-0.261398973205
ACH-000477,-0.517143088651
ACH-000480,-0.52617231367
ACH-000481,-0.548900194922
ACH-000483,-0.329902107261
ACH-000484,-0.56381767724
ACH-000485,-0.447594949289
ACH-000486,-0.615613458747
ACH-000487,-0.51627297928
ACH-000488,-0.49217501515699996
ACH-000490,-0.420172359507
ACH-000491,-0.466322088445
ACH-000495,-0.523941857942
ACH-000496,-0.918947653359
ACH-000499,-0.449627165826
ACH-000500,-0.517887581882
ACH-000502,-0.346641914674
ACH-000503,-0.947457862744
ACH-000505,-0.665564075107
ACH-000507,-0.607717858678
ACH-000510,-0.594441132949
ACH-000511,-0.556452352748
ACH-000512,-0.581540177126
ACH-000516,-0.51337880428
ACH-000517,-0.403524281816
ACH-000518,-0.52538171573
ACH-000520,-0.485948292064
