,CEP131 (22994)
ACH-000004,-0.69823326341
ACH-000007,-0.729183861563
ACH-000009,-1.18789466845
ACH-000011,-0.9116722218279999
ACH-000012,-0.8497246545899999
ACH-000013,-0.84475275743
ACH-000014,-0.921860703432
ACH-000015,-0.9992842644939999
ACH-000017,-0.8941706544149999
ACH-000018,-0.823240944287
ACH-000019,-0.990757395462
ACH-000021,-0.96524099253
ACH-000022,-1.0373867019
ACH-000025,-0.7845545642910001
ACH-000028,-0.7968782479440001
ACH-000030,-0.892903535681
ACH-000035,-0.882680749507
ACH-000036,-0.784959304885
ACH-000037,-0.9052165651649999
ACH-000039,-1.0613508385
ACH-000040,-1.0278418760299999
ACH-000041,-1.0883091834
ACH-000042,-0.974912014694
ACH-000045,-0.9937855381730001
ACH-000047,-0.898413618141
ACH-000052,-0.8707272632109999
ACH-000053,-0.9085459301540001
ACH-000054,-0.807316887898
ACH-000055,-0.6026223686659999
ACH-000060,-0.890709739288
ACH-000067,-0.869506654228
ACH-000070,-1.01161370112
ACH-000075,-0.65385420741
ACH-000078,-1.07030814529
ACH-000082,-1.0475272854100002
ACH-000085,-1.1107626038
ACH-000086,-0.935997428071
ACH-000087,-0.780834815488
ACH-000092,-0.9334959669089999
ACH-000095,-1.06087499786
ACH-000097,-0.987368997948
ACH-000098,-1.01617876979
ACH-000099,-1.10593817795
ACH-000108,-0.929941487446
ACH-000113,-0.8689908402259999
ACH-000115,-1.36482477852
ACH-000116,-0.889203915245
ACH-000118,-0.944799322637
ACH-000120,-0.717041529418
ACH-000123,-0.8794927997990001
ACH-000127,-0.9439535266410001
ACH-000128,-0.866385850905
ACH-000132,-0.974134227801
ACH-000133,-0.828003446464
ACH-000137,-0.654478116314
ACH-000138,-0.815025183798
ACH-000142,-1.11504759422
ACH-000143,-0.9333114552940001
ACH-000146,-0.9615949735179999
ACH-000148,-0.939001005634
ACH-000150,-0.9069449252940001
ACH-000152,-0.8556165691240001
ACH-000153,-0.796019277031
ACH-000159,-1.1459097736200001
ACH-000160,-1.17421758648
ACH-000163,-0.6556046528499999
ACH-000167,-0.945469945037
ACH-000168,-0.953219444305
ACH-000169,-0.7764459871130001
ACH-000178,-0.823361261195
ACH-000182,-0.974253470494
ACH-000183,-0.930385168804
ACH-000188,-1.0161624542299998
ACH-000189,-0.461873281344
ACH-000190,-0.8349365990350001
ACH-000198,-0.967589867781
ACH-000204,-1.0186337971600001
ACH-000206,-0.733452497301
ACH-000207,-0.988210894043
ACH-000211,-1.12811411893
ACH-000215,-1.00525782013
ACH-000221,-0.8453005106679999
ACH-000222,-0.967623519712
ACH-000223,-0.837533437889
ACH-000226,-0.715259886091
ACH-000227,-1.24318253092
ACH-000228,-0.661769383879
ACH-000231,-0.923142786029
ACH-000232,-0.879438976813
ACH-000233,-0.937120435251
ACH-000234,-0.8194422646100001
ACH-000235,-0.9489546467100001
ACH-000237,-0.8772974722650001
ACH-000238,-0.778971902438
ACH-000243,-0.836185305553
ACH-000244,-0.347467521805
ACH-000246,-0.856666121252
ACH-000248,-0.885827462836
ACH-000250,-1.0392493808399998
ACH-000251,-0.813137232766
ACH-000253,-0.9204184284970001
ACH-000255,-0.874414124736
ACH-000256,-1.19810899705
ACH-000257,-0.975010884788
ACH-000258,-0.645764296177
ACH-000259,-0.8977711621109999
ACH-000260,-0.9102821779829999
ACH-000261,-1.09330102209
ACH-000262,-0.8351513514229999
ACH-000263,-1.2986591346
ACH-000264,-0.98909145052
ACH-000265,-0.8781711564839999
ACH-000266,-1.04326768731
ACH-000272,-1.07291095513
ACH-000273,-0.9608048272290001
ACH-000274,-1.0918840590999999
ACH-000277,-0.920164716978
ACH-000278,-0.6720703549079999
ACH-000279,-1.0629595839000001
ACH-000280,-1.08143770886
ACH-000281,-0.859612844648
ACH-000288,-1.03230742381
ACH-000291,-0.9998943488359999
ACH-000293,-0.849280776266
ACH-000294,-0.735000642092
ACH-000295,-1.2022386760600001
ACH-000296,-0.974337180391
ACH-000302,-0.8556806433059999
ACH-000304,-1.0562975031100001
ACH-000307,-0.9931377695620001
ACH-000308,-0.9421822763150001
ACH-000310,-1.23900086493
ACH-000311,-0.8561270817190001
ACH-000312,-1.1370606251200002
ACH-000315,-0.6368330737910001
ACH-000316,-0.914074831655
ACH-000317,-0.5386478703800001
ACH-000318,-0.8541488350130001
ACH-000319,-0.80052654013
ACH-000320,-0.956410977041
ACH-000322,-0.93553537092
ACH-000323,-0.7682625269750001
ACH-000324,-0.9217076864110001
ACH-000329,-1.10784762928
ACH-000330,-0.589242186333
ACH-000331,-0.826170283257
ACH-000332,-0.888340408039
ACH-000334,-1.2019911735700002
ACH-000335,-0.8955633885850001
ACH-000336,-0.7571178562180001
ACH-000337,-1.05309709222
ACH-000339,-0.959106321288
ACH-000341,-1.1174376508200001
ACH-000348,-0.6161346454
ACH-000350,-0.987137122698
ACH-000352,-0.9282520089990001
ACH-000356,-0.819197816381
ACH-000361,-1.0768958794499999
ACH-000362,-0.8554721529620001
ACH-000363,-1.09156992105
ACH-000364,-0.6909647106739999
ACH-000365,-0.9064197173819999
ACH-000366,-1.07615876837
ACH-000368,-0.7226154024770001
ACH-000374,-1.0345263689
ACH-000375,-0.958171288902
ACH-000376,-0.930518842476
ACH-000381,-0.6388187960230001
ACH-000383,-0.9880242805089999
ACH-000387,-0.899278309401
ACH-000389,-0.802813644945
ACH-000390,-0.8191957134610001
ACH-000393,-1.0768791643200002
ACH-000395,-0.823697744615
ACH-000397,-0.8676638756399999
ACH-000401,-0.774680667254
