,RCC1 (1104)
ACH-000004,-1.25912904992
ACH-000007,-1.4574195106999999
ACH-000009,-1.6036643006600002
ACH-000011,-1.37434302183
ACH-000012,-1.38423716785
ACH-000013,-1.60039098731
ACH-000014,-1.73905290213
ACH-000015,-1.4380272997699999
ACH-000017,-1.2696645281999999
ACH-000018,-1.51309938658
ACH-000019,-1.1110595007200001
ACH-000021,-1.6351020187099998
ACH-000022,-1.4502771333500002
ACH-000025,-1.39160036127
ACH-000028,-1.5267704329700003
ACH-000030,-1.30189203547
ACH-000035,-1.5044573910499999
ACH-000036,-1.55607843829
ACH-000037,-1.8024294339500002
ACH-000039,-1.35718119561
ACH-000040,-1.30559994828
ACH-000041,-1.54720632743
ACH-000042,-1.5886384137
ACH-000045,-1.37980285317
ACH-000047,-1.37726812926
ACH-000052,-1.4412531591100002
ACH-000053,-1.3468151992
ACH-000054,-1.3497264933000002
ACH-000055,-1.3309305252099999
ACH-000060,-1.4582033002399999
ACH-000067,-1.46389415977
ACH-000070,-1.54994232055
ACH-000075,-1.5890291720200003
ACH-000078,-1.6114477128799998
ACH-000082,-1.57631063479
ACH-000085,-1.42489360628
ACH-000086,-1.48255895785
ACH-000087,-1.1077522051000002
ACH-000092,-1.4374275685100002
ACH-000095,-1.7051765266499999
ACH-000097,-1.4483960409399999
ACH-000098,-1.39203852519
ACH-000099,-1.8207523083300001
ACH-000108,-1.42010971716
ACH-000113,-1.1993320868700001
ACH-000115,-1.74530897311
ACH-000116,-1.11632477161
ACH-000118,-1.30985086113
ACH-000120,-1.7777399135099998
ACH-000123,-1.52036000861
ACH-000127,-1.4545541802700002
ACH-000128,-1.4916805602
ACH-000132,-1.5462923047100001
ACH-000133,-1.36874846275
ACH-000137,-1.5422104626299997
ACH-000138,-1.48010654166
ACH-000142,-1.52498270936
ACH-000143,-1.39353811216
ACH-000146,-1.45794857914
ACH-000148,-1.40169060208
ACH-000150,-1.47846212924
ACH-000152,-1.3135569338200002
ACH-000153,-1.9111983182900003
ACH-000159,-1.6273462758200001
ACH-000160,-1.1376776581799999
ACH-000163,-1.38738480873
ACH-000167,-1.36430441641
ACH-000168,-1.49628383345
ACH-000169,-1.39486494457
ACH-000178,-1.3331569860999999
ACH-000182,-1.25976823569
ACH-000183,-1.65767837556
ACH-000188,-1.2614327376999999
ACH-000189,-1.27445185014
ACH-000190,-1.03064547436
ACH-000198,-1.49880804886
ACH-000204,-1.5722026095
ACH-000206,-1.21760927058
ACH-000207,-0.940408281328
ACH-000211,-1.20968128053
ACH-000215,-1.5208965415
ACH-000221,-1.52721042729
ACH-000222,-1.5542848775100002
ACH-000223,-1.85077736185
ACH-000226,-1.43040696518
ACH-000227,-2.1227719741
ACH-000228,-1.5411441637
ACH-000231,-1.4152698961399999
ACH-000232,-1.42663016893
ACH-000233,-1.3073181486499998
ACH-000234,-1.16608572526
ACH-000235,-1.45233042014
ACH-000237,-1.44506653091
ACH-000238,-1.43779981859
ACH-000243,-1.49684217098
ACH-000244,-1.3667900416
ACH-000246,-1.49157629449
ACH-000248,-1.32866523376
ACH-000250,-1.5058262051
ACH-000251,-1.34799186694
ACH-000253,-1.53810488264
ACH-000255,-1.26000284126
ACH-000256,-1.2362392616
ACH-000257,-1.7301601503900002
ACH-000258,-1.6290502145299999
ACH-000259,-1.44999382968
ACH-000260,-1.34599111107
ACH-000261,-1.51338178026
ACH-000262,-1.40728902936
ACH-000263,-1.5801656871899998
ACH-000264,-1.76660335558
ACH-000265,-1.3472078581
ACH-000266,-1.4618240154100002
ACH-000272,-1.55544134617
ACH-000273,-1.36535134754
ACH-000274,-1.58879373848
ACH-000277,-1.5828958995299998
ACH-000278,-1.55984900649
ACH-000279,-1.4899549933399998
ACH-000280,-1.5685313627700002
ACH-000281,-1.7563170293200001
ACH-000288,-1.3581078919799998
ACH-000291,-1.59757044221
ACH-000293,-1.03911072254
ACH-000294,-1.22923861618
ACH-000295,-1.58280182709
ACH-000296,-1.44261625512
ACH-000302,-1.7424028350799998
ACH-000304,-1.1204324263299998
ACH-000307,-1.6001797336399999
ACH-000308,-1.45168117898
ACH-000310,-1.7676905383099997
ACH-000311,-1.63822211594
ACH-000312,-1.65851066366
ACH-000315,-1.64374080674
ACH-000316,-1.49159022428
ACH-000317,-2.033089535
ACH-000318,-1.35506166303
ACH-000319,-1.62024196347
ACH-000320,-1.70437673107
ACH-000322,-1.56937900614
ACH-000323,-1.41246284497
ACH-000324,-1.28170995866
ACH-000329,-1.68763370364
ACH-000330,-1.5189555916
ACH-000331,-1.18930253638
ACH-000332,-1.48502210625
ACH-000334,-1.8176281299400001
ACH-000335,-1.3589443864
