,MIDN (90007)
ACH-000004,-0.0691468096253
ACH-000007,0.103599018578
ACH-000009,0.0804106680692
ACH-000011,0.102424858169
ACH-000012,-0.331163869828
ACH-000013,-0.235843720454
ACH-000014,-0.11791295837099999
ACH-000015,-0.142239944328
ACH-000017,-0.555750247214
ACH-000018,-0.392562024678
ACH-000019,-1.0249583688
ACH-000021,-0.27344870421399997
ACH-000022,-0.22055517278700001
ACH-000025,-0.425578929195
ACH-000028,-0.646280006467
ACH-000030,-0.360699725558
ACH-000035,-0.22249023320500003
ACH-000036,-0.192073537881
ACH-000037,-0.156071111493
ACH-000039,-0.550528862017
ACH-000040,-0.539063470472
ACH-000041,-0.22915973634
ACH-000042,-0.179723538777
ACH-000045,-0.508261945084
ACH-000047,-0.25704138517499997
ACH-000052,-0.17933581795899997
ACH-000053,0.119045551986
ACH-000054,-0.210197877642
ACH-000055,-0.182593029617
ACH-000060,-0.049246462226300004
ACH-000067,-0.270721604233
ACH-000070,-0.431509433776
ACH-000075,-0.379854651071
ACH-000078,-0.519537807632
ACH-000082,-0.33993726373000005
ACH-000085,-0.50449295073
ACH-000086,-0.150324047624
ACH-000087,-0.40979799745800005
ACH-000092,-0.155421072924
ACH-000095,-0.302498926411
ACH-000097,-0.44169126791
ACH-000098,-0.327870676739
ACH-000099,-0.5591509546310001
ACH-000108,-0.37817382477300004
ACH-000113,-0.534249352815
ACH-000115,-0.48867868879299997
ACH-000116,-0.22494054206099998
ACH-000118,-0.19250529694000001
ACH-000120,-0.5664646385859999
ACH-000123,-0.20862956717099998
ACH-000127,-0.224657161089
ACH-000128,-0.21822657100900003
ACH-000132,-0.184801670185
ACH-000133,-0.425174554583
ACH-000137,-0.360979123872
ACH-000138,-0.35925091971
ACH-000142,-0.130291599147
ACH-000143,-0.14823006731
ACH-000146,-0.144590723269
ACH-000148,-0.0122418817411
ACH-000150,-0.277146301017
ACH-000152,-0.22659005745900002
ACH-000153,-0.0538511558386
ACH-000159,-0.293939031173
ACH-000160,-0.297455889438
ACH-000163,-0.192734849393
ACH-000167,-0.24975717968400002
ACH-000168,-0.343356248002
ACH-000169,-0.547428617868
ACH-000178,-0.147998356848
ACH-000182,-0.20585109194200002
ACH-000183,-0.0459089965982
ACH-000188,-0.197277154504
ACH-000189,-0.40421898439599996
ACH-000190,0.243594278794
ACH-000198,-0.6733791727420001
ACH-000204,-0.17892950334899999
ACH-000206,-0.46933212571800004
ACH-000207,-0.762946923365
ACH-000211,-0.745525042599
ACH-000215,-0.35500476420599997
ACH-000221,-0.27147900631099997
ACH-000222,-0.34595253481399996
ACH-000223,-0.12905582493599999
ACH-000226,-0.280495787826
ACH-000227,-0.213501068257
ACH-000228,-0.19357442696899999
ACH-000231,-0.172158735187
ACH-000232,-0.23276596946199998
ACH-000233,-0.0720873972573
ACH-000234,-0.330431984954
ACH-000235,-0.169610526759
ACH-000237,-0.324102190033
ACH-000238,-0.192182204923
ACH-000243,-0.0880508725146
ACH-000244,-0.189089196169
ACH-000246,-0.368358921598
ACH-000248,-0.348498495443
ACH-000250,-0.29317745389000005
ACH-000251,-0.316825694069
ACH-000253,-0.284150316788
ACH-000255,-0.094120966269
ACH-000256,-0.274739834479
ACH-000257,0.00701681221914
ACH-000258,-1.0555918737
ACH-000259,-0.296714218135
ACH-000260,-0.269875633984
ACH-000261,-0.371643094937
ACH-000262,-0.106264674153
ACH-000263,-0.163188934801
ACH-000264,-0.406224248742
ACH-000265,-0.222240447947
ACH-000266,-0.232707444223
ACH-000272,-0.12277689371400001
ACH-000273,-0.307776935758
ACH-000274,-0.106682759121
ACH-000277,-0.612687635421
