,SDE2 (163859)
ACH-000004,-1.79024953658
ACH-000007,-1.46113456359
ACH-000009,-1.48486873995
ACH-000011,-1.51106058084
ACH-000012,-1.51151688034
ACH-000013,-1.72935664039
ACH-000014,-1.52969553208
ACH-000015,-1.74656683038
ACH-000017,-1.57950077405
ACH-000018,-1.49439613123
ACH-000019,-1.17344191441
ACH-000021,-1.7516877218900002
ACH-000022,-1.49421319782
ACH-000025,-1.1580214179700001
ACH-000028,-1.3538805232700002
ACH-000030,-1.4981578325799998
ACH-000035,-1.5200168767500002
ACH-000036,-1.4017450731299999
ACH-000037,-0.913159338175
ACH-000039,-1.4522344064300001
ACH-000040,-1.42484915055
ACH-000041,-1.52237286007
ACH-000042,-1.51098413622
ACH-000045,-1.69261061653
ACH-000047,-1.72128607257
ACH-000052,-1.51094381525
ACH-000053,-1.7466325807499998
ACH-000054,-1.5138898949700001
ACH-000055,-1.57106175326
ACH-000060,-1.46974198472
ACH-000067,-1.45809717489
ACH-000070,-1.2537131033700002
ACH-000075,-1.51021848199
ACH-000078,-1.39265721409
ACH-000082,-1.49827582976
ACH-000085,-1.4968355754299998
ACH-000086,-1.45629599378
ACH-000087,-1.5530942885699999
ACH-000092,-1.35947674639
ACH-000095,-1.64067348835
ACH-000097,-1.36436962395
ACH-000098,-1.44570063909
ACH-000099,-1.7119686439200001
ACH-000108,-1.4891072000299999
ACH-000113,-1.39599702398
ACH-000115,-2.34373326431
ACH-000116,-1.7795946885499998
ACH-000118,-1.25621783563
ACH-000120,-1.52402042157
ACH-000123,-1.55542156607
ACH-000127,-1.44815066882
ACH-000128,-1.5965921566299999
ACH-000132,-1.69599500207
ACH-000133,-1.4151255240600003
ACH-000137,-1.8321171517900001
ACH-000138,-1.47864942773
ACH-000142,-1.42985467602
ACH-000143,-1.48109286118
ACH-000146,-1.5293380757799997
ACH-000148,-1.50097806317
ACH-000150,-1.4515004850400002
ACH-000152,-1.30718889106
ACH-000153,-1.27760286984
ACH-000159,-1.4116642579299998
ACH-000160,-1.72870608162
ACH-000163,-1.5430940807799998
ACH-000167,-2.1861755887
ACH-000168,-1.64642770734
ACH-000169,-1.53860077549
ACH-000178,-1.4423625334399999
ACH-000182,-1.7218707319
ACH-000183,-1.4393533394799998
ACH-000188,-1.43693318247
ACH-000189,-1.13898560857
ACH-000190,-1.86181789257
ACH-000198,-1.42761332088
ACH-000204,-1.6059208244299998
ACH-000206,-1.6083250787799999
ACH-000207,-1.32804779505
ACH-000211,-1.3812754159399998
ACH-000215,-1.59471991611
ACH-000221,-1.61030088588
ACH-000222,-1.5918807345800001
ACH-000223,-1.78660535623
ACH-000226,-1.15063623023
ACH-000227,-1.8689376501099997
ACH-000228,-1.4103267859200002
ACH-000231,-1.4864862085
ACH-000232,-1.73896714792
ACH-000233,-1.49416445285
ACH-000234,-1.4704456184399999
ACH-000235,-1.66190187887
ACH-000237,-1.55580297367
ACH-000238,-1.38857005368
ACH-000243,-1.4891788004700002
ACH-000244,-1.53780203764
ACH-000246,-1.38178002051
ACH-000248,-1.3182459826000001
ACH-000250,-1.5938591147
ACH-000251,-1.3879595844200001
ACH-000253,-1.56059708532
ACH-000255,-1.11695954969
ACH-000256,-1.46345257148
ACH-000257,-1.40894294907
ACH-000258,-1.06710964011
ACH-000259,-1.64757870639
ACH-000260,-1.37164009685
ACH-000261,-1.61220517131
ACH-000262,-1.5629707786700002
ACH-000263,-1.66817033761
ACH-000264,-1.84183653551
ACH-000265,-1.6253603849
ACH-000266,-1.5506203444
ACH-000272,-1.3486153104499998
ACH-000273,-1.5337342359200001
ACH-000274,-1.21521129775
ACH-000277,-1.69670431859
ACH-000278,-1.2955373450399998
ACH-000279,-1.68957715359
ACH-000280,-1.40373428256
ACH-000281,-1.5802270751700003
ACH-000288,-1.4786502452899999
ACH-000291,-1.34085533287
ACH-000293,-1.5298576801800001
ACH-000294,-1.8998471649400002
ACH-000295,-1.65839207699
ACH-000296,-1.56188332373
ACH-000302,-1.8451046791099999
ACH-000304,-0.890464623252
ACH-000307,-1.30296423145
ACH-000308,-1.63635356905
ACH-000310,-1.6842213313699999
ACH-000311,-1.48237787111
ACH-000312,-1.4199257534
ACH-000315,-1.7155045026499998
ACH-000316,-1.68780715692
ACH-000317,-1.59041255153
ACH-000318,-1.2719171115
ACH-000319,-1.67346595884
ACH-000320,-1.3133182780700001
ACH-000322,-1.66905366616
ACH-000323,-1.4563361646700002
ACH-000324,-1.55106872627
ACH-000329,-1.61352671054
ACH-000330,-1.51081009187
ACH-000331,-1.28880724735
ACH-000332,-1.43839212821
ACH-000334,-1.9797735672
ACH-000335,-1.19844206951
ACH-000336,-2.037657386
ACH-000337,-1.2033085436700002
ACH-000339,-1.60641534375
ACH-000341,-1.5210853194100002
ACH-000348,-1.68714786988
ACH-000350,-1.47721866727
ACH-000352,-1.46997632979
ACH-000356,-1.76151451845
ACH-000361,-1.5100035790200002
ACH-000362,-1.49572236229
ACH-000363,-1.6843972416400002
ACH-000364,-1.19783670017
ACH-000365,-1.64404479115
ACH-000366,-1.27118929871
ACH-000368,-1.47643490887
ACH-000374,-1.32734653022
ACH-000375,-1.4489536517800001
ACH-000376,-1.50110903018
ACH-000381,-1.61118446374
ACH-000383,-1.6636774065600002
ACH-000387,-1.8077676708000001
ACH-000389,-1.5688246197600002
ACH-000390,-1.86909494539
ACH-000393,-1.54237650872
ACH-000395,-1.8216688309
ACH-000397,-1.15064175419
ACH-000401,-1.5112763367500002
ACH-000402,-1.86482722971
ACH-000403,-1.6150560268599998
ACH-000404,-1.23195672074
ACH-000406,-1.5641589807499998
ACH-000407,-1.18022303014
ACH-000408,-1.17644032397
ACH-000410,-1.7333821233700002
ACH-000411,-1.3376026540200001
ACH-000414,-1.5324462232799998
ACH-000415,-1.71457664484
ACH-000416,-1.6502578643099999
ACH-000420,-1.22061761894
ACH-000421,-1.35887602603
ACH-000424,-1.51997566585
ACH-000425,-1.6765027741299998
ACH-000426,-2.04188500523
ACH-000427,-1.8300782227599999
ACH-000433,-1.2824011785299998
ACH-000436,-1.359222982
ACH-000444,-1.47752921488
ACH-000445,-1.3184559713
ACH-000448,-1.54791895024
ACH-000450,-1.55521780777
ACH-000452,-1.7241486427700001
ACH-000454,-1.16950933765
ACH-000458,-1.47225596036
ACH-000459,-2.21936151788
ACH-000460,-1.27377631486
ACH-000461,-1.66348421039
ACH-000463,-1.2255371148799998
ACH-000464,-1.6000853234799999
ACH-000466,-1.8720981842700002
ACH-000467,-1.41765029011
ACH-000468,-1.4290220988999998
ACH-000469,-1.44281919692
ACH-000470,-1.7181687833900001
ACH-000471,-1.53138003291
ACH-000472,-1.78445751843
ACH-000473,-1.60388352024
ACH-000475,-1.55788748528
ACH-000476,-1.34844021995
ACH-000477,-1.8680813089
ACH-000480,-1.48424900026
ACH-000481,-1.69068248998
ACH-000483,-1.5387232255399999
ACH-000484,-1.7537309775799999
ACH-000485,-1.6038895215399998
