,SHQ1 (55164)
ACH-000004,-0.977525459695
ACH-000007,-1.07415043635
ACH-000009,-1.1478613436
ACH-000011,-1.0817816932200002
ACH-000012,-1.15626337223
ACH-000013,-1.03742539014
ACH-000014,-1.02246313678
ACH-000015,-1.14075610101
ACH-000017,-1.18912597673
ACH-000018,-1.27336699089
ACH-000019,-1.02239190529
ACH-000021,-0.8852499630410001
ACH-000022,-1.11541078681
ACH-000025,-1.0115777795799998
ACH-000028,-1.0620712574700002
ACH-000030,-1.0088163482299999
ACH-000035,-1.27761705018
ACH-000036,-0.849493820597
ACH-000037,-0.562520960812
ACH-000039,-1.1128981629299999
ACH-000040,-1.1534293943
ACH-000041,-1.24836099074
ACH-000042,-1.21897444263
ACH-000045,-1.15103941909
ACH-000047,-1.01605823265
ACH-000052,-1.4414037008899998
ACH-000053,-1.12940588317
ACH-000054,-0.9193604149160001
ACH-000055,-1.2995543486399999
ACH-000060,-1.28974052094
ACH-000067,-1.1393054892899999
ACH-000070,-0.9112965548180001
ACH-000075,-1.09031228914
ACH-000078,-1.45329809666
ACH-000082,-0.929918856545
ACH-000085,-1.4089283059600002
ACH-000086,-0.953248169146
ACH-000087,-1.3677264752
ACH-000092,-0.810911555388
ACH-000095,-1.14758174245
ACH-000097,-1.0525215319
ACH-000098,-0.9951948238089999
ACH-000099,-1.0235137720899998
ACH-000108,-1.2649203910200002
ACH-000113,-1.16801771516
ACH-000115,-0.545596170438
ACH-000116,-1.07181978321
ACH-000118,-0.944630441811
ACH-000120,-0.9740451300990001
ACH-000123,-0.952254942145
ACH-000127,-0.9105087848019999
ACH-000128,-1.13939279332
ACH-000132,-0.9646621163429999
ACH-000133,-1.2947759375299999
ACH-000137,-1.1436956948
ACH-000138,-1.2052847199799999
ACH-000142,-1.18930720411
ACH-000143,-0.97872611631
ACH-000146,-1.01572722753
ACH-000148,-0.9484538703450001
ACH-000150,-0.9750562715629999
ACH-000152,-1.18568899183
ACH-000153,-1.4225443611200002
ACH-000159,-1.1506969892799999
ACH-000160,-1.04862083873
ACH-000163,-1.00606559518
ACH-000167,-1.06259605793
ACH-000168,-0.944222121945
ACH-000169,-1.22416477735
ACH-000178,-1.08957256014
ACH-000182,-0.872898480887
ACH-000183,-0.921172591696
ACH-000188,-1.0600319851
ACH-000189,-0.899838015529
ACH-000190,-1.11553174325
ACH-000198,-1.0259607848799999
ACH-000204,-1.1539074595799999
ACH-000206,-1.2471304345299998
ACH-000207,-1.10368516595
ACH-000211,-1.13786452631
