,MEF2BNB (729991)
ACH-000004,-0.172191983994
ACH-000007,-0.45105643752700003
ACH-000009,-0.26881059344
ACH-000011,-0.478614820791
ACH-000012,-0.178614641466
ACH-000013,-0.35381975487800005
ACH-000014,-0.40403470358000004
ACH-000015,-0.6122016406390001
ACH-000017,-0.7497091197769999
ACH-000018,-0.0485677330385
ACH-000019,-0.689738436084
ACH-000021,-0.50801016954
ACH-000022,-0.49689001131300004
ACH-000025,-0.36974173622400003
ACH-000028,-0.647576206493
ACH-000030,-0.37943313939999995
ACH-000035,-0.28974707699
ACH-000036,-0.471323430044
ACH-000037,-0.299477034286
ACH-000039,-0.725274329443
ACH-000040,-0.29250723742
ACH-000041,-0.473016078345
ACH-000042,-0.502920610865
ACH-000045,-0.426120338286
ACH-000047,-0.28803548727
ACH-000052,-0.607184461848
ACH-000053,-0.437225756735
ACH-000054,-0.418004004409
ACH-000055,-0.24427075235800003
ACH-000060,-0.452325729127
ACH-000067,-0.333168656073
ACH-000070,-0.274021329905
ACH-000075,0.106132533986
ACH-000078,-0.334830995368
ACH-000082,-0.368004174407
ACH-000085,-0.25568814670400003
ACH-000086,-0.47123910242399997
ACH-000087,-0.09274309199719999
ACH-000092,-0.509681427089
ACH-000095,-0.31863947404
ACH-000097,-0.37366692605400004
ACH-000098,-0.274289200647
ACH-000099,-0.398346195015
ACH-000108,-0.477792319595
ACH-000113,-0.6231823255619999
ACH-000115,-0.33589051235100004
ACH-000116,-0.296763266043
ACH-000118,-0.460548486714
ACH-000120,-0.304385443159
ACH-000123,-0.508144905707
ACH-000127,-0.281882975396
ACH-000128,-0.438090365353
ACH-000132,-0.38330065267999996
ACH-000133,-0.0645022895589
ACH-000137,-0.6863291944359999
ACH-000138,-0.42707881019
ACH-000142,-0.466034972862
ACH-000143,-0.36805238184600003
ACH-000146,-0.496447365346
ACH-000148,-0.278566986312
ACH-000150,-0.41502132037
ACH-000152,-0.270239809637
ACH-000153,-0.12056751780099999
ACH-000159,-0.5155238976300001
ACH-000160,-0.27495979347800004
ACH-000163,-0.697050836758
ACH-000167,-0.266489662377
ACH-000168,-0.7451022004100001
ACH-000169,-0.313703428748
ACH-000178,-0.55265385618
ACH-000182,-0.481799464474
ACH-000183,-0.302299646331
ACH-000188,-0.49510417000100004
ACH-000189,-0.472329798054
ACH-000190,-0.366829348684
ACH-000198,-0.400885370097
ACH-000204,-0.352746906513
ACH-000206,-0.357993079071
ACH-000207,-0.29256156339699996
ACH-000211,-0.413631087252
ACH-000215,-0.35504116903399996
ACH-000221,-0.407889632111
ACH-000222,-0.404892392021
ACH-000223,-0.277275368475
ACH-000226,-0.43168460792400004
ACH-000227,-0.396137419253
ACH-000228,-0.313243940609
ACH-000231,-0.294480124266
ACH-000232,-0.46586608571000004
ACH-000233,-0.5154364463350001
ACH-000234,-0.5548412798800001
ACH-000235,-0.52703481673
ACH-000237,-0.401885959951
ACH-000238,-0.387144388872
ACH-000243,-0.45642417299599997
ACH-000244,-0.608546500671
ACH-000246,-0.300264079599
ACH-000248,-0.567304082319
ACH-000250,-0.3478869715
ACH-000251,-0.314043187822
ACH-000253,-0.363548369062
ACH-000255,-0.48947761748499996
ACH-000256,-0.17730220332899999
ACH-000257,-0.446788115079
ACH-000258,-0.148203309103
ACH-000259,-0.43136628308700004
ACH-000260,-0.44110164583899997
ACH-000261,-0.48915784134499996
ACH-000262,-0.192691570872
ACH-000263,-0.475148062021
ACH-000264,-0.19299154309500002
ACH-000265,-0.10521585495500001
ACH-000266,-0.45017495289899995
ACH-000272,-0.463669757442
ACH-000273,-0.35300982563600003
ACH-000274,-0.09040289199439999
ACH-000277,-0.30281857758499997
ACH-000278,-0.6414136114760001
ACH-000279,-0.11047117497199999
ACH-000280,-0.206211200562
ACH-000281,-0.23667134613200003
ACH-000288,-0.221769685771
ACH-000291,-0.43986916118
ACH-000293,-0.349586643022
ACH-000294,-0.739429924813
ACH-000295,-0.310273161695
ACH-000296,-0.42963261235600003
ACH-000302,-0.485076643403
ACH-000304,-0.425411743493
ACH-000307,-0.409909437969
ACH-000308,-0.308637404505
ACH-000310,-0.405668384667
ACH-000311,-0.608706909396
ACH-000312,-0.31983659589
ACH-000315,-0.497089269979
ACH-000316,-0.19617670782699997
ACH-000317,-0.212518988456
ACH-000318,-0.710651633474
ACH-000319,-0.23971502888799998
ACH-000320,-0.646595517495
ACH-000322,-0.322654222486
ACH-000323,-0.33373529202
ACH-000324,-0.271991305129
ACH-000329,-0.20202612152600002
ACH-000330,-0.169481704004
ACH-000331,-0.573208161941
ACH-000332,-0.289605987492
ACH-000334,-0.700452272678
ACH-000335,-0.277593514222
ACH-000336,0.06328750412510001
ACH-000337,-0.656031481487
ACH-000339,-0.527725645187
ACH-000341,-0.43844665094999996
ACH-000348,-0.531762723786
ACH-000350,-0.318355759587
ACH-000352,-0.362610568852
ACH-000356,-0.107173287602
ACH-000361,-0.148358514701
ACH-000362,-0.5707053362169999
ACH-000363,-0.450554879876
ACH-000364,-0.46309243788500004
ACH-000365,-0.0934758234358
ACH-000366,-0.370247693414
ACH-000368,-0.196147279505
ACH-000374,-0.261461772137
ACH-000375,-0.449558170503
ACH-000376,-0.035310307728800006
ACH-000381,-0.238466321617
ACH-000383,-0.293607806403
ACH-000387,-0.437763466504
ACH-000389,-0.390395412883
ACH-000390,-0.266351574308
ACH-000393,-0.284378398335
ACH-000395,-0.33598340205399996
ACH-000397,-0.252390270506
ACH-000401,-0.633264743987
ACH-000402,-0.586420058259
ACH-000403,-0.38945752717200005
ACH-000404,-0.633052256908
ACH-000406,-0.479285372495
ACH-000407,-0.458166814174
ACH-000408,-0.281304343044
ACH-000410,-0.4346154919100001
ACH-000411,-0.45367965599200005
ACH-000414,-0.417552327857
ACH-000415,-0.35013341575199997
ACH-000416,-0.405760946928
ACH-000420,-0.487761859882
ACH-000421,-0.20729828334199998
ACH-000424,-0.443784964277
ACH-000425,-0.250090444422
ACH-000426,-0.674693660964
ACH-000427,-0.201303906191
ACH-000433,-0.739923056828
ACH-000436,-0.210670634169
ACH-000444,-0.138210218774
ACH-000445,-0.458440818332
ACH-000448,-0.623090164751
ACH-000450,-0.42767265671
ACH-000452,-0.265459651548
ACH-000454,-0.736840585926
ACH-000458,-0.479897702358
ACH-000459,-0.595379060536
ACH-000460,-0.387939750397
ACH-000461,-0.508727678969
ACH-000463,-0.59873337971
ACH-000464,-0.281230513191
ACH-000466,-0.384356580488
ACH-000467,-0.49318922489699996
ACH-000468,-0.278374972928
ACH-000469,-0.510795737073
ACH-000470,-0.37663926814300003
ACH-000471,-0.495413036448
ACH-000472,-0.27862163778099996
ACH-000473,-0.368715963617
ACH-000475,-0.50008584191
ACH-000476,-0.416557615434
ACH-000477,-0.29502473398
ACH-000480,-0.595627910537
ACH-000481,-0.47529328904
ACH-000483,-0.129615214835
ACH-000484,0.023511424926
ACH-000485,-0.464866714883
ACH-000486,-0.33056294181400003
ACH-000487,-0.609348036694
ACH-000488,-0.149740200599
ACH-000490,-0.38105610511999993
