,APLNR (187)
ACH-000004,-0.071507716734
ACH-000007,-0.297477112522
ACH-000009,-0.000722533130782
ACH-000011,-0.422046758383
ACH-000012,-0.152267045262
ACH-000013,-0.12273675854800001
ACH-000014,0.0206366711193
ACH-000015,-0.251758977087
ACH-000017,-0.132952703928
ACH-000018,-0.47374411594300003
ACH-000019,-0.038410272369
ACH-000021,-0.23339327507899998
ACH-000022,-0.216129450192
ACH-000025,-0.11683593913899999
ACH-000028,-0.164432591942
ACH-000030,-0.174987122326
ACH-000035,-0.07573634387360001
ACH-000036,-0.138582000961
ACH-000037,-0.532379486434
ACH-000039,-0.329009490206
ACH-000040,-0.11751929790400001
ACH-000041,-0.180099019094
ACH-000042,-0.161697278326
ACH-000045,-0.32006963055
ACH-000047,-0.198389384316
ACH-000052,0.021164184505500002
ACH-000053,-0.173672299757
ACH-000054,-0.022587561461299997
ACH-000055,-0.34890527424199996
ACH-000060,-0.365284958025
ACH-000067,0.142182797329
ACH-000070,-0.0808992213506
ACH-000075,-0.377438003049
ACH-000078,-0.047343674566
ACH-000082,-0.24970690579
ACH-000085,-0.30633884497200004
ACH-000086,-0.335150889756
ACH-000087,-0.149578034902
ACH-000092,-0.159530097569
ACH-000095,-0.152479433
ACH-000097,-0.145486659226
ACH-000098,-0.009994514369940002
ACH-000099,-0.112094793893
ACH-000108,-0.09344858210000001
ACH-000113,-0.203020004543
ACH-000115,-0.13595860679000002
ACH-000116,-0.163917872435
ACH-000118,-0.308136861433
ACH-000120,-0.0469254107747
ACH-000123,-0.0525354410724
ACH-000127,-0.116424617588
ACH-000128,-0.18366611786400003
ACH-000132,-0.40621358415200004
ACH-000133,-0.19231337445500002
ACH-000137,-0.41981021028300003
ACH-000138,-0.216425369046
ACH-000142,-0.34004652137900004
ACH-000143,-0.022889549748299997
ACH-000146,-0.12162007945900001
ACH-000148,-0.302621365761
ACH-000150,-0.257739769249
ACH-000152,-0.011854504887200001
ACH-000153,-0.681944433444
ACH-000159,-0.169796452457
ACH-000160,-0.168620498382
ACH-000163,-0.0664749386565
ACH-000167,0.00135959799768
ACH-000168,-0.240438159945
ACH-000169,-0.162843608579
ACH-000178,-0.15368356947999998
ACH-000182,-0.131538624497
ACH-000183,-0.184564116168
ACH-000188,-0.379945147945
ACH-000189,-0.17704936210900002
ACH-000190,-0.257412250189
ACH-000198,-0.166391043585
ACH-000204,-0.212713547972
ACH-000206,-0.165738662365
ACH-000207,0.00395460423724
ACH-000211,-0.401444081396
ACH-000215,-0.120335224444
ACH-000221,-0.4698107886
ACH-000222,-0.196934147329
ACH-000223,-0.0508368015272
ACH-000226,-0.25471683599
ACH-000227,0.049706088887599996
ACH-000228,-0.317157754879
ACH-000231,-0.19374053620099999
ACH-000232,-0.1448534461
ACH-000233,-0.179688838365
ACH-000234,0.008586072504319999
ACH-000235,-0.212088747931
ACH-000237,-0.292901217054
ACH-000238,-0.34550052200599995
ACH-000243,-0.0710243472085
ACH-000244,-0.166482042065
ACH-000246,-0.290559275332
ACH-000248,-0.159174015512
ACH-000250,-0.136695344276
ACH-000251,-0.213246546584
ACH-000253,-0.0906525889236
ACH-000255,-0.127389624717
ACH-000256,-0.491963305731
ACH-000257,-0.187149349622
ACH-000258,-0.00741672417298
ACH-000259,-0.09256542887989999
ACH-000260,-0.170628066472
ACH-000261,-0.250412703211
ACH-000262,-0.623586401856
ACH-000263,-0.37988233855400005
ACH-000264,-0.131665514731
ACH-000265,-0.15271708691299998
ACH-000266,-0.090020554169
ACH-000272,-0.0763422540983
ACH-000273,-0.09705662073389999
ACH-000274,-0.147204640395
ACH-000277,-0.114324061666
ACH-000278,-0.15488856380000002
ACH-000279,-0.20313831491099998
ACH-000280,0.019586702719700002
ACH-000281,0.011348292368299998
ACH-000288,-0.28083462811
ACH-000291,-0.0821534766569
ACH-000293,-0.202003870188
ACH-000294,-0.145945745431
ACH-000295,-0.362982066453
ACH-000296,-0.22433935121100002
ACH-000302,-0.18884114003400002
ACH-000304,-0.246162358959
ACH-000307,-0.23330069342300003
ACH-000308,-0.18281490570099998
ACH-000310,-0.0166302968535
ACH-000311,-0.12046689589000001
ACH-000312,-0.01912733539
ACH-000315,-0.219160870183
ACH-000316,-0.122854671685
ACH-000317,-0.199204006669
ACH-000318,-0.250382610136
ACH-000319,-0.320140758906
ACH-000320,-0.06153954096250001
ACH-000322,-0.213885478057
ACH-000323,-0.167699882334
ACH-000324,0.0007852093321769999
ACH-000329,-0.213307535018
ACH-000330,-0.330829077624
ACH-000331,-0.11769058029200001
ACH-000332,-0.0737047196396
ACH-000334,-0.154995206848
ACH-000335,-0.177689904373
ACH-000336,-0.159538553879
ACH-000337,-0.274119290671
ACH-000339,-0.133131090116
ACH-000341,-0.260503464747
ACH-000348,-0.15866650315300002
ACH-000350,-0.11730544038799999
ACH-000352,-0.229388658739
ACH-000356,-0.13234424025900002
ACH-000361,-0.366541107059
ACH-000362,-0.0713798472184
ACH-000363,-0.0162504336196
ACH-000364,-0.33219555844
ACH-000365,-0.0884522918445
ACH-000366,-0.221449422955
ACH-000368,-0.20436018303300002
ACH-000374,-0.17151180241900002
ACH-000375,-0.38935489669100004
ACH-000376,-0.234196785608
ACH-000381,-0.242681291672
ACH-000383,-0.18300386573600003
ACH-000387,-0.141034057992
ACH-000389,-0.157282558725
ACH-000390,-0.0116950941555
ACH-000393,-0.248367241053
ACH-000395,-0.259137017461
ACH-000397,-0.0310194879202
ACH-000401,0.112118216051
ACH-000402,-0.07669207335889999
ACH-000403,-0.09041300730799999
ACH-000404,-0.332248338601
ACH-000406,-0.171380964292
ACH-000407,-0.235763085069
ACH-000408,-0.250933584221
ACH-000410,-0.183879480933
ACH-000411,-0.16191507502
ACH-000414,0.0391805704066
ACH-000415,-0.326423541594
ACH-000416,-0.12079585389599999
ACH-000420,-0.21346527225099998
ACH-000421,-0.188340906201
ACH-000424,-0.38798349399099996
ACH-000425,0.009834872720229999
ACH-000426,-0.150379270824
ACH-000427,-0.21578673009399998
ACH-000433,-0.320912924925
ACH-000436,-0.203163315218
ACH-000444,-0.03606902905769999
ACH-000445,-0.238682320204
ACH-000448,-0.206568412398
ACH-000450,-0.08119286569760001
ACH-000452,-0.22972182273400002
ACH-000454,-0.21204953535
ACH-000458,-0.204784637062
ACH-000459,-0.08193324633610001
ACH-000460,-0.1025097242
ACH-000461,-0.570419002712
ACH-000463,-0.0714101172253
ACH-000464,-0.080736639885
ACH-000466,-0.27939696847199996
ACH-000467,-0.16828633279199998
ACH-000468,-0.26267506638599997
ACH-000469,-0.107715847806
ACH-000470,-0.155814096076
ACH-000471,-0.183976113581
ACH-000472,-0.08719248492699999
ACH-000473,-0.35110472985
ACH-000475,-0.17812823510899997
ACH-000476,-0.188065413579
ACH-000477,-0.289500291122
ACH-000480,0.0593356443145
ACH-000481,-0.041536328625800006
ACH-000483,-0.262071777011
ACH-000484,-0.259987330414
ACH-000485,-0.124098989584
ACH-000486,-0.18203565019499998
ACH-000487,-0.38582939853
ACH-000488,-0.140791611175
ACH-000490,-0.286045890656
ACH-000491,-0.110682116832
ACH-000495,-0.20948096526
ACH-000496,-0.22896750225200002
ACH-000499,-0.204956469366
ACH-000500,-0.687875803386
ACH-000502,0.018598045163400002
ACH-000503,-0.13198852247099999
ACH-000505,-0.187677159879
ACH-000507,-0.0477733508369
ACH-000510,-0.150282594475
ACH-000511,-0.0528822664402
ACH-000512,-0.407690595167
ACH-000516,0.0935176077548
ACH-000517,-0.11557129682
ACH-000518,-0.194034980859
ACH-000520,-0.320722916567
ACH-000521,0.048720602636000004
ACH-000522,-0.269232209914
ACH-000524,-0.238392714778
ACH-000527,-0.135011471778
ACH-000528,-0.260802888234
ACH-000537,-0.114810822509
ACH-000541,-0.236421910282
ACH-000542,-0.117965834094
ACH-000544,-0.526806982703
ACH-000545,-0.331038472313
ACH-000547,-0.138074591725
ACH-000548,-0.21004567782699998
ACH-000549,-0.179078559903
ACH-000550,-0.023985414826700004
ACH-000552,-0.217309986591
ACH-000556,-0.243547249145
ACH-000557,-0.21539249771299998
ACH-000570,-0.111393478772
ACH-000571,-0.30760216014499997
ACH-000573,-0.0463946585585
ACH-000576,0.0390679432978
ACH-000580,-0.30464949777100003
ACH-000584,-0.17874027093800002
ACH-000585,-0.186485772194
ACH-000588,-0.198706014349
ACH-000589,0.0495296349572
ACH-000591,-0.31343105136
ACH-000593,-0.25658758524
ACH-000600,-0.36111298866700003
ACH-000601,-0.162644134312
ACH-000604,-0.369611826224
ACH-000605,-0.365409782281
ACH-000606,-0.44290677708099996
ACH-000608,-0.267025763119
ACH-000614,-0.191106646042
ACH-000616,-0.294718641635
ACH-000618,-0.31639497741
ACH-000619,-0.0701607308961
ACH-000620,-0.005179552112520001
ACH-000621,-0.08603559252149999
ACH-000622,-0.08512586248089998
ACH-000623,-0.267836829641
ACH-000624,-0.144336929295
ACH-000627,-0.11160230333799999
ACH-000630,-0.18220523381700002
ACH-000632,-0.11416281362299999
ACH-000633,-0.109974123666
ACH-000637,-0.535451468824
ACH-000638,-0.00264041856042
ACH-000646,-0.249975041812
ACH-000647,-0.259129441413
ACH-000648,-0.0954512531418
ACH-000649,-0.165733058841
ACH-000651,-0.116408183498
ACH-000652,-0.211600230449
ACH-000653,-0.22533268422699998
ACH-000657,-0.119739128318
ACH-000658,-0.129148919247
ACH-000661,-0.10308709767
ACH-000662,-0.0288586773015
ACH-000663,-0.23099079322799998
ACH-000665,-0.34058218141400004
ACH-000671,-0.335275650293
ACH-000673,-0.13483247000499998
ACH-000676,-0.18729641746800002
ACH-000677,-0.166055355326
ACH-000681,-0.0301712695261
ACH-000682,-0.174489569091
ACH-000683,-0.245344296661
ACH-000684,-0.0571858545417
ACH-000688,-0.037657824400800004
ACH-000693,-0.302741325692
ACH-000694,-0.196457599274
ACH-000695,-0.016687922855799998
ACH-000696,-0.177653569527
ACH-000697,-0.198562819835
ACH-000699,-0.0590108057878
ACH-000701,-0.178826607522
ACH-000706,-0.28075292066199997
ACH-000711,-0.155285194902
ACH-000713,-0.35975699579099996
ACH-000714,-0.24333651996199998
ACH-000718,-0.21969188706999998
ACH-000720,-0.266376978835
ACH-000721,-0.197981359169
ACH-000724,-0.376059856942
ACH-000725,-0.351428176551
ACH-000732,-0.668038757712
ACH-000734,-0.215004042261
ACH-000735,-0.24357566393000002
ACH-000736,-0.16476464900499999
ACH-000738,-0.233334061695
ACH-000746,0.017334262043000002
ACH-000747,-0.362429977509
ACH-000748,-0.09662212592980002
ACH-000753,-0.205785447078
ACH-000756,-0.249786802666
ACH-000757,-0.0701070015553
ACH-000758,-0.303276201536
ACH-000760,-0.112906658669
