,ARL13B (200894)
ACH-000004,-0.169801345464
ACH-000007,-0.265324918243
ACH-000009,0.0282364274544
ACH-000011,-0.106893892138
ACH-000012,-0.10966695285599999
ACH-000013,-0.0904928477772
ACH-000014,-0.317407952376
ACH-000015,-0.126782944554
ACH-000017,0.058904308974199994
ACH-000018,-0.0458990907153
ACH-000019,-0.539205960665
ACH-000021,-0.17715325186099998
ACH-000022,-0.09046275934669999
ACH-000025,0.05694402908869999
ACH-000028,-0.301472338948
ACH-000030,-0.0766579359414
ACH-000035,-0.132354854695
ACH-000036,-0.140683772109
ACH-000037,0.116871532292
ACH-000039,0.134199162206
ACH-000040,-0.0695482003713
ACH-000041,0.0376530735261
ACH-000042,-0.018913354626200002
ACH-000045,0.0071685133499700005
ACH-000047,-0.0366123269676
ACH-000052,0.302384851824
ACH-000053,-0.119100257339
ACH-000054,-0.320487061575
ACH-000055,-0.249338673891
ACH-000060,-0.271412505041
ACH-000067,-0.282140752659
ACH-000070,0.179578692361
ACH-000075,0.127804863692
ACH-000078,-0.30707661200999997
ACH-000082,0.115072908328
ACH-000085,0.0749064895306
ACH-000086,-0.20942704229200002
ACH-000087,-0.331874520561
ACH-000092,-0.13595889197
ACH-000095,-0.12243633419399999
ACH-000097,-0.20832923283799998
ACH-000098,-0.0192132510099
ACH-000099,-0.09568354474860001
ACH-000108,-0.40427955060000004
ACH-000113,-0.061413412200199996
ACH-000115,0.15307918417400002
ACH-000116,-0.0026052536788000002
ACH-000118,-0.336660342117
ACH-000120,-0.209560023951
ACH-000123,-0.176832899001
ACH-000127,-0.113026896376
ACH-000128,-0.318226408401
ACH-000132,-0.0950660222779
ACH-000133,-0.0035527268933699995
ACH-000137,-0.248016654762
ACH-000138,-0.122278651333
ACH-000142,-0.202535144661
ACH-000143,-0.00530887378706
ACH-000146,-0.0697069246329
ACH-000148,0.0818302961135
ACH-000150,-0.00514563406271
ACH-000152,-0.0972298573261
ACH-000153,-0.182804511177
ACH-000159,-0.20856098922400002
ACH-000160,-0.0491663255762
ACH-000163,-0.175039466957
ACH-000167,0.137832114663
ACH-000168,0.0579986682415
ACH-000169,-0.135352631351
ACH-000178,-0.17626832049600002
ACH-000182,-0.169081472337
ACH-000183,-0.23993470786899998
ACH-000188,-0.17510498078499998
ACH-000189,-0.338205884972
ACH-000190,-0.0287721359523
ACH-000198,-0.065137107062
ACH-000204,0.0592977063979
ACH-000206,-0.436031121297
ACH-000207,-0.209184942476
ACH-000211,-0.260232693499
ACH-000215,-0.19613775476599998
ACH-000221,-0.255007526938
ACH-000222,-0.00974289327821
ACH-000223,-0.10732307231100001
ACH-000226,-0.43386142577500003
ACH-000227,0.287821312132
ACH-000228,-0.129746880532
ACH-000231,-0.254585730753
ACH-000232,-0.076806906382
ACH-000233,-0.20110939008
ACH-000234,-0.118987100089
ACH-000235,-0.25656737119
ACH-000237,-0.07024826582810001
ACH-000238,0.128060699826
ACH-000243,-0.09001808792510001
ACH-000244,0.166500918802
ACH-000246,-0.0680239852047
ACH-000248,-0.175511489294
ACH-000250,-0.00046280192543999996
ACH-000251,-0.535933527173
ACH-000253,-0.0976914464518
ACH-000255,-0.038837766276300006
ACH-000256,0.039053649242800005
ACH-000257,0.067431601821
ACH-000258,-0.0414619512928
ACH-000259,-0.000397755821267
ACH-000260,-0.17489171221000002
ACH-000261,-0.143933346207
ACH-000262,-0.124727149959
ACH-000263,-0.349150146795
ACH-000264,-0.037623600427099994
ACH-000265,-0.253671365601
ACH-000266,-0.18485980472199998
ACH-000272,-0.195698818046
ACH-000273,-0.039299470919999996
ACH-000274,-0.17700493905099998
ACH-000277,-0.061518818957199996
ACH-000278,-0.194941719046
ACH-000279,-0.0122766449511
ACH-000280,-0.24336163441999997
ACH-000281,0.0794249870166
ACH-000288,-0.0432493115847
ACH-000291,-0.125910964774
ACH-000293,-0.128557540211
ACH-000294,-0.04875808471919999
ACH-000295,0.131744372491
ACH-000296,-0.462478984315
ACH-000302,-0.349632341897
ACH-000304,-0.22250260954300002
ACH-000307,-0.037434918121
ACH-000308,-0.195909024439
ACH-000310,-0.269860367004
ACH-000311,-0.335139223833
ACH-000312,-0.104090505261
ACH-000315,0.105181926075
ACH-000316,0.123078820023
ACH-000317,0.029046713884700003
ACH-000318,-0.343274056138
ACH-000319,-0.12285743464099999
ACH-000320,-0.406495105365
ACH-000322,-0.296480436018
