,RRN3 (54700)
ACH-000004,-1.2893071965799998
ACH-000007,-0.875788495192
ACH-000009,-1.11936053279
ACH-000011,-1.2697189889
ACH-000012,-1.0530474760700002
ACH-000013,-1.38690362544
ACH-000014,-1.30028650835
ACH-000015,-1.3272874637799998
ACH-000017,-1.1618412127600002
ACH-000018,-1.13649371547
ACH-000019,-1.3171704983499999
ACH-000021,-1.0893390843100001
ACH-000022,-1.3405763621
ACH-000025,-1.14342851049
ACH-000028,-0.951838707106
ACH-000030,-1.0155138054200001
ACH-000035,-0.9259559834469999
ACH-000036,-0.885221872599
ACH-000037,-1.24697100506
ACH-000039,-1.14551758997
ACH-000040,-0.9027535764799999
ACH-000041,-1.2427590669600002
ACH-000042,-1.1475486023
ACH-000045,-1.05094418553
ACH-000047,-1.1162118214299999
ACH-000052,-1.18867314384
ACH-000053,-1.05794355498
ACH-000054,-1.3217008931999998
ACH-000055,-1.39671713235
ACH-000060,-0.916246728923
ACH-000067,-1.14554113173
ACH-000070,-1.3869610599000002
ACH-000075,-1.32046539339
ACH-000078,-1.1224778885200002
ACH-000082,-1.46500392002
ACH-000085,-0.7023897773019999
ACH-000086,-1.08645247734
ACH-000087,-1.34517983199
ACH-000092,-1.2062192334100001
ACH-000095,-1.27942895296
ACH-000097,-1.1246872138400001
ACH-000098,-1.16198633981
ACH-000099,-0.9247422521690001
ACH-000108,-0.994094296884
ACH-000113,-1.13110276585
ACH-000115,-1.7112677529700002
ACH-000116,-1.14171746887
ACH-000118,-1.00273310479
ACH-000120,-0.98863714683
ACH-000123,-1.25904498245
ACH-000127,-1.0239009555
ACH-000128,-1.17374796854
ACH-000132,-1.1299026534799999
ACH-000133,-0.99703306256
ACH-000137,-1.2046908487
ACH-000138,-1.09822891174
ACH-000142,-1.24997688565
ACH-000143,-1.02212833997
ACH-000146,-1.41612656809
ACH-000148,-1.29792973762
ACH-000150,-1.18016524429
ACH-000152,-1.00144200768
ACH-000153,-1.3564587483500001
ACH-000159,-1.28898484018
ACH-000160,-1.1080697689899999
ACH-000163,-1.1634381614700002
ACH-000167,-1.79819927116
ACH-000168,-1.0765031393
ACH-000169,-1.25394428248
ACH-000178,-1.04898975411
ACH-000182,-1.1564763627299999
ACH-000183,-1.1489182201700001
ACH-000188,-1.14171370265
ACH-000189,-0.659185845165
ACH-000190,-1.2910223863899999
ACH-000198,-1.0035058860600001
ACH-000204,-1.32738284153
ACH-000206,-1.1766341468200001
ACH-000207,-1.07870557685
ACH-000211,-1.08237619387
ACH-000215,-1.19066419921
ACH-000221,-1.2857847536799998
ACH-000222,-1.25475533162
ACH-000223,-1.2642560027399998
ACH-000226,-1.25146847869
ACH-000227,-1.1032323969700002
ACH-000228,-1.1478451571100001
ACH-000231,-1.25159619051
ACH-000232,-1.19560933563
ACH-000233,-1.1901568333299999
ACH-000234,-1.26355259498
ACH-000235,-1.0878129152
ACH-000237,-1.05081391322
ACH-000238,-1.1094201882799999
ACH-000243,-1.14169497883
ACH-000244,-1.63936835527
ACH-000246,-1.09287967928
ACH-000248,-1.15401238874
ACH-000250,-1.2875935007200001
ACH-000251,-1.25770408174
ACH-000253,-1.05547314177
ACH-000255,-1.1330859710799999
ACH-000256,-0.884168756617
ACH-000257,-1.02029151115
ACH-000258,-0.6353872186399999
ACH-000259,-1.20778197748
ACH-000260,-1.1314748147799998
ACH-000261,-1.3163060011799999
ACH-000262,-1.0543124726200002
ACH-000263,-1.3574145341400001
ACH-000264,-1.10769941608
ACH-000265,-1.2801558447799999
ACH-000266,-1.39131539935
ACH-000272,-0.9943979361040001
ACH-000273,-1.0925394979799998
ACH-000274,-1.27415355581
ACH-000277,-0.906723371775
ACH-000278,-1.04997155665
ACH-000279,-0.7315992104889999
ACH-000280,-1.1493441757
ACH-000281,-1.22235026561
ACH-000288,-1.19392375141
ACH-000291,-1.15782211818
ACH-000293,-1.42150232385
ACH-000294,-1.1168120134100001
ACH-000295,-1.5141266081600002
ACH-000296,-1.39340628845
ACH-000302,-1.25702873161
ACH-000304,-1.1956174523799998
ACH-000307,-1.01022713822
ACH-000308,-0.930938167999
ACH-000310,-1.19601488422
ACH-000311,-1.25920267686
ACH-000312,-1.1201018920499999
ACH-000315,-1.16746719071
ACH-000316,-1.35128977636
ACH-000317,-0.9487140196070001
ACH-000318,-1.17320470376
ACH-000319,-1.0921779735100001
ACH-000320,-0.9507110149920001
ACH-000322,-1.18256472551
ACH-000323,-1.39328252678
ACH-000324,-1.0759805682799999
ACH-000329,-1.16832040133
ACH-000330,-1.0824271337
ACH-000331,-1.0763777190700001
ACH-000332,-1.01162702626
ACH-000334,-1.59498547511
ACH-000335,-1.07882683934
ACH-000336,-1.0748372825599999
ACH-000337,-0.8481204774950001
ACH-000339,-1.26753625605
ACH-000341,-1.1032502926899999
ACH-000348,-1.1684590533399999
ACH-000350,-1.31726444327
ACH-000352,-1.0679749974500001
ACH-000356,-1.4523461753799998
ACH-000361,-1.76353572712
ACH-000362,-1.12847569701
ACH-000363,-1.32681956288
ACH-000364,-0.925457541819
ACH-000365,-1.06366504724
ACH-000366,-0.9042148085799999
ACH-000368,-1.21394021704
ACH-000374,-1.0162217771100002
ACH-000375,-1.36232812988
ACH-000376,-0.989031953167
ACH-000381,-0.953157174075
ACH-000383,-0.984266193997
ACH-000387,-1.3651954097299999
ACH-000389,-1.1677273777600001
ACH-000390,-1.59799227857
ACH-000393,-1.2176912411299998
ACH-000395,-1.06907358332
ACH-000397,-1.3353045637799998
ACH-000401,-1.2361917093400001
