,EPM2A (7957)
ACH-000004,-0.17302455321600002
ACH-000007,-0.0628910915826
ACH-000009,0.14299297292899998
ACH-000011,-0.19626636379299997
ACH-000012,-0.0726835963793
ACH-000013,-0.0670831655819
ACH-000014,-0.20719700687399997
ACH-000015,0.158500556519
ACH-000017,-0.143721259693
ACH-000018,0.030974949282400004
ACH-000019,-0.14040375423
ACH-000021,-0.305455193394
ACH-000022,-0.103023676992
ACH-000025,-0.16319744314600002
ACH-000028,0.18355879980599998
ACH-000030,-0.137065782276
ACH-000035,0.0124207949689
ACH-000036,-0.149527014318
ACH-000037,-0.024986856561599997
ACH-000039,0.119640862798
ACH-000040,-0.250622733114
ACH-000041,-0.172896063096
ACH-000042,-0.013619383138600002
ACH-000045,0.030535219625200002
ACH-000047,0.109472654276
ACH-000052,0.03647739961969999
ACH-000053,-0.19544649366
ACH-000054,-0.196415708372
ACH-000055,-0.0836079465076
ACH-000060,-0.0878241552427
ACH-000067,-0.12323171035700001
ACH-000070,0.0522358854323
ACH-000075,-0.08461201326989999
ACH-000078,-0.0347563906903
ACH-000082,-0.15401628014000002
ACH-000085,-0.10095953065400001
ACH-000086,0.128315657646
ACH-000087,-0.238992531017
ACH-000092,-0.166233990518
ACH-000095,-0.184982630229
ACH-000097,-0.126186958315
ACH-000098,-0.017853106821599997
ACH-000099,-0.108099235112
ACH-000108,-0.0257166226393
ACH-000113,-0.195644053392
ACH-000115,0.27114988570099996
ACH-000116,-0.143726346732
ACH-000118,-0.143420012606
ACH-000120,-0.199887556658
ACH-000123,0.0014279383124
ACH-000127,-0.22361091463899999
ACH-000128,-0.249853416472
ACH-000132,-0.5028624544870001
ACH-000133,0.153764363515
ACH-000137,0.09928099430680001
ACH-000138,-0.050827555216
ACH-000142,-0.223085766096
ACH-000143,-0.158508865811
ACH-000146,-0.0862867256818
ACH-000148,-0.0526790371201
ACH-000150,0.097592798517
ACH-000152,-0.0039709734007
ACH-000153,0.048094753522500006
ACH-000159,-0.124542900156
ACH-000160,-0.102982297781
ACH-000163,-0.10215293130200001
ACH-000167,-0.311609777425
ACH-000168,-0.073539147291
ACH-000169,-0.196366655633
ACH-000178,-0.10918056110999999
ACH-000182,-0.08350521893660001
ACH-000183,0.11439292507099999
ACH-000188,-0.186002593026
ACH-000189,-0.45008430115099995
ACH-000190,0.0247423377382
ACH-000198,-0.242260075707
ACH-000204,-0.0453918637349
ACH-000206,-0.061330682425499994
ACH-000207,-0.31596562725
ACH-000211,-0.126200178793
ACH-000215,-0.106673634726
ACH-000221,-0.0724335842557
ACH-000222,-0.472423447688
ACH-000223,-0.273419152528
ACH-000226,-0.10466268113800001
ACH-000227,-0.16230720754300001
ACH-000228,-0.0105431749016
ACH-000231,-0.0449606225236
ACH-000232,-0.14604356678
ACH-000233,-0.23248087335
ACH-000234,-0.258213222976
ACH-000235,-0.0991369006191
ACH-000237,-0.0742706488803
ACH-000238,-0.0875031866656
ACH-000243,-0.0056779725558
ACH-000244,-0.158094709504
ACH-000246,-0.243624004383
ACH-000248,0.0784682309604
ACH-000250,-0.124463959216
ACH-000251,-0.461111176496
ACH-000253,-0.24872522263
ACH-000255,-0.0638271518003
ACH-000256,-0.24149546194600002
ACH-000257,0.065787005025
ACH-000258,-0.280553739827
ACH-000259,-0.256521023763
ACH-000260,-0.09093676284
ACH-000261,-0.15177009220499998
ACH-000262,0.181932822733
ACH-000263,-0.265360808794
ACH-000264,-0.128590298651
ACH-000265,-0.04641781346059999
ACH-000266,-0.169676655776
ACH-000272,-0.0735242772822
ACH-000273,-0.103886072251
ACH-000274,-0.115385091316
ACH-000277,-0.307828057262
ACH-000278,-0.072450947314
ACH-000279,-0.21927183053899998
ACH-000280,-0.106759454164
ACH-000281,-0.142525976196
ACH-000288,-0.160371108811
ACH-000291,-0.137381300536
ACH-000293,-0.179780997612
ACH-000294,0.11792561382200001
ACH-000295,-0.298513542893
ACH-000296,-0.0206418406129
ACH-000302,-0.115042642321
ACH-000304,0.115655724986
ACH-000307,-0.015617033141299998
ACH-000308,-0.0144206650125
ACH-000310,-0.109072550084
ACH-000311,0.0148690282341
ACH-000312,-0.153222552976
ACH-000315,0.157007508138
ACH-000316,0.0191680083246
ACH-000317,-0.174169806653
ACH-000318,0.0200121342712
ACH-000319,-0.300885924384
ACH-000320,-0.23991148205600002
ACH-000322,-0.041973489009499994
ACH-000323,-0.09554758600589999
ACH-000324,-0.157255028475
ACH-000329,-0.103836814179
ACH-000330,0.0370110999661
ACH-000331,-0.048356584872399994
ACH-000332,-0.047563214461
ACH-000334,-0.11414360981699999
ACH-000335,-0.278596346326
ACH-000336,-0.25917405839499996
ACH-000337,-0.27662834684
ACH-000339,-0.019777033372400003
ACH-000341,0.0746176081743
ACH-000348,-0.204574860787
ACH-000350,0.0374662770838
ACH-000352,-0.09880810824280001
ACH-000356,0.17383709947999998
ACH-000361,-0.0082582835916
ACH-000362,-0.0596878461096
ACH-000363,0.0425453538547
ACH-000364,0.0037549103222399996
ACH-000365,-0.179453695098
ACH-000366,-0.160196284717
ACH-000368,-0.0266457494238
ACH-000374,-0.0905494500125
ACH-000375,0.0041588355664399996
ACH-000376,-0.22234419880800002
ACH-000381,-0.278521343812
ACH-000383,-0.036230716208
ACH-000387,-0.19733732992400002
ACH-000389,-0.332291735035
ACH-000390,-0.10757091765900001
ACH-000393,-0.186360732082
ACH-000395,-0.0636694802475
ACH-000397,-0.0975416380765
ACH-000401,0.256369644899
ACH-000402,0.260741879659
ACH-000403,-0.0379390634907
ACH-000404,-0.20147968814199999
ACH-000406,0.0982443957886
ACH-000407,0.0615459282489
ACH-000408,0.156668175059
ACH-000410,-0.154544764018
ACH-000411,-0.0541957594314
ACH-000414,-0.0109909092946
ACH-000415,-0.288484610031
ACH-000416,0.006469165757319999
ACH-000420,0.0458675465396
ACH-000421,0.0231903561649
ACH-000424,-0.11200237035800001
ACH-000425,-0.0459313111135
ACH-000426,0.07605485818419999
ACH-000427,-0.163777673981
ACH-000433,-0.35117798672600004
ACH-000436,0.122402266777
ACH-000444,-0.144842524996
ACH-000445,-0.0385546714015
ACH-000448,-0.184649241416
ACH-000450,-0.16125003998600002
ACH-000452,-0.141787160796
ACH-000454,-0.049518226831
ACH-000458,0.0759468026322
ACH-000459,-0.139841147257
ACH-000460,-0.10293629370400001
ACH-000461,0.034161390455900005
ACH-000463,-0.19780809682
ACH-000464,-0.159143304263
ACH-000466,0.0484665622809
ACH-000467,0.025061390103700003
ACH-000468,-0.0956900982681
ACH-000469,-0.24458487984900001
ACH-000470,-0.039818194176300004
ACH-000471,-0.196871510935
ACH-000472,-0.196678070399
ACH-000473,-0.091948905266
ACH-000475,-0.10795684561699999
ACH-000476,-0.18662585235399998
