,EIF5 (1983)
ACH-000004,-1.28244800533
ACH-000007,-1.32850855502
ACH-000009,-1.47787982628
ACH-000011,-1.61201378514
ACH-000012,-1.4453625428299999
ACH-000013,-1.41027522232
ACH-000014,-1.45303265417
ACH-000015,-1.30450593359
ACH-000017,-1.3471055972100001
ACH-000018,-1.1818032038700002
ACH-000019,-1.5536063338
ACH-000021,-1.38657355335
ACH-000022,-1.1210715943
ACH-000025,-1.27701672313
ACH-000028,-1.3192256561
ACH-000030,-1.29600311794
ACH-000035,-1.30501459736
ACH-000036,-1.54463938574
ACH-000037,-1.5871421985499998
ACH-000039,-1.4129177537399997
ACH-000040,-1.52448540625
ACH-000041,-1.63181028514
ACH-000042,-1.35170500079
ACH-000045,-1.42013882572
ACH-000047,-1.6462727097499998
ACH-000052,-1.44464632586
ACH-000053,-1.6724084538400001
ACH-000054,-1.5644532766400001
ACH-000055,-1.30629409455
ACH-000060,-1.6415452933899999
ACH-000067,-1.48337517572
ACH-000070,-1.300314947
ACH-000075,-1.40935795402
ACH-000078,-1.36341586995
ACH-000082,-1.57319228257
ACH-000085,-1.39739381913
ACH-000086,-1.15402909507
ACH-000087,-1.48345220581
ACH-000092,-1.5387807602399999
ACH-000095,-1.4877225226299997
ACH-000097,-1.6218821774399999
ACH-000098,-1.4723036965
ACH-000099,-1.4565007134999999
ACH-000108,-1.3809056099
ACH-000113,-1.4180126978100003
ACH-000115,-1.96628708505
ACH-000116,-1.11812315224
ACH-000118,-1.3858998194499998
ACH-000120,-1.3814255211500002
ACH-000123,-1.4220730207199999
ACH-000127,-1.4338753652200003
ACH-000128,-1.4096384485
ACH-000132,-1.57281746426
ACH-000133,-1.2064151408
ACH-000137,-1.4011254501600001
ACH-000138,-1.09767529293
ACH-000142,-1.28907714006
ACH-000143,-1.60193420685
ACH-000146,-1.75718411648
ACH-000148,-1.39137967141
ACH-000150,-1.41329346129
ACH-000152,-1.34570849862
ACH-000153,-1.04955001434
ACH-000159,-1.4286460072299998
ACH-000160,-1.40551228311
ACH-000163,-1.52245137299
ACH-000167,-1.86843804217
ACH-000168,-1.52624126641
ACH-000169,-1.50416296329
ACH-000178,-1.71389939476
ACH-000182,-1.3172702006399999
ACH-000183,-1.69412812215
ACH-000188,-1.1558285395299999
ACH-000189,-1.6356053962700001
ACH-000190,-1.2747371497600002
ACH-000198,-1.5402255449899998
ACH-000204,-1.44988951063
ACH-000206,-1.5093764920100001
ACH-000207,-1.1455517112
ACH-000211,-1.13201359362
ACH-000215,-1.65214878234
ACH-000221,-1.0936402594399999
ACH-000222,-1.28374255543
ACH-000223,-1.43407984148
ACH-000226,-1.52172077645
ACH-000227,-1.3561616865700001
ACH-000228,-1.2540579209
ACH-000231,-1.3898951026100002
ACH-000232,-1.8065818233500002
ACH-000233,-1.39521762161
ACH-000234,-1.65202333133
ACH-000235,-1.38853194748
ACH-000237,-0.831721823428
ACH-000238,-1.1318018676200001
ACH-000243,-1.4639429638199999
ACH-000244,-1.34615642459
ACH-000246,-1.51778270005
ACH-000248,-1.28678901578
ACH-000250,-1.6155423846099999
ACH-000251,-1.18728612783
ACH-000253,-1.73497519208
ACH-000255,-1.5578484814500002
ACH-000256,-1.47508652625
ACH-000257,-1.1804917221
ACH-000258,-1.55217476879
ACH-000259,-1.57889322764
ACH-000260,-1.4670281301800001
ACH-000261,-1.4892960221899998
ACH-000262,-1.30261686848
ACH-000263,-1.4442761391499999
ACH-000264,-1.64146605204
ACH-000265,-1.23983375214
ACH-000266,-1.28007624603
ACH-000272,-1.51106289215
ACH-000273,-1.3601670574899998
ACH-000274,-1.5887563661500002
ACH-000277,-1.54249591994
ACH-000278,-1.24240712641
ACH-000279,-1.36780144854
ACH-000280,-1.4949646887999999
ACH-000281,-1.3699069400100001
ACH-000288,-1.50159209993
ACH-000291,-1.61729909724
ACH-000293,-1.3436260497799999
ACH-000294,-1.43089232975
ACH-000295,-1.2726484310700001
ACH-000296,-1.25044508478
ACH-000302,-1.33232273064
ACH-000304,-1.8475408650999998
ACH-000307,-1.24829929435
ACH-000308,-1.31606721858
ACH-000310,-1.4711474979799999
ACH-000311,-1.22020572098
ACH-000312,-1.2624375866500002
ACH-000315,-1.27556932488
ACH-000316,-1.29167004698
ACH-000317,-1.5612548854700001
ACH-000318,-1.39242810527
ACH-000319,-1.3334765355299998
ACH-000320,-1.3092901669399999
ACH-000322,-1.43156263901
ACH-000323,-1.2209017418
ACH-000324,-1.3281899754100002
ACH-000329,-1.44288773218
ACH-000330,-1.18148702199
ACH-000331,-1.30652942475
ACH-000332,-1.2752605956999998
ACH-000334,-1.6002285061700001
ACH-000335,-1.3525925683700002
ACH-000336,-1.43417121372
ACH-000337,-1.31683457537
ACH-000339,-1.0008303165799999
ACH-000341,-1.87424326883
ACH-000348,-1.34545231505
ACH-000350,-1.5404841035899999
ACH-000352,-1.4591119580200003
ACH-000356,-1.32040184996
ACH-000361,-1.36200222025
ACH-000362,-1.4486291544999998
ACH-000363,-1.41936270919
ACH-000364,-1.3781510280200002
ACH-000365,-1.38457582132
ACH-000366,-1.5830857114599999
ACH-000368,-1.08655030714
ACH-000374,-1.47644219599
ACH-000375,-1.51413033258
ACH-000376,-1.41407766597
ACH-000381,-1.3940849504
ACH-000383,-1.37851398007
ACH-000387,-1.27794788378
ACH-000389,-1.3825834636899998
ACH-000390,-1.2111791033900001
ACH-000393,-1.6195133587600001
ACH-000395,-1.5527560251299999
ACH-000397,-1.3788492108300001
ACH-000401,-1.7575446060099997
ACH-000402,-1.67323719388
ACH-000403,-1.89259297373
ACH-000404,-1.7437310708099998
ACH-000406,-1.34553075863
ACH-000407,-1.34853681774
ACH-000408,-1.22494470045
ACH-000410,-1.40897411524
ACH-000411,-1.49878472657
ACH-000414,-1.4855193573899999
ACH-000415,-1.38299114979
ACH-000416,-1.29720699577
ACH-000420,-1.4593339948800002
ACH-000421,-1.32773076426
ACH-000424,-1.34449297706
ACH-000425,-1.3154906281899998
ACH-000426,-1.83907694319
ACH-000427,-1.67021399309
ACH-000433,-1.61825660037
ACH-000436,-1.6361730025499999
ACH-000444,-1.33391330108
ACH-000445,-1.3955242307700002
ACH-000448,-1.4384120504
ACH-000450,-1.4459386217200003
ACH-000452,-1.3220994646
ACH-000454,-1.24638906506
ACH-000458,-1.2963572328200001
ACH-000459,-2.1371914377000003
ACH-000460,-1.29465259467
ACH-000461,-1.2057126567299998
ACH-000463,-1.28149633191
ACH-000464,-1.4938186508700002
ACH-000466,-1.4486566062200001
ACH-000467,-1.4420363372799998
ACH-000468,-1.13103698842
ACH-000469,-1.33660653348
ACH-000470,-1.26651069504
ACH-000471,-1.39490085376
ACH-000472,-1.5448934515200001
ACH-000473,-1.3802975922999998
ACH-000475,-1.6046541377099999
ACH-000476,-1.61993704941
ACH-000477,-1.79767831932
ACH-000480,-1.4669619167399999
ACH-000481,-1.4239748846899998
ACH-000483,-1.3888882547499999
ACH-000484,-1.6792277469499999
ACH-000485,-1.33517147685
ACH-000486,-1.39333737565
ACH-000487,-1.58727836324
