,DES (1674)
ACH-000004,-0.163580422663
ACH-000007,0.0561983728338
ACH-000009,0.037564126482699994
ACH-000011,-0.155554841862
ACH-000012,-0.0655596586398
ACH-000013,0.024873509527599997
ACH-000014,0.10327741741499999
ACH-000015,0.0570870005728
ACH-000017,-0.0923808963734
ACH-000018,-0.189135145032
ACH-000019,0.150799164766
ACH-000021,0.0795455420344
ACH-000022,0.135889996716
ACH-000025,0.0454503745517
ACH-000028,-0.11527440118799999
ACH-000030,-0.08658074424750001
ACH-000035,0.103576049519
ACH-000036,-0.118625607374
ACH-000037,0.052331305950999996
ACH-000039,0.25645292864999997
ACH-000040,0.0373255092757
ACH-000041,-0.101633416139
ACH-000042,0.045581478217199996
ACH-000045,-0.000991016166131
ACH-000047,-0.0989175766237
ACH-000052,-0.0145875723593
ACH-000053,0.0208485585869
ACH-000054,-0.11055182052200001
ACH-000055,-0.104018907851
ACH-000060,-0.179901824528
ACH-000067,-0.0448985739694
ACH-000070,0.120992759245
ACH-000075,0.0532761010283
ACH-000078,0.0174700157855
ACH-000082,-0.12007298632300001
ACH-000085,-0.119830001349
ACH-000086,-0.050724101030900005
ACH-000087,-0.0691073492712
ACH-000092,-0.00802770233628
ACH-000095,-0.0285714973923
ACH-000097,-0.0318722821048
ACH-000098,-0.144505308952
ACH-000099,0.0378076914662
ACH-000108,-0.009548878509159999
ACH-000113,0.0716712436763
ACH-000115,-0.027513414821700003
ACH-000116,0.117587234321
ACH-000118,-0.0365498705629
ACH-000120,0.0935144736601
ACH-000123,0.147592583018
ACH-000127,-0.10635585630000001
ACH-000128,-0.0993422129953
ACH-000132,-0.0396715685756
ACH-000133,-0.11896000406099999
ACH-000137,-0.07891885845180001
ACH-000138,0.0637135701354
ACH-000142,-0.06500172754790001
ACH-000143,-0.014275574789
ACH-000146,0.0577437668982
ACH-000148,-0.0290697582315
ACH-000150,0.0823673790139
ACH-000152,-0.18299864423599999
ACH-000153,0.017021188245000003
ACH-000159,0.0644235297639
ACH-000160,0.0261153469859
ACH-000163,-0.023868544531700002
ACH-000167,-0.22133543186000001
ACH-000168,-0.158135252501
ACH-000169,-0.0255145925994
ACH-000178,-0.00370112899233
ACH-000182,-0.240518760822
ACH-000183,0.0561531772166
ACH-000188,-0.325915922857
ACH-000189,-0.284144506503
ACH-000190,-0.128716885033
ACH-000198,-0.16543354455
ACH-000204,0.0543286290718
ACH-000206,-0.248854014963
ACH-000207,0.0784838558372
ACH-000211,-0.0163619395781
ACH-000215,-0.129173343057
ACH-000221,-0.00260619332166
ACH-000222,0.11422197702400001
ACH-000223,-0.08656186687439998
ACH-000226,-0.0409210641424
ACH-000227,-0.111678814871
ACH-000228,0.04606358583930001
ACH-000231,-0.0792973361088
ACH-000232,-0.0161529620754
ACH-000233,0.0124336680414
ACH-000234,-0.311518790859
ACH-000235,0.041218838148300005
ACH-000237,-0.09688068846839999
ACH-000238,0.137660370224
ACH-000243,0.0831718560658
ACH-000244,0.07914400095110001
ACH-000246,-0.07313887077489999
ACH-000248,-0.0233701951578
ACH-000250,-0.09242544707969999
ACH-000251,-0.217836240205
ACH-000253,-0.0232410671196
ACH-000255,-0.33912980601099996
ACH-000256,-0.0754519737751
ACH-000257,0.228498802832
ACH-000258,0.013886799334200001
ACH-000259,-0.00398866931653
ACH-000260,-0.0261863500428
ACH-000261,-0.030141903163200003
ACH-000262,0.07535068060589999
ACH-000263,0.012559555282100001
ACH-000264,-0.206708535985
ACH-000265,0.115122723244
ACH-000266,-0.0542216610377
ACH-000272,-0.0164536949752
ACH-000273,-0.0811520240667
ACH-000274,-0.251206890563
ACH-000277,-0.14438099449300001
ACH-000278,0.0113676351901
ACH-000279,-0.105005508193
ACH-000280,0.0450229898321
ACH-000281,0.06895465382560001
ACH-000288,-0.0557589006805
ACH-000291,-0.161454900647
ACH-000293,-0.0362254196696
ACH-000294,0.0275042687121
ACH-000295,0.136414538837
ACH-000296,-0.174078050328
ACH-000302,-0.060685596684
ACH-000304,-0.0718827264934
ACH-000307,-0.0221164830639
ACH-000308,-0.04612700430240001
ACH-000310,0.06581724238469999
ACH-000311,0.112740927179
ACH-000312,0.151010576062
ACH-000315,-0.240272235967
ACH-000316,-0.104515673476
ACH-000317,0.205550460216
ACH-000318,-0.0111587335706
ACH-000319,0.0128554839423
ACH-000320,0.292120899861
ACH-000322,-0.0186796822773
ACH-000323,0.13828769022600002
ACH-000324,0.017736334736099996
ACH-000329,-0.238838033919
ACH-000330,0.174169519531
ACH-000331,-0.150490323469
ACH-000332,-0.00258974995492
ACH-000334,-0.30692610103
ACH-000335,0.0724012944969
ACH-000336,-0.439003664916
ACH-000337,0.00598637361181
ACH-000339,0.0473796832164
ACH-000341,-0.225263515609
ACH-000348,-0.08965392563110001
ACH-000350,0.021693068582099996
ACH-000352,-0.035654626600300006
ACH-000356,0.0495871341542
ACH-000361,-0.21104388609400002
ACH-000362,0.07986013430639999
ACH-000363,0.0470201217344
ACH-000364,-0.0339735864593
ACH-000365,0.0313072357548
ACH-000366,-0.17042671083099997
ACH-000368,-0.222656529752
ACH-000374,-0.026876687793400005
ACH-000375,-0.10953931389699999
