,FAM69C (125704)
ACH-000004,0.33454084357700004
ACH-000007,0.191273465176
ACH-000009,0.27893069935
ACH-000011,0.0979471890898
ACH-000012,0.208764748778
ACH-000013,0.170255152969
ACH-000014,0.223805877213
ACH-000015,0.17609992340599998
ACH-000017,0.26221393772
ACH-000018,0.169420955966
ACH-000019,-0.044222196965199995
ACH-000021,0.307439923323
ACH-000022,0.0986625348666
ACH-000025,0.14770057351399998
ACH-000028,0.07685140534660001
ACH-000030,0.17630215173500002
ACH-000035,0.40147876935599996
ACH-000036,0.029936349634
ACH-000037,0.17903514374200002
ACH-000039,0.24238531896200002
ACH-000040,0.20447154117
ACH-000041,0.254468588779
ACH-000042,0.252137252497
ACH-000045,0.26350843581
ACH-000047,0.224390261613
ACH-000052,0.31261922644400003
ACH-000053,0.245940990958
ACH-000054,0.236889100809
ACH-000055,0.17895699189800002
ACH-000060,0.147988393127
ACH-000067,0.263638727295
ACH-000070,0.211507895383
ACH-000075,0.34570424773100006
ACH-000078,0.281260865683
ACH-000082,0.19882900217399999
ACH-000085,0.136676964477
ACH-000086,0.195798104324
ACH-000087,-0.000626234109569
ACH-000092,0.168390070501
ACH-000095,0.213041354035
ACH-000097,0.175486378587
ACH-000098,0.23277393536200003
ACH-000099,0.25123191136
ACH-000108,0.19147161077799998
ACH-000113,0.18287052938
ACH-000115,0.17708497415
ACH-000116,0.251273017659
ACH-000118,0.21263756107999998
ACH-000120,0.432321648984
ACH-000123,0.265449405754
ACH-000127,0.07011016705880001
ACH-000128,0.174982935857
ACH-000132,0.220605018086
ACH-000133,0.261449112785
ACH-000137,0.0546981571832
ACH-000138,0.280824400571
ACH-000142,0.263680310568
ACH-000143,0.168434486162
ACH-000146,0.14465058107
ACH-000148,0.196066602881
ACH-000150,0.360404035868
ACH-000152,0.169947337984
ACH-000153,0.051322951328300004
ACH-000159,0.194818418993
ACH-000160,0.203762240361
ACH-000163,0.019014750857500002
ACH-000167,0.0220048634386
ACH-000168,0.16916487202599997
ACH-000169,0.122122880327
ACH-000178,0.127640959988
ACH-000182,0.215674390006
ACH-000183,0.203709307335
ACH-000188,0.24450200730500002
ACH-000189,-0.0879259994617
ACH-000190,0.130020544992
ACH-000198,0.127132768388
ACH-000204,0.140823859822
ACH-000206,0.212136536788
ACH-000207,0.27419088131999997
ACH-000211,0.214004302654
ACH-000215,0.105816754024
ACH-000221,0.1192277707
ACH-000222,0.340769658395
ACH-000223,0.0161971639638
ACH-000226,0.10494313857200001
ACH-000227,0.17673611712099999
ACH-000228,0.184516187932
ACH-000231,0.23575488126699998
ACH-000232,0.15173336195
ACH-000233,0.166043056322
ACH-000234,0.133203247867
ACH-000235,0.235632527495
ACH-000237,0.148616462487
ACH-000238,0.242024882198
ACH-000243,0.20218967626899997
ACH-000244,0.282173341636
ACH-000246,0.14825784752
ACH-000248,0.112302082233
ACH-000250,0.142911510212
ACH-000251,0.163278596313
ACH-000253,0.17614758558899998
ACH-000255,0.33863803832500006
ACH-000256,0.232239292804
ACH-000257,0.36925211380500006
ACH-000258,0.0342867086066
ACH-000259,0.20789586975699997
ACH-000260,0.160037344217
ACH-000261,0.13469651815199998
ACH-000262,0.12259684948899999
ACH-000263,0.280835971806
ACH-000264,0.180513949602
ACH-000265,0.269338335131
ACH-000266,0.233771177745
ACH-000272,0.263560854526
ACH-000273,0.269033270454
ACH-000274,0.192537225312
ACH-000277,0.177171134381
ACH-000278,0.130269713542
ACH-000279,0.258054160254
ACH-000280,0.23707429377300002
ACH-000281,0.142713789419
ACH-000288,0.17223209043200002
ACH-000291,0.174939657848
ACH-000293,0.150435397447
ACH-000294,0.13309364491599998
ACH-000295,0.190929279698
ACH-000296,0.134436626442
ACH-000302,0.16590943557499999
ACH-000304,0.271317272906
ACH-000307,0.186913479938
ACH-000308,0.140045761489
ACH-000310,0.32657857208700003
