,COX6C (1345)
ACH-000004,-0.6908526407
ACH-000007,-0.950231187108
ACH-000009,-0.671815660071
ACH-000011,-0.468195473481
ACH-000012,-0.539621811408
ACH-000013,-0.563979989649
ACH-000014,-0.701090287539
ACH-000015,-0.6755757859679999
ACH-000017,-0.6025467384759999
ACH-000018,-0.5610207597
ACH-000019,-0.564691711171
ACH-000021,-0.736003284173
ACH-000022,-0.597513478569
ACH-000025,-0.598182491064
ACH-000028,-0.749958787518
ACH-000030,-0.719134686292
ACH-000035,-0.774834983962
ACH-000036,-0.163304820542
ACH-000037,-0.629929889297
ACH-000039,-0.470875756837
ACH-000040,-0.562292231061
ACH-000041,-0.464580575719
ACH-000042,-0.392773737017
ACH-000045,-0.437018161641
ACH-000047,-0.6678237478760001
ACH-000052,-0.658981443534
ACH-000053,-0.7084610150759999
ACH-000054,-0.752981442542
ACH-000055,-0.702367830309
ACH-000060,-0.40216501482600003
ACH-000067,-0.7168543176540001
ACH-000070,-0.712459559748
ACH-000075,-0.5253847207
ACH-000078,-0.41927769666000003
ACH-000082,-0.57076369102
ACH-000085,-0.550764903569
ACH-000086,-0.606447115308
ACH-000087,-0.47100259033299996
ACH-000092,-0.507143725328
ACH-000095,-0.36468923575900003
ACH-000097,-0.532558940023
ACH-000098,-0.621987573571
ACH-000099,-0.615980639878
ACH-000108,-0.396578136397
ACH-000113,-0.6722208461020001
ACH-000115,-0.516846081428
ACH-000116,-0.588601304405
ACH-000118,-0.799383020362
ACH-000120,-0.546383231064
ACH-000123,-0.804061026313
ACH-000127,-0.779279469065
ACH-000128,-0.863031565784
ACH-000132,-0.7089649996349999
ACH-000133,-0.37742307021300003
ACH-000137,-0.555234239527
ACH-000138,-0.928366394939
ACH-000142,-0.595270228775
ACH-000143,-0.60394698295
ACH-000146,-0.790656680939
ACH-000148,-0.6989913988869999
ACH-000150,-0.566572358943
ACH-000152,-0.7133218139380001
ACH-000153,-0.49271290899899994
ACH-000159,-0.713257291866
ACH-000160,-0.6173943925859999
ACH-000163,-0.557155869093
ACH-000167,-0.728642682484
ACH-000168,-0.356593558837
ACH-000169,-0.604515967997
ACH-000178,-0.579442194468
ACH-000182,-1.1840934889599999
ACH-000183,-0.566212328786
ACH-000188,-0.277225031297
ACH-000189,-0.5886755799260001
ACH-000190,-0.9795207471690001
ACH-000198,-0.513627301763
ACH-000204,-0.5560654074
ACH-000206,-0.568363993054
ACH-000207,-1.07810566952
ACH-000211,-0.388707558875
ACH-000215,-0.598297056676
ACH-000221,-1.02609487299
ACH-000222,-0.565788414161
ACH-000223,-0.663709363614
ACH-000226,-0.664110638167
ACH-000227,-0.8237779778190001
ACH-000228,-0.838855151963
ACH-000231,-0.324249487791
ACH-000232,-0.599233916445
ACH-000233,-0.670531230474
ACH-000234,-0.64906558276
ACH-000235,-0.742231023042
ACH-000237,-0.259072965009
ACH-000238,-0.369280295413
ACH-000243,-0.670692318375
ACH-000244,-0.779972322396
ACH-000246,-0.886733318138
ACH-000248,-0.6593179980430001
ACH-000250,-0.307966707705
ACH-000251,-0.604743698974
ACH-000253,-0.536776846399
ACH-000255,-0.358157771344
ACH-000256,-0.510920132461
ACH-000257,-0.863067045283
ACH-000258,-0.718104067822
ACH-000259,-0.687335345256
ACH-000260,-0.435081634545
ACH-000261,-0.566455415516
ACH-000262,-0.452397827574
ACH-000263,-0.46632797330200004
ACH-000264,-0.520438938958
ACH-000265,-0.989971452137
ACH-000266,-0.489399284032
ACH-000272,-0.6601568707850001
ACH-000273,-0.676450890054
ACH-000274,-0.631233936811
ACH-000277,-0.956831751789
ACH-000278,-0.469564499691
ACH-000279,-0.607531588667
ACH-000280,-0.519562263234
ACH-000281,-0.7049936560179999
ACH-000288,-0.43938809542900004
ACH-000291,-0.5263944148690001
ACH-000293,-0.722275534933
ACH-000294,-0.379035162263
ACH-000295,-0.5707133230520001
ACH-000296,-0.11179035259299999
ACH-000302,-0.602925714681
ACH-000304,-0.847007436367
ACH-000307,-0.815467530844
ACH-000308,-0.632137225168
ACH-000310,-0.509652112822
ACH-000311,-0.70368758852
ACH-000312,-0.7548418893009999
ACH-000315,-0.509520851099
ACH-000316,-0.664004056216
ACH-000317,-0.9346373215200001
ACH-000318,-0.501485934391
ACH-000319,-0.646972663294
ACH-000320,-0.773599912898
ACH-000322,-0.7956787876729999
ACH-000323,-0.7744414865100001
ACH-000324,-0.359836321707
ACH-000329,-1.1887678903799999
ACH-000330,-0.7500367839800001
ACH-000331,-0.552638612885
ACH-000332,-0.34984347365699997
ACH-000334,-1.15490013783
ACH-000335,-0.550704952581
ACH-000336,-0.488825675319
ACH-000337,-0.748787087929
ACH-000339,-0.8289451988709999
ACH-000341,-0.483141028037
ACH-000348,-0.72929169526
ACH-000350,-0.757505294318
ACH-000352,-0.627838258849
ACH-000356,-0.805511873392
ACH-000361,-0.652970557248
ACH-000362,-0.343687179758
ACH-000363,-0.7174081044730001
ACH-000364,-0.623227886397
ACH-000365,-0.7396562928239999
ACH-000366,-0.446308052586
ACH-000368,-0.585437242926
ACH-000374,-0.706493307544
ACH-000375,-0.635730662891
ACH-000376,-0.848620080322
ACH-000381,-0.757533846221
ACH-000383,-0.8751945419280001
ACH-000387,-0.636895327017
ACH-000389,-0.298341710893
ACH-000390,-0.7852865457960001
ACH-000393,-0.543207383033
ACH-000395,-0.469415159071
ACH-000397,-0.481288284054
ACH-000401,-0.671992167254
ACH-000402,-0.8653020937289999
ACH-000403,-0.7457361430249999
ACH-000404,-0.879062357732
ACH-000406,-0.646930608236
ACH-000407,-0.596629737141
ACH-000408,-0.690316164791
ACH-000410,-0.595846983771
ACH-000411,-0.563748621678
ACH-000414,-0.51674419829
ACH-000415,-0.598707841885
ACH-000416,-0.6207091931650001
ACH-000420,-0.551418688329
ACH-000421,-0.563188569206
ACH-000424,-0.7779072637090001
ACH-000425,-0.812377189365
ACH-000426,-0.548445944966
ACH-000427,-0.991780536366
ACH-000433,-0.569318662354
ACH-000436,-0.573678890781
ACH-000444,-0.615389741208
ACH-000445,-0.424966658662
ACH-000448,-0.486188999422
ACH-000450,-0.610494780836
ACH-000452,-0.442916342959
ACH-000454,-0.762784076978
ACH-000458,-0.6006312936930001
ACH-000459,-1.04133057117
ACH-000460,-0.718553176609
ACH-000461,-0.693400530893
ACH-000463,-0.593535019219
ACH-000464,-0.7121261649869999
ACH-000466,-0.712301198959
ACH-000467,-0.8752520361480001
ACH-000468,-0.540709851639
ACH-000469,-0.8288270242460001
ACH-000470,-0.359464283725
ACH-000471,-0.630725418914
ACH-000472,-0.799200637943
ACH-000473,-0.532031974874
ACH-000475,-0.7960947065899999
ACH-000476,-0.978835315783
ACH-000477,-0.964399184855
ACH-000480,-0.591558729783
ACH-000481,-0.6378052708399999
ACH-000483,-0.8686498054180001
ACH-000484,-0.30598880738699996
ACH-000485,-0.546123247081
ACH-000486,-0.631206261043
ACH-000487,-0.845404366679
ACH-000488,-1.0862470236
ACH-000490,-0.505305331137
ACH-000491,-0.8002413823800001
ACH-000495,-0.437131123076
ACH-000496,-0.5172681365899999
ACH-000499,-0.785656603406
ACH-000500,-0.665632105123
ACH-000502,-0.37327046354099996
ACH-000503,-0.34120047717600005
ACH-000505,-0.668008972803
ACH-000507,-0.646351176047
ACH-000510,-0.605031526982
ACH-000511,-0.573341923744
ACH-000512,-0.8258369335179999
ACH-000516,-0.476036308988
ACH-000517,-0.488589142656
ACH-000518,-0.475591230682
ACH-000520,-0.312698737229
ACH-000521,-0.711796213231
ACH-000522,-0.798383661693
ACH-000524,-0.36764216655500004
ACH-000527,-0.538539563826
ACH-000528,-0.780464695499
ACH-000537,-0.810438124701
ACH-000541,-0.481649602901
ACH-000542,-0.6962037183259999
ACH-000544,-0.6192443480300001
ACH-000545,-0.72968100809
ACH-000547,-0.634333137292
ACH-000548,-0.53987107116
ACH-000549,-0.7716255212209999
ACH-000550,-0.5791707846399999
ACH-000552,-0.726028921003
ACH-000556,-0.8463183380779999
ACH-000557,-0.689989330011
ACH-000570,-0.602979435569
ACH-000571,-0.731017766354
ACH-000573,-0.734842653875
ACH-000576,-0.31823078281399997
ACH-000580,-0.6794229576909999
ACH-000584,-0.609908062237
ACH-000585,-0.5886080888490001
ACH-000588,-0.7258034156759999
ACH-000589,-0.63246660122
ACH-000591,-0.603611019931
ACH-000593,-0.666672161812
ACH-000600,-0.624041351857
ACH-000601,-0.864313939903
ACH-000604,-0.642606983358
ACH-000605,-0.753103412324
ACH-000606,-0.5490065009699999
ACH-000608,-0.561873850307
ACH-000614,-0.91411468846
ACH-000616,-0.445348369799
ACH-000618,-0.817370539974
ACH-000619,-0.6590231246320001
ACH-000620,-0.746522602976
ACH-000621,-0.473332522363
ACH-000622,-0.538773997373
ACH-000623,-0.28688578646699997
ACH-000624,-0.5983045650600001
ACH-000627,-0.591906022428
ACH-000630,-0.539780266962
ACH-000632,-0.5706095298439999
ACH-000633,-1.26976611346
ACH-000637,-0.7234757265109999
ACH-000638,-0.672946311857
ACH-000646,-0.942130665151
ACH-000647,-0.813818639299
ACH-000648,-0.8342708624490001
ACH-000649,-0.435423736903
ACH-000651,-1.12940597924
ACH-000652,-0.6700627238600001
ACH-000653,-0.684659774223
ACH-000657,-0.575590118814
ACH-000658,-0.9800762773559999
ACH-000661,-0.8996405973549999
ACH-000662,-0.889975862182
ACH-000663,-0.629436526375
ACH-000665,-0.404412160008
ACH-000671,-0.977110508928
ACH-000673,-0.351200944085
ACH-000676,-1.0020865475799998
ACH-000677,-1.16540877371
ACH-000681,-0.519449947308
ACH-000682,-0.595769641166
ACH-000683,-0.656462605743
ACH-000684,-0.578936778657
ACH-000688,-0.8524370524930001
ACH-000693,-0.8164389393379999
ACH-000694,-0.564787217984
ACH-000695,-0.535046943612
ACH-000696,-0.567317798832
ACH-000697,-0.742261701125
ACH-000699,-0.7073821689990001
ACH-000701,-0.648830048144
ACH-000706,-0.7667749781000001
ACH-000711,-0.551535279394
ACH-000713,-0.66307708939
ACH-000714,-0.389163878151
ACH-000718,-0.659702994307
ACH-000720,-0.583664203678
ACH-000721,-0.567693250725
ACH-000724,-1.04462654692
ACH-000725,-0.8276332463670001
ACH-000732,-0.490159321808
ACH-000734,-1.04697632255
ACH-000735,-0.417475768708
ACH-000736,-0.569975879371
ACH-000738,-0.8955998121400001
ACH-000746,-1.2419886038799999
ACH-000747,-0.8741684563079999
ACH-000748,-0.407045890455
ACH-000753,-0.9530135497390001
ACH-000756,-0.22540877793699998
ACH-000757,-0.7989233807170001
ACH-000758,-0.446476398495
ACH-000760,-0.5607830421760001
ACH-000763,-1.08639089273
ACH-000764,-0.362739323324
ACH-000765,-0.843328957967
ACH-000766,-0.35940578323899997
ACH-000767,-0.555915347956
ACH-000768,-0.735879214175
ACH-000769,-0.734685262034
ACH-000770,-0.779122301374
ACH-000771,-0.531466095099
ACH-000773,-0.461737826078
ACH-000776,-0.36736231286
ACH-000777,-0.5035202917589999
ACH-000778,-0.499112525242
ACH-000781,-0.611946067375
ACH-000782,-0.56061155356
ACH-000783,-0.45486371314199997
ACH-000784,-0.713731784901
ACH-000785,-0.698971953252
ACH-000787,-0.622035778076
ACH-000788,-0.42615666089500004
ACH-000791,-0.612648628619
ACH-000792,-0.36770558110699997
ACH-000794,-0.27590943119000005
ACH-000796,-0.614159815503
ACH-000799,-0.456354759897
ACH-000800,-0.502229543567
ACH-000802,-0.5526725087919999
ACH-000804,-0.7473370168119999
ACH-000805,-0.792318947913
ACH-000809,-0.5778504171859999
ACH-000810,-0.842988147627
ACH-000811,-0.548432929221
ACH-000817,-0.862329218044
ACH-000819,-0.479526340647
ACH-000820,-0.826230689013
ACH-000821,-0.8509368614749999
ACH-000822,-0.853088041765
ACH-000823,-0.611742680425
ACH-000824,-0.404363877808
ACH-000827,-0.259651475523
ACH-000829,-0.74748888762
ACH-000831,-0.8734971752590001
ACH-000832,-0.7373084239800001
ACH-000833,-0.373437497773
ACH-000834,-0.704222186387
ACH-000835,-0.6970138776770001
ACH-000836,-0.579956656105
ACH-000837,-0.758581033487
ACH-000838,-0.670466552141
ACH-000839,-0.324787004448
ACH-000840,-0.45311416443999997
ACH-000841,-0.505863151475
ACH-000843,-0.7820597748720001
ACH-000846,-0.6830883634489999
ACH-000847,-0.845189714662
ACH-000848,-0.7675874749539999
ACH-000849,-0.707048321216
ACH-000851,-0.928743560628
ACH-000855,-0.897304644723
ACH-000856,-0.74374008603
ACH-000858,-0.973567160223
ACH-000859,-0.658862202217
ACH-000861,-0.511061285384
ACH-000862,-1.00874228492
ACH-000865,-0.507382328898
ACH-000866,-0.832232924014
ACH-000867,-0.598522324981
ACH-000869,-0.724591762497
ACH-000872,-0.438701632906
ACH-000873,-0.779404096117
ACH-000876,-1.24789941564
ACH-000878,-0.27159874096000003
ACH-000880,-0.594246887447
ACH-000881,-0.659114302075
ACH-000882,-0.772736095551
ACH-000884,-0.649349187447
ACH-000885,-1.08816442236
ACH-000887,-0.55968160502
ACH-000888,-1.08881402576
ACH-000889,-0.932859459728
ACH-000890,-0.583441014402
ACH-000896,-0.7746117393170001
ACH-000898,-0.960911788185
ACH-000900,-0.6802520551469999
ACH-000901,-0.509820500414
ACH-000905,-0.601497231696
ACH-000906,-0.764591461786
ACH-000907,-0.652007659229
ACH-000910,-0.8661103071359999
ACH-000911,-0.964984696329
ACH-000912,-0.462240773804
ACH-000913,-0.930649118226
ACH-000915,-1.0609570802200001
ACH-000916,-0.602406203747
ACH-000917,-0.6215530024979999
ACH-000921,-0.59088184088
ACH-000924,-1.1036257115299999
ACH-000926,-0.8094904558399999
ACH-000928,-0.638174328741
ACH-000929,-0.630905235899
ACH-000932,-0.831670627835
ACH-000935,-0.59415464593
ACH-000936,-0.915031763136
ACH-000937,-0.7851449528409999
ACH-000938,-1.05097088879
ACH-000939,-0.731129568843
ACH-000941,-0.866110038023
ACH-000943,-0.5803392630340001
ACH-000946,-0.7711119368930001
ACH-000947,-0.979092115555
ACH-000948,-0.601358310957
ACH-000950,-0.49751366095700006
ACH-000953,-0.7567381511650001
ACH-000957,-0.722339601964
ACH-000958,-0.776114847793
ACH-000960,-0.8389294789849999
ACH-000963,-0.753480550282
ACH-000968,-1.0526613514399998
ACH-000969,-1.0386972404100001
ACH-000973,-0.695217377682
ACH-000974,-0.590117057154
ACH-000975,-0.8010296327940001
ACH-000976,-0.606575933959
ACH-000978,-0.127606050729
ACH-000980,-0.591953269263
ACH-000984,-0.648990088773
ACH-000986,-0.731628725959
ACH-000988,-0.670383750739
ACH-000993,-0.328406628724
ACH-000994,-0.9010002730069999
ACH-000996,-0.548128143157
ACH-001001,-1.05630558249
ACH-001020,-0.404738185632
ACH-001028,-0.816916188256
ACH-001031,-0.6722895651369999
ACH-001038,-0.8225306668279999
ACH-001048,-0.7749200303560001
ACH-001050,-0.5270184764
ACH-001053,-0.65148614615
ACH-001054,-0.60922118332
ACH-001061,-0.9044330146940001
ACH-001067,-0.609306994295
ACH-001075,-0.511783070752
ACH-001096,-0.586657249236
ACH-001128,-0.760337107384
ACH-001134,-0.751748395217
ACH-001151,-0.549545868319
ACH-001163,-0.8387440598899999
ACH-001164,-0.825422637529
ACH-001173,-0.968876760192
ACH-001183,-0.35664719029299996
ACH-001184,-0.47005504726
ACH-001190,-0.6098260156759999
ACH-001192,-0.670811526974
ACH-001193,-0.624425529764
ACH-001196,-0.41676072796700003
ACH-001197,-0.392144954316
ACH-001205,-0.6390661625649999
ACH-001211,-0.7892821012029999
ACH-001212,-0.69632201146
ACH-001228,-0.694663985369
ACH-001232,-0.446874059496
ACH-001239,-0.8144768839030001
ACH-001274,-0.590323965002
ACH-001275,-0.7967489532009999
ACH-001277,-0.8198467129170001
