,MIS18A (54069)
ACH-000004,-1.44486601427
ACH-000007,-1.31446094218
ACH-000009,-1.48164183236
ACH-000011,-1.47417796804
ACH-000012,-1.3134597426799999
ACH-000013,-1.8052301505300001
ACH-000014,-1.63769683641
ACH-000015,-1.59712702608
ACH-000017,-1.8799377693900001
ACH-000018,-1.33385102543
ACH-000019,-1.4685280596
ACH-000021,-1.05225903625
ACH-000022,-1.8518416543
ACH-000025,-1.60183994377
ACH-000028,-1.55303107805
ACH-000030,-1.6503768592399999
ACH-000035,-1.30133563964
ACH-000036,-1.42174819677
ACH-000037,-1.68237648833
ACH-000039,-1.5771125938100001
ACH-000040,-1.38582161005
ACH-000041,-1.5899583303600002
ACH-000042,-1.7082795758000002
ACH-000045,-1.5433334328200001
ACH-000047,-1.45071129354
ACH-000052,-1.5109882963299999
ACH-000053,-1.15217625965
ACH-000054,-1.4155189113999997
ACH-000055,-1.33672179538
ACH-000060,-1.6485674858300001
ACH-000067,-1.1719208963299999
ACH-000070,-1.4076028056799998
ACH-000075,-1.26364108803
ACH-000078,-1.8485464868200001
ACH-000082,-1.28475079549
ACH-000085,-1.6274205446
ACH-000086,-1.3693051506600002
ACH-000087,-1.3698328331
ACH-000092,-1.3435141625600002
ACH-000095,-1.5233765729
ACH-000097,-1.5215948853999999
ACH-000098,-1.58264548034
ACH-000099,-1.57139567241
ACH-000108,-1.14033190211
ACH-000113,-1.62440295157
ACH-000115,-1.3526180296599999
ACH-000116,-1.68582044058
ACH-000118,-1.2259399560200002
ACH-000120,-1.24187188166
ACH-000123,-1.32885257255
ACH-000127,-1.52699857439
ACH-000128,-1.53473319732
ACH-000132,-1.75600975716
ACH-000133,-1.84958166653
ACH-000137,-1.5188158347999998
ACH-000138,-1.5270071150799998
ACH-000142,-1.70373894321
ACH-000143,-1.5736890514500002
ACH-000146,-1.55303680049
ACH-000148,-1.5644247097
ACH-000150,-1.4655124997799998
ACH-000152,-1.0424036915200001
ACH-000153,-1.7786013559
ACH-000159,-1.35000162889
ACH-000160,-1.45473148875
ACH-000163,-1.53569454676
ACH-000167,-1.6343343475299998
ACH-000168,-1.6620480568599998
ACH-000169,-1.41509280271
ACH-000178,-1.59037897015
ACH-000182,-1.63935984909
ACH-000183,-1.3015847084799999
ACH-000188,-1.66985185012
ACH-000189,-1.4443222952099999
ACH-000190,-1.25369327767
ACH-000198,-1.60875759588
ACH-000204,-1.45279515679
ACH-000206,-1.9437380509200002
ACH-000207,-1.30180841269
ACH-000211,-1.48921822266
ACH-000215,-1.7623824720299999
ACH-000221,-1.5503501898899998
ACH-000222,-1.4327719115600002
ACH-000223,-1.28638772149
ACH-000226,-1.32588303537
ACH-000227,-2.14813939105
ACH-000228,-1.35973679616
ACH-000231,-1.67272599688
ACH-000232,-1.43505613719
ACH-000233,-1.39651651059
ACH-000234,-1.4856281209399997
ACH-000235,-1.3411064427700001
ACH-000237,-1.60728593718
ACH-000238,-1.6916448307799998
ACH-000243,-1.48425748106
ACH-000244,-1.5711543423199998
ACH-000246,-1.4712022218599998
ACH-000248,-1.5352176563100002
ACH-000250,-1.3519888392
ACH-000251,-1.52025964678
ACH-000253,-1.3523206325100001
ACH-000255,-1.32548117725
ACH-000256,-1.4875251546000001
ACH-000257,-1.69631738728
ACH-000258,-1.55045629998
ACH-000259,-1.62771663972
ACH-000260,-1.5333231368900002
ACH-000261,-1.3553214257100001
ACH-000262,-1.6332366663
ACH-000263,-1.8893335916499998
ACH-000264,-1.7869906830700002
ACH-000265,-1.6638945525600002
ACH-000266,-1.29475993704
ACH-000272,-1.26385646577
ACH-000273,-1.40146480312
ACH-000274,-1.40260491805
ACH-000277,-1.2333031214499999
ACH-000278,-1.93205256685
ACH-000279,-1.67652360545
ACH-000280,-1.4310263429700003
ACH-000281,-1.2829514862
ACH-000288,-1.6602478234
ACH-000291,-1.50153595776
ACH-000293,-1.28714254214
ACH-000294,-1.5880253654700003
ACH-000295,-2.0388000446200003
ACH-000296,-1.48495863122
ACH-000302,-1.7203561305400001
ACH-000304,-1.4585189126700002
ACH-000307,-1.50177269455
ACH-000308,-1.69432013704
ACH-000310,-1.6261214145299998
ACH-000311,-1.31739098232
ACH-000312,-1.4713168241999999
ACH-000315,-1.3268101108600001
ACH-000316,-1.75653274987
ACH-000317,-1.65084323392
ACH-000318,-1.64123880824
ACH-000319,-1.30432105941
ACH-000320,-1.33686970441
ACH-000322,-1.4961031872600001
ACH-000323,-1.22831406291
ACH-000324,-1.5119735160699999
ACH-000329,-1.22912934673
ACH-000330,-1.50282230044
ACH-000331,-1.35361146129
ACH-000332,-1.5284190462600002
ACH-000334,-1.63738330615
ACH-000335,-1.7379396809999998
ACH-000336,-1.59271531424
ACH-000337,-1.72283208857
ACH-000339,-1.33946604536
ACH-000341,-1.43686299039
ACH-000348,-1.22250991656
