,VSIG10 (54621)
ACH-000403,-0.121786270613
ACH-000404,0.310759381954
ACH-000406,-0.08575474422039998
ACH-000407,0.0228452670304
ACH-000408,-0.0591619658077
ACH-000410,-0.0900527198155
ACH-000411,-0.10115142688300001
ACH-000414,-0.0479472799602
ACH-000415,-0.0162619505645
ACH-000416,-0.16627591855999999
ACH-000420,-0.123216126213
ACH-000421,-0.195677192344
ACH-000424,-0.115139768853
ACH-000425,-0.125025421068
ACH-000426,-0.020828259518799998
ACH-000427,-0.23257111397100003
ACH-000433,-0.316970399287
ACH-000436,0.0931499363873
ACH-000444,-0.111357620029
ACH-000445,-0.04645281928930001
ACH-000448,0.0380351634664
ACH-000450,0.15257899271
ACH-000452,-0.125555067679
ACH-000454,-0.100511827576
ACH-000458,0.19053443638300002
ACH-000459,0.142550727954
ACH-000460,0.0535452862317
ACH-000461,-0.158089040039
ACH-000463,0.0954658031591
ACH-000464,-0.281082534198
ACH-000466,-0.154885451209
ACH-000467,-0.0731973449907
ACH-000468,-0.182848950026
ACH-000469,0.0329174648024
ACH-000470,-0.16537580660499998
ACH-000471,-0.153099000876
ACH-000472,0.0491180894632
ACH-000473,-0.05053607128280001
ACH-000475,-0.29515195347199996
ACH-000476,-0.056473073408300004
ACH-000477,-0.231462966133
ACH-000480,0.0282158586004
ACH-000481,-0.0869276692998
ACH-000483,-0.023786418105599998
ACH-000484,0.224777456356
ACH-000485,-0.352992178222
ACH-000486,-0.007519873328569999
ACH-000487,-0.21518630292100002
ACH-000488,-0.0890215562428
ACH-000490,-0.244387597937
ACH-000491,0.0530518555731
ACH-000495,-0.17426681139199998
ACH-000496,-0.0871572745655
ACH-000499,-0.00808042912202
ACH-000500,-0.0500469631133
ACH-000502,-0.17681274850099998
ACH-000503,-0.108780407391
ACH-000505,-0.324912005528
ACH-000507,0.049072267492699995
ACH-000510,-0.0701706531161
ACH-000511,-0.0563123579386
ACH-000512,-0.0224568701095
ACH-000516,-0.07220413828649999
ACH-000517,-0.0480718674033
ACH-000518,0.038798293064000004
ACH-000520,0.020042907370099998
ACH-000521,0.0707951840061
ACH-000522,-0.08812448308620001
ACH-000524,-0.00730996685341
ACH-000527,-0.0613198633119
ACH-000528,-0.0350285734565
ACH-000537,-0.00184183663099
ACH-000541,-0.423204323808
ACH-000542,0.0164327814871
ACH-000544,-0.176798714923
ACH-000545,-0.0594229720351
ACH-000547,0.07480971425189999
ACH-000548,0.07752724632210001
ACH-000549,-0.134359232202
ACH-000550,-0.165530551198
ACH-000552,0.0207254422949
ACH-000556,-0.020205323184
ACH-000557,0.042630847258900005
ACH-000570,0.00139594472573
ACH-000571,-0.149328806928
ACH-000573,-0.0404776230928
ACH-000576,0.0074802422301499995
ACH-000580,-0.0375861949893
ACH-000584,-0.11773568645400001
ACH-000585,-0.137126742768
ACH-000588,0.10453394252699999
ACH-000589,-0.018747527014400002
ACH-000591,-0.00823588762257
ACH-000593,-0.216368660348
ACH-000600,-0.0990818345295
ACH-000601,0.0016729009471099998
ACH-000604,0.176372927852
ACH-000605,0.047016585441899995
ACH-000606,-0.029924250945299997
ACH-000608,-0.0893215360925
ACH-000614,0.0206970636257
ACH-000616,0.047054584539
ACH-000618,0.0793415922059
ACH-000619,-0.213160703152
ACH-000620,-0.0654615085213
ACH-000621,0.0266122324194
ACH-000622,-0.332169832675
ACH-000623,-0.188530340821
ACH-000624,0.0136913914628
ACH-000627,-0.08869077150289999
ACH-000630,0.09859574321139998
ACH-000632,-0.0543454060642
ACH-000633,-0.0125001096673
ACH-000637,0.0648910647227
ACH-000638,-0.296208418573
ACH-000646,-0.040668939711
ACH-000647,-0.129681011657
ACH-000648,-0.130567494108
ACH-000649,-0.110886301087
ACH-000651,-0.0334643916432
ACH-000652,0.227208970046
ACH-000653,-0.0337637498767
ACH-000657,-0.136885541928
ACH-000658,-0.103367767792
ACH-000661,-0.16768926193800002
ACH-000662,-0.36799055540299996
ACH-000663,-0.14799557178300002
ACH-000665,-0.0849955062968
ACH-000671,0.09666953040319999
ACH-000673,-0.0835854948918
ACH-000676,-0.0866296687002
ACH-000677,0.0583008795897
ACH-000681,0.00905398070322
ACH-000682,-0.231781056389
ACH-000683,-0.157778054243
ACH-000684,-0.145741997011
ACH-000688,-0.0230669317947
ACH-000693,-0.0636612179518
ACH-000694,-0.036095019481300006
ACH-000695,-0.10051846205600001
ACH-000696,0.0186352310391
ACH-000697,-0.423941979978
ACH-000699,-0.106212238903
ACH-000701,0.027811674975799998
ACH-000706,-0.133182377814
ACH-000711,-0.0128523001395
ACH-000713,-0.0047903617906400004
ACH-000714,-0.0412768282317
ACH-000718,0.004020628536780001
ACH-000720,0.0099208613211
ACH-000721,-0.13143614746500001
ACH-000724,-0.00203013723424
ACH-000725,-0.15374418269999998
ACH-000732,0.146329427289
ACH-000734,-0.230801054278
ACH-000735,-0.061185313995599996
ACH-000736,0.0639904746831
ACH-000738,0.0461562494527
ACH-000746,-0.162102415481
ACH-000747,-0.0529776418026
ACH-000748,-0.131038858608
ACH-000753,-0.160309201967
ACH-000756,-0.17435750623
ACH-000757,-0.126503177084
ACH-000758,-0.11996563286800001
ACH-000760,-0.062017799574600005
ACH-000763,-0.06365748988730001
ACH-000764,-0.0968445315973
ACH-000765,-0.215217122022
ACH-000766,-0.194464137077
ACH-000767,-0.275457717797
ACH-000768,-0.180063912202
ACH-000769,-0.06675688513860001
ACH-000770,-0.07324193623410001
ACH-000771,-0.23333089821699998
ACH-000773,-0.0820040126162
ACH-000776,0.11234925749500001
ACH-000777,-0.0543049214066
ACH-000778,-0.027142165945599997
ACH-000781,0.0206161560571
ACH-000782,-0.135478845779
ACH-000783,-0.244960481426
ACH-000784,0.0018560297597200002
ACH-000785,-0.368538677338
ACH-000787,-0.00975990673983
ACH-000788,-0.09094998623139999
ACH-000791,-0.0994906971926
ACH-000792,-0.08838166482589999
ACH-000794,-0.04260565169419999
ACH-000796,-0.183504666013
ACH-000799,-0.08550314340189999
ACH-000800,-0.048965847195300005
ACH-000802,-0.09403611849960002
ACH-000804,-0.275183826608
ACH-000805,-0.049771095037900004
ACH-000809,-0.0956336862081
ACH-000810,0.38178148314599997
ACH-000811,0.0169894374335
ACH-000817,-0.09216331795919999
ACH-000819,-0.172778010969
ACH-000820,0.0737366738562
ACH-000821,0.17736517248199998
ACH-000822,-0.0548938292875
ACH-000823,-0.151236006205
ACH-000824,0.00400395277147
ACH-000827,-0.0308949630987
ACH-000829,-0.08491278092660001
ACH-000831,-0.0682658676233
ACH-000832,-0.0752479380695
ACH-000833,0.0021603487418699998
ACH-000834,-0.210141103981
ACH-000835,-0.142517593911
ACH-000836,-0.0221789437323
ACH-000837,-0.21147664434
ACH-000838,0.167635633942
ACH-000839,0.05764374029469999
ACH-000840,-0.103690152171
ACH-000841,-0.12954267244999998
ACH-000843,0.018780557675400003
ACH-000846,0.023749117222599998
ACH-000847,-0.196008220498
ACH-000848,-0.166261420219
ACH-000849,0.0380013914179
ACH-000851,-0.0466026472
ACH-000855,0.0418375122371
ACH-000856,0.0449309384781
ACH-000858,-4.06648414022e-05
ACH-000859,-0.23647878904800002
ACH-000861,-0.117133780984
ACH-000862,-0.206106011056
ACH-000865,0.009087415571620001
ACH-000866,-0.0719313588587
ACH-000867,-0.0571730459841
ACH-000869,0.020391258068
ACH-000872,0.108125361409
ACH-000873,-0.0463271815992
ACH-000876,-0.149641404537
ACH-000878,-0.227223850211
ACH-000880,0.214237989231
ACH-000881,-0.0797939487404
ACH-000882,-0.17437398250999997
ACH-000884,-0.06528003511319999
ACH-000885,-0.158855320622
ACH-000887,-0.143086369045
ACH-000888,-0.0704613217626
ACH-000889,-0.08603566368349999
ACH-000890,0.09850863260880001
ACH-000896,-0.0371093845561
ACH-000898,-0.025383887221900003
ACH-000900,-0.236226949208
ACH-000901,-0.0734845200566
ACH-000905,-0.020036563218200003
ACH-000906,-0.129861395374
ACH-000907,0.05049878028390001
ACH-000910,-0.202377225063
ACH-000911,-0.11393971784700001
ACH-000912,-0.140445686888
ACH-000913,-0.161221993838
ACH-000915,0.0246271163351
ACH-000916,-0.328499932998
ACH-000917,-0.120601389049
ACH-000921,-0.125728964354
ACH-000924,-0.17159029458
ACH-000926,-0.10861868039599999
ACH-000928,0.0804173483335
ACH-000929,-0.147672126465
ACH-000932,-0.0196509767712
ACH-000935,0.0524610145255
ACH-000936,-0.151014531929
ACH-000937,-0.225060934172
ACH-000938,-0.192184172784
ACH-000939,-0.148541734215
ACH-000941,0.023246647887400003
ACH-000943,0.0263862541033
ACH-000946,0.0462681466265
ACH-000947,-0.024260814863800002
ACH-000948,-0.137206434318
ACH-000950,-0.291288918136
ACH-000953,-0.0821467871164
ACH-000957,0.0813132283517
ACH-000958,-0.38972297483900004
ACH-000960,-0.0394372302264
ACH-000963,0.0165142892523
ACH-000968,-0.0481227381261
ACH-000969,-0.0609200748972
ACH-000973,-0.234337900965
ACH-000974,-0.0558664746179
ACH-000975,-0.1854323888
ACH-000976,-0.0243403169272
ACH-000978,0.09753723440189999
ACH-000980,-0.07532615855389999
ACH-000984,-0.231752452562
ACH-000986,-0.212629056822
ACH-000988,-0.165199696738
ACH-000993,-0.000518812933191
ACH-000994,-0.18257679194899998
ACH-000996,-0.304218568519
ACH-001001,-0.154311471171
ACH-001020,0.148408255769
ACH-001028,0.011184954019500001
ACH-001031,0.0613076358341
ACH-001038,-0.228639531336
ACH-001048,-0.0292901481641
ACH-001050,-0.09840695024489998
ACH-001053,-0.104369458618
ACH-001054,-0.07536288440660001
