,UXS1 (80146)
ACH-000461,-0.591819300719
ACH-000463,-0.743664265995
ACH-000464,-0.284572776922
ACH-000466,-0.6051135852189999
ACH-000467,-0.45939109677
ACH-000468,-0.277683881043
ACH-000469,-0.311074087288
ACH-000470,-0.14674454410499999
ACH-000471,-1.14653425073
ACH-000472,-0.406816597701
ACH-000473,-0.324206193193
ACH-000475,-0.803085953696
ACH-000476,-0.427102757209
ACH-000477,-0.7250520442020001
ACH-000480,-0.23708875475900001
ACH-000481,-0.46753579835000003
ACH-000483,-0.25806083355099996
ACH-000484,-0.802217173373
ACH-000485,-0.463069195743
ACH-000486,-0.424837719795
ACH-000487,-0.6269858859340001
ACH-000488,-0.571621935031
ACH-000490,-0.34624290345299996
ACH-000491,-1.63555737581
ACH-000495,-0.488336508587
ACH-000496,-1.0215593069
ACH-000499,-0.62263348526
ACH-000500,-0.5255447235580001
ACH-000502,-1.12991539093
ACH-000503,-0.300236239423
ACH-000505,-0.376290583487
ACH-000507,-1.3886890207700002
ACH-000510,-0.530923708016
ACH-000511,-0.302034950175
ACH-000512,-0.456730616103
ACH-000516,-0.313519877759
ACH-000517,-0.399875851271
ACH-000518,-0.48627851429799995
ACH-000520,-0.398956356399
ACH-000521,-0.8481076768960001
ACH-000522,-0.400732051001
ACH-000524,-0.45298807299599997
ACH-000527,-0.419468335005
ACH-000528,-0.355862246741
ACH-000537,-0.918481699548
ACH-000541,-1.00548560679
ACH-000542,-0.23352919304900002
ACH-000544,-0.21467823857999999
ACH-000545,-0.659721664425
ACH-000547,-0.307442735647
ACH-000548,-0.581334320352
ACH-000549,-0.765711993364
ACH-000550,-0.592186311395
ACH-000552,-0.649339156786
ACH-000556,-1.17717454931
ACH-000557,-0.0251455807952
ACH-000570,-0.39994140707599996
ACH-000571,-0.23765153854
ACH-000573,-0.723521925824
ACH-000576,-0.699257759259
ACH-000580,-0.309779057631
ACH-000584,-0.833963463838
ACH-000585,-0.10737393790500001
ACH-000588,-1.3551617850600002
ACH-000589,-0.76018510168
ACH-000591,-0.34814614099299995
ACH-000593,-0.714498997356
ACH-000600,-0.12431306960899999
ACH-000601,-0.7391594605349999
ACH-000604,-0.689972146669
ACH-000605,-0.627249303974
ACH-000606,-0.38356230503300004
ACH-000608,-0.0124901361175
ACH-000614,-0.534660614132
ACH-000616,-0.557193271077
ACH-000618,-0.684309456408
ACH-000619,-0.559782711031
ACH-000620,-0.760503723832
ACH-000621,-0.623412823767
ACH-000622,-0.268246756092
ACH-000623,-0.447890417504
ACH-000624,-0.655776278581
ACH-000627,-0.246274894316
ACH-000630,-0.558984665279
ACH-000632,-0.45829496080399995
ACH-000633,-0.465376163358
ACH-000637,-0.046129242163
ACH-000638,-0.6555054585
ACH-000646,-1.59410613529
ACH-000647,-0.47932150561000003
ACH-000648,-1.40016923818
ACH-000649,-0.254842699944
ACH-000651,-0.676691547217
ACH-000652,-1.0936239347299999
ACH-000653,-0.851676925713
ACH-000657,-0.569824797631
ACH-000658,-0.894599533142
ACH-000661,-0.9274729577399999
ACH-000662,-0.720836103366
ACH-000663,-1.5618809647
ACH-000665,-0.585301961927
ACH-000671,-0.366731172209
ACH-000673,-0.437519790705
ACH-000676,-1.1772904220799998
ACH-000677,-0.253802552081
ACH-000681,-0.648403403928
ACH-000682,-0.368909771109
ACH-000683,-0.124161545365
ACH-000684,-0.448467351109
ACH-000688,-0.350776723296
ACH-000693,-0.336304788025
ACH-000694,-0.514556402647
ACH-000695,-0.246187010874
ACH-000696,-0.497573129946
ACH-000697,-0.594322224312
ACH-000699,-0.569040746601
ACH-000701,-0.9435410014810001
ACH-000706,-0.714413888766
ACH-000711,-0.663414243755
ACH-000713,-0.638681298331
ACH-000714,-0.287067248756
ACH-000718,-0.212999897892
ACH-000720,-0.40029485652400004
ACH-000721,-0.47145169789200003
ACH-000724,-0.288549259395
ACH-000725,-1.07299638794
ACH-000732,-0.22535079559
ACH-000734,-0.820092947078
ACH-000735,-0.513499976414
ACH-000736,-1.3444415515600001
ACH-000738,-0.37961843179099997
ACH-000746,-0.433509149478
ACH-000747,-0.615788348405
ACH-000748,-0.366177541136
