,PLA2G4D (283748)
ACH-000004,-0.238766355363
ACH-000007,-0.199874509941
ACH-000009,-0.5186377529789999
ACH-000011,-0.0446802781846
ACH-000012,-0.323545482559
ACH-000013,-0.389213791795
ACH-000014,-0.24114526720499999
ACH-000015,-0.0338956591582
ACH-000017,-0.201261700957
ACH-000018,-0.09285928343000001
ACH-000019,-0.09124778565410001
ACH-000021,-0.156766540393
ACH-000022,-0.338823790653
ACH-000025,-0.33885311775700006
ACH-000028,-0.125038313377
ACH-000030,-0.344663975125
ACH-000035,-0.292052587036
ACH-000036,-0.20291100208700003
ACH-000037,-0.241480217507
ACH-000039,-0.10925623580999998
ACH-000040,-0.0727944808525
ACH-000041,-0.178663831358
ACH-000042,-0.10190546517000001
ACH-000045,-0.350267725415
ACH-000047,-0.212718553342
ACH-000052,-0.409100186247
ACH-000053,-0.297167605399
ACH-000054,-0.167677512453
ACH-000055,-0.239806156705
ACH-000060,-0.12902985672599998
ACH-000067,-0.32977309212699996
ACH-000070,-0.187395775794
ACH-000075,-0.288514581303
ACH-000078,-0.14251668871099998
ACH-000082,-0.21478148761100002
ACH-000085,-0.25614080425999997
ACH-000086,-0.29361250098700004
ACH-000087,-0.0134326157744
ACH-000092,-0.243443135311
ACH-000095,-0.204410737598
ACH-000097,-0.205105990428
ACH-000098,-0.109118499003
ACH-000099,-0.303779252502
ACH-000108,-0.414816996334
ACH-000113,-0.394409693026
ACH-000115,-0.135790635219
ACH-000116,-0.23187304346700002
ACH-000118,-0.11078325165200001
ACH-000120,-0.25236160401
ACH-000123,-0.202901399334
ACH-000127,-0.179467127524
ACH-000128,-0.221892516182
ACH-000132,-0.45708724341000007
ACH-000133,-0.155621675373
ACH-000137,-0.213106362953
ACH-000138,-0.1324366657
ACH-000142,-0.303590510925
ACH-000143,-0.4831845597300001
ACH-000146,-0.315464061529
ACH-000148,-0.36646697181000004
ACH-000150,-0.326219064841
ACH-000152,-0.130047604867
ACH-000153,-0.486934033454
ACH-000159,-0.156222400143
ACH-000160,-0.53554717478
ACH-000163,-0.290584310766
ACH-000167,-0.0779662325621
ACH-000168,-0.144424789444
ACH-000169,-0.300763555511
