,CACNA1A (773)
ACH-000004,-0.23101853594900001
ACH-000007,-0.185833173783
ACH-000009,-0.27066959035599997
ACH-000011,-0.107486660755
ACH-000012,-0.158121273424
ACH-000013,-0.23984589110500001
ACH-000014,-0.11405903739800001
ACH-000015,-0.274676349146
ACH-000017,-0.140307575791
ACH-000018,-0.269644958397
ACH-000019,-0.740197734592
ACH-000021,-0.352370049433
ACH-000022,-0.282741493597
ACH-000025,-0.287041646685
ACH-000028,-0.358538706533
ACH-000030,-0.405857538593
ACH-000035,-0.197851079208
ACH-000036,-0.27730705364
ACH-000037,-0.20896438761799999
ACH-000039,-0.37253576003
ACH-000040,-0.0947110205437
ACH-000041,-0.272727675703
ACH-000042,-0.206057793114
ACH-000045,-0.324589243181
ACH-000047,-0.263286640352
ACH-000052,-0.38542028000100004
ACH-000053,-0.227261025008
ACH-000054,-0.187308385346
ACH-000055,-0.0215721830786
ACH-000060,-0.157487278674
ACH-000067,-0.168748615435
ACH-000070,-0.48257572318499997
ACH-000075,-0.175134431301
ACH-000078,-0.245204086876
ACH-000082,-0.300221007318
ACH-000085,-0.205093128387
ACH-000086,-0.189765256327
ACH-000087,-0.371162951403
ACH-000092,-0.24466912307900002
ACH-000095,-0.17040836274799998
ACH-000097,-0.09700930301439999
ACH-000098,-0.294551280267
ACH-000099,-0.16192775111899999
ACH-000108,-0.325647259059
ACH-000113,-0.27460682083099996
ACH-000115,-0.16167271302
ACH-000116,-0.287464244628
ACH-000118,-0.372859293349
ACH-000120,-0.14022065559
ACH-000123,-0.217241465485
ACH-000127,-0.265246355863
ACH-000128,-0.39669995520499995
ACH-000132,-0.132918633196
ACH-000133,-0.18683306800299998
ACH-000137,-0.5723863329119999
ACH-000138,-0.17972021446199998
ACH-000142,-0.473620573138
ACH-000143,-0.232386085354
ACH-000146,-0.197880408983
ACH-000148,-0.32068819811
ACH-000150,-0.185113720966
ACH-000152,-0.107765598914
ACH-000153,-0.335818164423
ACH-000159,-0.19302473812399998
ACH-000160,-0.036554246689199994
ACH-000163,-0.46456381355
ACH-000167,-0.259571669538
ACH-000168,-0.11378238909800001
ACH-000169,-0.202756276459
ACH-000178,-0.07820056895119999
ACH-000182,-0.164635104635
ACH-000183,-0.390926054524
ACH-000188,-0.36231229306
ACH-000189,-0.149517597299
ACH-000190,-0.35200890244800004
ACH-000198,-0.313765673729
ACH-000204,-0.1710048919
ACH-000206,-0.303100233911
ACH-000207,-0.596889384097
ACH-000211,-0.23595557523699998
ACH-000215,-0.28410670623000006
ACH-000221,-0.231453462694
ACH-000222,-0.507466784632
ACH-000223,-0.230138665497
ACH-000226,-0.112055261831
ACH-000227,-0.201093912712
ACH-000228,-0.351707983956
ACH-000231,-0.104786427673
ACH-000232,-0.241168236966
ACH-000233,-0.21792120178100002
ACH-000234,-0.122923663252
ACH-000235,-0.17780432164
ACH-000237,-0.266620428349
ACH-000238,-0.0885993429715
ACH-000243,-0.40217022754500004
ACH-000244,-0.0837491542643
ACH-000246,-0.301520145074
ACH-000248,-0.0351274783618
ACH-000250,-0.280439596031
ACH-000251,-0.218969917822
ACH-000253,-0.20173179969500002
ACH-000255,-0.164154603998
ACH-000256,-0.272733482968
ACH-000257,-0.31986713399300004
ACH-000258,-0.333195230608
ACH-000259,-0.165987956233
ACH-000260,-0.225017145552
ACH-000261,-0.15606483639799998
ACH-000262,0.0524265697759
ACH-000263,-0.20943840856100002
ACH-000264,-0.0362356626669
ACH-000265,-0.191375852906
ACH-000266,-0.18777897696600002
ACH-000272,-0.26511417925999997
ACH-000273,-0.429722235791
ACH-000274,-0.10033943697799999
ACH-000277,-0.30014488649099996
ACH-000278,-0.363159077186
ACH-000279,-0.264621618527
ACH-000280,-0.0636853351692
ACH-000281,-0.366880609759
ACH-000288,-0.0541227716735
ACH-000291,-0.173204494064
ACH-000293,-0.23962878246599997
ACH-000294,-0.460690572912
ACH-000295,-0.155645761245
ACH-000296,-0.165470134889
ACH-000302,-0.35685582432499996
