,MVB12B (89853)
ACH-000004,0.112080005545
ACH-000007,-0.241734837941
ACH-000009,-0.409739174591
ACH-000011,-0.30519436289900004
ACH-000012,-0.290881652238
ACH-000013,-0.300423215308
ACH-000014,-0.33494387655499996
ACH-000015,-0.43529114273999997
ACH-000017,-0.351971626525
ACH-000018,-0.464096974793
ACH-000019,-0.153015376546
ACH-000021,-0.308780582349
ACH-000022,-0.384721549632
ACH-000025,-0.144172934793
ACH-000028,0.0111694603926
ACH-000030,-0.193080871291
ACH-000035,-0.23543207870900001
ACH-000036,-0.154172165371
ACH-000037,-0.268021751026
ACH-000039,0.00579853553172
ACH-000040,-0.395249889824
ACH-000041,-0.278304520136
ACH-000042,-0.329181763211
ACH-000045,-0.290896910293
ACH-000047,-0.106480949714
ACH-000052,-0.24090504447099997
ACH-000053,-0.152116397043
ACH-000054,-0.249132510416
ACH-000055,-0.0554105207909
ACH-000060,-0.152304087675
ACH-000067,-0.11351146862
ACH-000070,-0.327113919575
ACH-000075,-0.25097246515599997
ACH-000078,-0.248173246703
ACH-000082,-0.192513489749
ACH-000085,0.0304948882943
ACH-000086,-0.0715555676294
ACH-000087,-0.184940281492
ACH-000092,-0.129174044107
ACH-000095,-0.154082035684
ACH-000097,-0.178926921796
ACH-000098,-0.20207136688900001
ACH-000099,-0.290070028381
ACH-000108,-0.339236969304
ACH-000113,-0.060369043320399995
ACH-000115,-0.33285041670000004
ACH-000116,-0.252393302533
ACH-000118,-0.302470633597
ACH-000120,-0.277552080847
ACH-000123,-0.176916058534
ACH-000127,-0.17751955660799998
ACH-000128,-0.11944529957800001
ACH-000132,-0.26633247304499996
ACH-000133,-0.33630313670199996
ACH-000137,-0.278233706585
ACH-000138,-0.27427063896
ACH-000142,-0.252898165387
ACH-000143,-0.28324048734499996
ACH-000146,-0.204528920724
ACH-000148,-0.141561444599
ACH-000150,-0.0918124953181
ACH-000152,-0.40411061352600003
ACH-000153,-0.0789313729292
ACH-000159,-0.23283128029800002
ACH-000160,-0.380819100852
ACH-000163,-0.445957202869
ACH-000167,-0.194836117789
ACH-000168,-0.328320104287
ACH-000169,-0.178824418817
ACH-000178,-0.312925366323
ACH-000182,-0.42716969727
ACH-000183,-0.116074108014
ACH-000188,-0.268958026849
ACH-000189,-0.0993607899983
ACH-000190,-0.207707078343
ACH-000198,-0.11692241045299999
ACH-000204,-0.57282678835
ACH-000206,-0.159882561216
ACH-000207,-0.09748094595760001
ACH-000211,-0.371588414749
ACH-000215,-0.2856139329
ACH-000221,-0.37262844563600006
ACH-000222,-0.297325216855
ACH-000223,-0.34443300094000007
ACH-000226,-0.24436720481600002
ACH-000227,-0.430180550019
ACH-000228,-0.18752137879500003
ACH-000231,-0.21454994932100002
ACH-000232,-0.30367045682300003
ACH-000233,-0.104030747316
ACH-000234,-0.253587871126
ACH-000235,-0.26977876237
ACH-000237,-0.318950656884
ACH-000238,-0.152533201226
ACH-000243,-0.127986298925
ACH-000244,0.0776066111584
ACH-000246,-0.22056311647799998
ACH-000248,-0.23325741342099998
ACH-000250,-0.287860023262
ACH-000251,-0.146405759489
ACH-000253,-0.20933147728100002
ACH-000255,-0.296471436434
ACH-000256,-0.10147365766699999
ACH-000257,0.0355034606374
ACH-000258,-0.25569741229299997
ACH-000259,-0.324749702614
ACH-000260,-0.223732129443
ACH-000261,-0.056162269317199996
ACH-000262,-0.12074569570499999
ACH-000263,-0.296134836237
ACH-000264,-0.225115266779
ACH-000265,-0.229189443983
ACH-000266,-0.215774527922
ACH-000272,-0.23290054106400002
ACH-000273,-0.30297707065
ACH-000274,-0.188767466359
ACH-000277,-0.35359737025700005
ACH-000278,-0.285200179133
ACH-000279,-0.280673894681
ACH-000280,-0.323183268155
ACH-000281,-0.239351610301
ACH-000288,-0.107456865147
ACH-000291,-0.17952720788100002
ACH-000293,-0.176566566336
ACH-000294,-0.20766113209399997
ACH-000295,-0.30620752874
ACH-000296,-0.11978718328
ACH-000302,-0.11376493319599999
ACH-000304,0.07704017393
ACH-000307,-0.0043933524754899995
ACH-000308,-0.147380324204
ACH-000310,-0.273480883633
ACH-000311,-0.214130888491
ACH-000312,-0.30855998575599997
ACH-000315,-0.348829672182
ACH-000316,0.130364771421
ACH-000317,-0.0574381920546
ACH-000318,-0.124007079842
ACH-000319,-0.0830358202892
ACH-000320,-0.261379187925
ACH-000322,-0.0204374361568
ACH-000323,-0.380991673728
ACH-000324,-0.204933810407
ACH-000329,-0.28742026169199997
ACH-000330,-0.09779110189950001
ACH-000331,-0.250957585629
ACH-000332,-0.19818566321699999
ACH-000334,-0.014888998142600002
ACH-000335,-0.163001341845
ACH-000336,-0.272982495531
ACH-000337,-0.180591836734
ACH-000339,-0.226791652431
ACH-000341,-0.0740866694005
ACH-000348,-0.28853528951699997
ACH-000350,-0.35601312904
ACH-000352,-0.227045725885
ACH-000356,-0.0792139008168
ACH-000361,-0.0765398379562
ACH-000362,-0.09470874236929999
ACH-000363,-0.158386376307
ACH-000364,-0.155387402634
ACH-000365,-0.18677009754299997
ACH-000366,-0.258462839903
ACH-000368,-0.246302424554
ACH-000374,-0.0902637490096
ACH-000375,-0.272351911652
ACH-000376,-0.152370790053
ACH-000381,-0.272624409581
ACH-000383,-0.310528108963
ACH-000387,-0.18134593311799999
ACH-000389,-0.16411193419700001
ACH-000390,-0.246602108712
ACH-000393,-0.370117179645
ACH-000395,-0.201978201198
ACH-000397,-0.048813650332399997
ACH-000401,0.010895785453800001
ACH-000402,-0.294414473128
ACH-000403,-0.346229381522
ACH-000404,0.035762205206699996
ACH-000406,-0.163300784083
ACH-000407,-0.322466024038
ACH-000408,-0.104886616892
ACH-000410,-0.0639258013309
ACH-000411,-0.20988644451400001
ACH-000414,-0.22960884903
ACH-000415,-0.18309720147999997
ACH-000416,-0.21065657307799998
ACH-000420,-0.356814078499
ACH-000421,-0.132766457849
ACH-000424,-0.10167455116900001
ACH-000425,-0.263559742517
ACH-000426,0.017115401706700003
ACH-000427,-0.11874342871600001
ACH-000433,-0.135590149005
