,SEMA3G (56920)
ACH-000004,-0.15413500692399998
ACH-000007,-0.047172763135900006
ACH-000009,-0.00237719430465
ACH-000011,-0.19022872145
ACH-000012,-0.22220993077
ACH-000013,-0.142722521561
ACH-000014,0.0947906568537
ACH-000015,-0.23243116087699997
ACH-000017,-0.123078869082
ACH-000018,0.114146335483
ACH-000019,0.18375413343699998
ACH-000021,-0.309928399436
ACH-000022,-0.25512642904399996
ACH-000025,-0.223406342247
ACH-000028,-0.227029442544
ACH-000030,-0.214141967678
ACH-000035,-0.10844317259099999
ACH-000036,-0.203490504087
ACH-000037,-0.220362028152
ACH-000039,0.129849395264
ACH-000040,0.0038846319382800005
ACH-000041,-0.228386350623
ACH-000042,-0.245844344808
ACH-000045,-0.21412728770599998
ACH-000047,-0.106398719118
ACH-000052,-0.276389369196
ACH-000053,-0.111237918727
ACH-000054,-0.272753523788
ACH-000055,-0.142593065276
ACH-000060,-0.283836223208
ACH-000067,-0.272045172886
ACH-000070,-0.275083183804
ACH-000075,-0.515906920695
ACH-000078,0.050326679101
ACH-000082,-0.149379217115
ACH-000085,-0.453171344444
ACH-000086,-0.15553259916200002
ACH-000087,0.0065004764483800005
ACH-000092,-0.150008804916
ACH-000095,-0.23332817151299998
ACH-000097,-0.22337494509
ACH-000098,-0.144015529452
ACH-000099,-0.055970073544899995
ACH-000108,-0.28700048876999995
ACH-000113,-0.22668023321699998
ACH-000115,-0.343636427623
ACH-000116,-0.19893919989
ACH-000118,-0.32032072431200004
ACH-000120,-0.23702073642299998
ACH-000123,-0.13608258519000002
ACH-000127,-0.15864902909000003
ACH-000128,-0.43278713043899997
ACH-000132,-0.146945044969
ACH-000133,-0.24827943370000002
ACH-000137,-0.063813104269
ACH-000138,-0.309620291065
ACH-000142,-0.22813990525699998
ACH-000143,-0.239364181645
ACH-000146,-0.13744051828099998
ACH-000148,-0.129749356152
ACH-000150,-0.43340460135200004
ACH-000152,-0.06868450653119999
ACH-000153,-0.0839876129387
ACH-000159,-0.244446743622
ACH-000160,-0.13082035334699998
ACH-000163,-0.251702399933
ACH-000167,-0.0987615144577
ACH-000168,-0.203258714938
ACH-000169,-0.19010595046599998
ACH-000178,-0.21659959758400002
ACH-000182,-0.17694715513
ACH-000183,-0.219502270731
ACH-000188,-0.398059323343
ACH-000189,-0.334616007157
ACH-000190,-0.223170930646
ACH-000198,0.0228253679532
ACH-000204,-0.344032879997
ACH-000206,-0.407209782976
ACH-000207,-0.326000950711
ACH-000211,-0.250392450153
ACH-000215,-0.20014914310600002
ACH-000221,-0.279448894568
ACH-000222,-0.174609010757
ACH-000223,-0.0290676416778
ACH-000226,-0.132647729538
ACH-000227,-0.29235828840100003
ACH-000228,-0.38782726191600003
ACH-000231,-0.29986411099
ACH-000232,-0.17585929302900002
ACH-000233,-0.004908964659149999
ACH-000234,-0.10525270686
ACH-000235,-0.198414962717
ACH-000237,-0.204741001935
ACH-000238,-0.518495080275
ACH-000243,-0.251721116744
ACH-000244,-0.48412564221
ACH-000246,-0.26909324056
ACH-000248,-0.305221818676
ACH-000250,-0.238201453291
ACH-000251,-0.35517688569399997
ACH-000253,-0.0581896349908
ACH-000255,-0.213006321803
ACH-000256,-0.311551922788
ACH-000257,-0.276892188246
ACH-000258,-0.020624781818500002
ACH-000259,-0.346176542568
ACH-000260,0.0381871438459
ACH-000261,-0.178714406761
ACH-000262,-0.250645796853
ACH-000263,0.0162352927865
ACH-000264,-0.24046052767700002
ACH-000265,-0.24960750382599997
ACH-000266,-0.284958084804
ACH-000272,-0.179790224822
ACH-000273,-0.0616199864958
ACH-000274,-0.365026792435
ACH-000277,-0.144841293355
ACH-000278,-0.23940879678899998
ACH-000279,-0.16996693238299998
ACH-000280,-0.334578559633
ACH-000281,-0.278515778559
ACH-000288,-0.10519500182
ACH-000291,-0.08211575309210001
ACH-000293,-0.338576035132
ACH-000294,0.007135127235140001
ACH-000295,-0.43220217364200003
ACH-000296,-0.395472997452
ACH-000302,-0.159528722751
ACH-000304,-0.5229397980430001
ACH-000307,-0.22942833768399998
ACH-000308,-0.16650978976
ACH-000310,0.0649332756692
ACH-000311,-0.303127230588
ACH-000312,-0.14399062602399998
ACH-000315,-0.5404634903209999
ACH-000316,-0.210220139861
ACH-000317,-0.184708605502
ACH-000318,-0.00498428872435
ACH-000319,-0.255860261518
ACH-000320,-0.10459546973400001
ACH-000322,-0.145063465387
ACH-000323,-0.24386951910799998
ACH-000324,-0.17321138801199998
ACH-000329,-0.107049734014
ACH-000330,-0.262383474276
ACH-000331,-0.0730618943202
ACH-000332,-0.16479003471200002
ACH-000334,-0.22555795584199997
ACH-000335,-0.053511021976300005
ACH-000336,-0.185173288554
ACH-000337,-0.164418246437
ACH-000339,-0.208377207859
ACH-000341,-0.183144246576
ACH-000348,-0.234344823076
ACH-000350,-0.019125188857599996
ACH-000352,-0.19977973666299997
ACH-000356,-0.38882581913599995
ACH-000361,0.0364123229943
ACH-000362,-0.107744982055
ACH-000363,0.0647244264475
ACH-000364,-0.348593084043
ACH-000365,-0.142724062891
ACH-000366,-0.10452471330700001
ACH-000368,-0.177583777503
ACH-000374,-0.291372599562
ACH-000375,-0.201290284436
ACH-000376,-0.258258417938
ACH-000381,-0.276061145599
ACH-000383,-0.349695432435
ACH-000387,-0.0797964301613
ACH-000389,-0.301356715674
ACH-000390,-0.265223440117
ACH-000393,-0.19304235199
ACH-000395,-0.15759783383
ACH-000397,-0.558561766121
ACH-000401,-0.38026743234899996
ACH-000402,-0.5691299691830001
ACH-000403,-0.173377490942
ACH-000404,-0.294464483705
ACH-000406,-0.151298123088
ACH-000407,-0.14002959427300002
ACH-000408,-0.186072131679
ACH-000410,-0.305152695591
ACH-000411,-0.22518020805599998
ACH-000414,-0.237678553488
ACH-000415,-0.479061187746
ACH-000416,-0.13542824803
ACH-000420,-0.40486954534599995
ACH-000421,-0.143925002126
ACH-000424,-0.13847324099000002
ACH-000425,-0.247887448328
ACH-000426,-0.08023838739610001
ACH-000427,-0.522322271449
ACH-000433,-0.222819781448
ACH-000436,-0.373816722293
ACH-000444,-0.073696714629
ACH-000445,-0.27845956513500003
ACH-000448,-0.444368745481
ACH-000450,-0.145029277083
ACH-000452,-0.273190532892
ACH-000454,-0.192723279734
ACH-000458,-0.50101348512
ACH-000459,-0.168029955812
ACH-000460,-0.014272172620600002
ACH-000461,-0.337467699977
ACH-000463,-0.027353206864400004
ACH-000464,-0.201720950086
ACH-000466,-0.46966455626000003
ACH-000467,-0.09083584175489999
ACH-000468,-0.14583037407500002
ACH-000469,-0.0890898429651
ACH-000470,-0.299113876419
ACH-000471,-0.0954814186558
ACH-000472,-0.12057239341600001
ACH-000473,-0.531127570697
ACH-000475,-0.0722592975799
ACH-000476,-0.110946403182
ACH-000477,-0.207538489963
ACH-000480,-0.161273211804
ACH-000481,-0.195366664624
ACH-000483,-0.174713882566
ACH-000484,-0.18920134558200002
ACH-000485,-0.179402243035
ACH-000486,-0.38461257580499997
ACH-000487,-0.192672253559
ACH-000488,-0.192306244076
ACH-000490,-0.191546439918
ACH-000491,-0.061306384838100005
ACH-000495,-0.38011100092600003
ACH-000496,-0.13916204644400001
ACH-000499,-0.182816605808
ACH-000500,-0.455147163324
ACH-000502,-0.278665180335
ACH-000503,-0.39551961712300004
ACH-000505,-0.215404240529
ACH-000507,-0.10266496937899999
ACH-000510,-0.246057131596
ACH-000511,-0.314574296752
ACH-000512,-0.13653243121300002
ACH-000516,-0.054645384708799996
ACH-000517,-0.0573821292471
ACH-000518,-0.163446248786
ACH-000520,-0.298311340671
ACH-000521,-0.272610906766
ACH-000522,-0.163642638572
ACH-000524,-0.225442649439
ACH-000527,-0.166368052521
ACH-000528,-0.16879086060100001
ACH-000537,-0.238895771635
ACH-000541,-0.258532251951
ACH-000542,-0.1798735258
ACH-000544,-0.240526514462
ACH-000545,-0.26383138067
ACH-000547,-0.133158367813
ACH-000548,-0.34748409410899994
ACH-000549,-0.498189801661
ACH-000550,-0.0862848992454
ACH-000552,-0.37669118739600005
ACH-000556,-0.296232505163
ACH-000557,-0.0425292700387
ACH-000570,-0.121824593392
ACH-000571,-0.152920665178
ACH-000573,-0.114348212801
ACH-000576,-0.18544406843400002
ACH-000580,-0.124503821853
ACH-000584,-0.340943507663
ACH-000585,-0.17962448355500002
ACH-000588,-0.0940243506052
ACH-000589,-0.19966038249899998
ACH-000591,-0.06361549132569999
ACH-000593,-0.28325526674400003
ACH-000600,-0.382472024022
ACH-000601,-0.29786378480500003
ACH-000604,-0.449229559696
ACH-000605,-0.113851919993
ACH-000606,-0.274095742892
ACH-000608,-0.24648531056200002
ACH-000614,-0.0423490600172
ACH-000616,-0.173366619943
ACH-000618,-0.255191353312
ACH-000619,-0.324701430182
ACH-000620,-0.19662616638900002
ACH-000621,-0.240763745626
ACH-000622,-0.044079864239
ACH-000623,-0.209272670859
ACH-000624,-0.22728941722600002
ACH-000627,-0.1257370644
ACH-000630,-0.175033638037
ACH-000632,-0.17761244088199998
ACH-000633,-0.240216867102
ACH-000637,-0.332451754685
ACH-000638,-0.225711756557
ACH-000646,-0.20275213716499998
ACH-000647,-0.321526954308
ACH-000648,-0.23421476017700002
ACH-000649,-0.164959016733
ACH-000651,-0.19624581303199998
ACH-000652,-0.271318800237
ACH-000653,-0.018844978461099997
ACH-000657,-0.261417273398
ACH-000658,-0.335993275313
ACH-000661,-0.279437848849
ACH-000662,-0.172975028389
ACH-000663,-0.37179377846999995
ACH-000665,-0.230206865307
ACH-000671,-0.196599737654
ACH-000673,-0.262577694343
ACH-000676,-0.243803762434
ACH-000677,-0.055079616161
ACH-000681,-0.150422446609
ACH-000682,-0.326961343608
ACH-000683,-0.320083501135
ACH-000684,-0.20876016269
ACH-000688,-0.144513463955
ACH-000693,-0.344281136728
ACH-000694,-0.18285881165999998
ACH-000695,-0.273087309953
ACH-000696,-0.221216036303
ACH-000697,-0.16151953304199998
ACH-000699,-0.0422840977611
ACH-000701,-0.144871933589
ACH-000706,-0.323590184103
ACH-000711,-0.27422682520999997
ACH-000713,-0.32505336982599997
ACH-000714,-0.29348356108199997
ACH-000718,-0.313196047298
ACH-000720,-0.23346675489
ACH-000721,-0.220914969919
ACH-000724,-0.156654198026
ACH-000725,-0.0638734458628
ACH-000732,-0.0222305117787
ACH-000734,-0.16761518168
ACH-000735,-0.329452986149
ACH-000736,-0.258230635043
ACH-000738,-0.431290589357
ACH-000746,-0.130511626923
ACH-000747,-0.146000119615
ACH-000748,-0.26785461571999997
ACH-000753,-0.214474348473
ACH-000756,-0.0123110392069
ACH-000757,-0.0798815930455
ACH-000758,-0.219534054205
ACH-000760,-0.219320241105
ACH-000763,-0.187843644335
ACH-000764,-0.285452558018
ACH-000765,-0.160147950835
ACH-000766,-0.269739871158
ACH-000767,0.0951654827293
ACH-000768,-0.193938914566
ACH-000769,-0.026970722345500003
ACH-000770,-0.110499617875
ACH-000771,-0.194180023823
ACH-000773,-0.151936890888
ACH-000776,-0.311665329441
ACH-000777,0.124019792463
ACH-000778,-0.17720415230300002
ACH-000781,-0.12834135366
ACH-000782,-0.187149164838
ACH-000783,-0.046621550977600006
ACH-000784,-0.381610748359
ACH-000785,-0.234249797421
ACH-000787,-0.243719446289
ACH-000788,-0.208695461741
ACH-000791,-0.228384006708
ACH-000792,-0.268413833219
ACH-000794,-0.476326925595
ACH-000796,-0.19174671686
ACH-000799,-0.363364443371
ACH-000800,-0.170861308606
ACH-000802,-0.27741172630600003
ACH-000804,-0.0565888049802
ACH-000805,-0.132776873476
ACH-000809,-0.25804040452599997
ACH-000810,-0.358972660876
ACH-000811,-0.398780624094
ACH-000817,-0.464306381699
ACH-000819,-0.14089612619300002
ACH-000820,-0.0501603582432
ACH-000821,-0.142990009526
ACH-000822,-0.346848952808
ACH-000823,-0.21387981278700002
ACH-000824,-0.08117926640380001
ACH-000827,-0.178708456937
ACH-000829,-0.22526999106999998
ACH-000831,-0.266895666817
ACH-000832,-0.282471541978
ACH-000833,-0.307577019379
