,CARNS1 (57571)
ACH-000004,0.0180175185698
ACH-000007,-0.118480854959
ACH-000009,-0.0542378554012
ACH-000011,-0.0994750517154
ACH-000012,-0.299869482872
ACH-000013,-0.167245349305
ACH-000014,-0.00230657615453
ACH-000015,-0.0684957336012
ACH-000017,-0.0853470152816
ACH-000018,0.014663444290000001
ACH-000019,-0.387007165527
ACH-000021,-0.22167500734700002
ACH-000022,-0.20722677192299999
ACH-000025,0.0395367925395
ACH-000028,-0.251247236132
ACH-000030,-0.104256806998
ACH-000035,0.017278822703099998
ACH-000036,-0.273046125141
ACH-000037,-0.230382311157
ACH-000039,-0.496641337116
ACH-000040,-0.273380641739
ACH-000041,-0.174131340663
ACH-000042,-0.260919227859
ACH-000045,-0.153246041776
ACH-000047,-0.122967174668
ACH-000052,0.149385538863
ACH-000053,-0.134710752262
ACH-000054,-0.124866207145
ACH-000055,0.12203409722400001
ACH-000060,-0.200938272816
ACH-000067,0.10050869044399999
ACH-000070,-0.00497432919501
ACH-000075,-0.345942320036
ACH-000078,-0.150752919782
ACH-000082,-0.161430628721
ACH-000085,-0.211053894035
ACH-000086,-0.126616244055
ACH-000087,-0.00988463414749
ACH-000092,-0.16448408202099998
ACH-000095,-0.148652382811
ACH-000097,-0.12130939502900001
ACH-000098,-0.0839453073302
ACH-000099,-0.06532467132969999
ACH-000108,-0.133689819071
ACH-000113,-0.244054291628
ACH-000115,-0.425387588401
ACH-000116,-0.362266316812
ACH-000118,-0.188757121123
ACH-000120,-0.161482517248
ACH-000123,-0.0321028000838
ACH-000127,-0.15538776124700002
ACH-000128,-0.041610385396599996
ACH-000132,-0.331081826049
ACH-000133,-0.18577757474800002
ACH-000137,-0.171791811383
ACH-000138,-0.235204848369
ACH-000142,-0.0404162367346
ACH-000143,-0.143222271488
ACH-000146,-0.0352978854608
ACH-000148,-0.21921422662599999
ACH-000150,-0.140680985532
ACH-000152,-0.17150343003899998
ACH-000153,-0.490003369719
ACH-000159,-0.045970869111699994
ACH-000160,-0.678281495843
ACH-000163,-0.0834758089515
ACH-000167,-0.12468101157
ACH-000168,-0.243754911077
ACH-000169,-0.173137377862
ACH-000178,-0.201245230592
ACH-000182,-0.0187076985855
ACH-000183,-0.294970472333
ACH-000188,-0.44838650284299997
ACH-000189,4.11291545724e-05
ACH-000190,0.0279128395021
ACH-000198,-0.0644545822002
ACH-000204,-2.80723265941e-06
ACH-000206,-0.40348223139399997
ACH-000207,-0.25980974583
ACH-000211,-0.0456531223944
ACH-000215,-0.279143617912
ACH-000221,-0.0967393696722
ACH-000222,-0.10803328613299999
ACH-000223,-0.205326418964
ACH-000226,-0.0934850949109
ACH-000227,-0.050259762666999996
ACH-000228,-0.20686189643
ACH-000231,-0.18069593078600002
ACH-000232,-0.131796190556
ACH-000233,-0.16487079806500002
ACH-000234,0.025891425942099998
ACH-000235,-0.26970993508499996
ACH-000237,-0.17240954681600001
ACH-000238,-0.17446072627700002
ACH-000243,-0.126424310677
ACH-000244,-0.47347097064599997
ACH-000246,-0.25712660359
ACH-000248,0.056901379562999996
ACH-000250,-0.139220819436
ACH-000251,0.154660637195
ACH-000253,-0.24682305526700002
