,CST9L (128821)
ACH-000004,-0.0346087568935
ACH-000007,-0.134691476185
ACH-000009,-0.0198412021508
ACH-000011,-0.0005553762512999999
ACH-000012,0.0450928448716
ACH-000013,0.047841880286400004
ACH-000014,0.013382422093100001
ACH-000015,0.0739030141394
ACH-000017,0.0581135503896
ACH-000018,0.215358184817
ACH-000019,-0.08877821662879999
ACH-000021,0.0624232173829
ACH-000022,0.112562798889
ACH-000025,0.03678699886509999
ACH-000028,0.00925466717459
ACH-000030,0.0978386178084
ACH-000035,-0.254560259969
ACH-000036,-0.122921108739
ACH-000037,-0.123912728528
ACH-000039,-0.0905446644598
ACH-000040,0.00602807059045
ACH-000041,0.19871261215
ACH-000042,0.0341270471879
ACH-000045,0.00249467106787
ACH-000047,0.0643654234069
ACH-000052,-0.0333349571699
ACH-000053,0.0934641649189
ACH-000054,0.0764435510283
ACH-000055,0.120959917933
ACH-000060,0.22756399633000002
ACH-000067,-0.179265281189
ACH-000070,0.0223506945989
ACH-000075,0.011284530063700001
ACH-000078,0.22784295923
ACH-000082,0.13811251259500001
ACH-000085,-0.0698133875133
ACH-000086,0.030432481574499997
ACH-000087,0.241358918994
ACH-000092,-0.0035626839954699995
ACH-000095,0.0219653030456
ACH-000097,-0.0270557325313
ACH-000098,-0.108654152971
ACH-000099,0.06421040047519999
ACH-000108,0.13831820042600002
ACH-000113,0.011602007431600002
ACH-000115,-0.305675481025
ACH-000116,0.0651163942012
ACH-000118,-0.0650525549351
ACH-000120,0.0714604266768
ACH-000123,-0.00373425362358
ACH-000127,0.00589812002291
ACH-000128,0.109575549179
ACH-000132,0.136049392981
ACH-000133,0.09038961801239999
ACH-000137,-0.06844856344269999
ACH-000138,0.0786119831189
ACH-000142,0.21008251630999997
ACH-000143,0.224656237251
ACH-000146,0.000988581273673
ACH-000148,0.061696061449499996
ACH-000150,-0.0198138982825
ACH-000152,-0.0380422146074
ACH-000153,-0.003936878796840001
ACH-000159,0.188082527548
ACH-000160,-0.141259615384
ACH-000163,0.178594011666
ACH-000167,-0.07911877788660002
ACH-000168,0.143953475016
ACH-000169,-0.0301425916591
ACH-000178,0.083740486222
ACH-000182,-0.18303642453400001
ACH-000183,0.149418008164
ACH-000188,0.12317641139699999
ACH-000189,0.0754316393851
ACH-000190,-0.008433678179359999
ACH-000198,0.126269060463
ACH-000204,0.134198436043
ACH-000206,0.12619502494
ACH-000207,0.368975857224
ACH-000211,0.0914795741195
ACH-000215,-0.0429088465644
ACH-000221,0.22581513216899998
ACH-000222,-0.006458469306929999
ACH-000223,0.120715637637
ACH-000226,0.0619893953044
ACH-000227,0.0185624313481
ACH-000228,-0.0601536520858
ACH-000231,0.152820402335
ACH-000232,0.109782636659
