,FA2H (79152)
ACH-000004,-0.048646687342499995
ACH-000007,-0.339088932892
ACH-000009,-0.0203645943452
ACH-000011,-0.33252579408300004
ACH-000012,-0.22668290629700003
ACH-000013,-0.27451308663699997
ACH-000014,-0.304087257563
ACH-000015,-0.174756904771
ACH-000017,-0.18020695022100003
ACH-000018,-0.12540520734000002
ACH-000019,0.019658442360200003
ACH-000021,-0.186864116444
ACH-000022,-0.08034003804619999
ACH-000025,-0.302113231904
ACH-000028,-0.0633983181331
ACH-000030,-0.125135271146
ACH-000035,-0.314767499968
ACH-000036,-0.198418977381
ACH-000037,-0.330423015317
ACH-000039,-0.32679319153
ACH-000040,-0.111839282975
ACH-000041,0.0068885002390299994
ACH-000042,-0.273760349526
ACH-000045,-0.29077528852699996
ACH-000047,-0.135731900129
ACH-000052,0.0312402956636
ACH-000053,-0.217392039353
ACH-000054,-0.119633263656
ACH-000055,-0.0782142339376
ACH-000060,-0.18062384102499998
ACH-000067,-0.150603587708
ACH-000070,-0.0483588746168
ACH-000075,-0.22129690376999997
ACH-000078,-0.161631271011
ACH-000082,-0.125629700352
ACH-000085,-0.345018021545
ACH-000086,-0.22233387124200002
ACH-000087,0.068457798008
ACH-000092,0.044080011732800004
ACH-000095,-0.193380568741
ACH-000097,-0.16839300900499998
ACH-000098,-0.371768161598
ACH-000099,-0.176707211236
ACH-000108,-0.23536149373100002
ACH-000113,-0.20224792616300002
ACH-000115,-0.12612496815500002
ACH-000116,-0.12736790345000001
ACH-000118,-0.19938091920899997
ACH-000120,-0.229180020988
ACH-000123,-0.035415371027300004
ACH-000127,-0.264127954544
ACH-000128,-0.0163359429741
ACH-000132,-0.279953673481
ACH-000133,-0.293525330739
ACH-000137,-0.0743222216382
ACH-000138,-0.290684556172
ACH-000142,-0.286182885835
ACH-000143,-0.10856570193600001
ACH-000146,-0.16875782258299998
ACH-000148,-0.133722581249
ACH-000150,0.00897000235941
ACH-000152,-0.297403282235
ACH-000153,-0.159592573451
ACH-000159,-0.111740179961
ACH-000160,0.007159148080020001
ACH-000163,-0.17092353571899999
ACH-000167,0.30842816780099996
ACH-000168,0.015363830565899999
ACH-000169,-0.156941033208
ACH-000178,-0.113281978046
ACH-000182,-0.266250039593
ACH-000183,-0.20249392635299998
ACH-000188,-0.116030267624
ACH-000189,0.05866683917669999
ACH-000190,-0.304358653483
ACH-000198,-0.11479981544500001
ACH-000204,-0.33723523741800004
ACH-000206,-0.0705245362113
ACH-000207,-0.24118616947500002
ACH-000211,-0.12591983480799998
ACH-000215,-0.20275094983800002
