,EPHB2 (2048)
ACH-000004,-0.0924534782683
ACH-000007,0.0963810068699
ACH-000009,-0.0294052028284
ACH-000011,0.016182033086700003
ACH-000012,-0.0155828490899
ACH-000013,-0.046054768949699995
ACH-000014,-0.208193249652
ACH-000015,0.0542716670001
ACH-000017,-0.0289865319995
ACH-000018,-0.144108445435
ACH-000019,0.0129433958914
ACH-000021,0.0386478225786
ACH-000022,-0.0068833245236600005
ACH-000025,0.17182123444400002
ACH-000028,0.127874859437
ACH-000030,0.0670569832728
ACH-000035,-0.08777915260579999
ACH-000036,-0.07375854001519999
ACH-000037,-0.0124308260659
ACH-000039,-0.09924657728460001
ACH-000040,-0.050239765783799996
ACH-000041,-0.0110544897945
ACH-000042,0.180343389357
ACH-000045,-0.123500190098
ACH-000047,0.180812484038
ACH-000052,0.0331052386422
ACH-000053,0.00589028480333
ACH-000054,-0.0522843825076
ACH-000055,0.039696824940499996
ACH-000060,-0.071240912698
ACH-000067,0.010640710260799999
ACH-000070,0.0827761962695
ACH-000075,0.378020561234
ACH-000078,0.061373078353199995
ACH-000082,-0.0248108082835
ACH-000085,-0.17109498964699998
ACH-000086,0.0298646776956
ACH-000087,-0.121675212904
ACH-000092,-0.17312515974599998
ACH-000095,-0.009139622195110001
ACH-000097,-0.10745039689000001
ACH-000098,0.07928026830580001
ACH-000099,-0.030525141650900003
ACH-000108,-0.039384621765
ACH-000113,-0.026044661740500002
ACH-000115,-0.114188188337
ACH-000116,0.06790458127019999
ACH-000118,0.154647359072
ACH-000120,-0.139554062203
ACH-000123,0.178712645115
ACH-000127,0.00937786160293
ACH-000128,-0.13255000275
ACH-000132,0.165991673803
ACH-000133,0.11031551005000001
ACH-000137,-0.044109580385499995
ACH-000138,0.111174229159
ACH-000142,0.030931207387099997
ACH-000143,0.154580009357
ACH-000146,0.000431756786786
ACH-000148,0.172928160457
ACH-000150,-0.08300177091
ACH-000152,-0.0424158724931
ACH-000153,-0.108243490897
ACH-000159,0.046854334727600006
ACH-000160,-0.0404365518134
ACH-000163,0.128743724611
ACH-000167,-0.005052167221
ACH-000168,-0.0311744574435
ACH-000169,-0.0684114161433
ACH-000178,0.029412111920599997
ACH-000182,0.20382369968800002
ACH-000183,0.00013895283965399997
ACH-000188,0.14768066296399998
ACH-000189,-0.0728035881939
ACH-000190,0.054194898056300005
ACH-000198,-0.038704256461199994
ACH-000204,-0.0714057514805
ACH-000206,-0.127707768967
ACH-000207,-0.0368199134014
ACH-000211,0.183492282698
ACH-000215,0.0356117134837
ACH-000221,-0.00976367896488
ACH-000222,-0.059154785417400005
ACH-000223,0.0929920246633
ACH-000226,0.0335149901292
ACH-000227,0.217280724439
ACH-000228,-0.0744672272447
ACH-000231,0.0628738363069
ACH-000232,0.0639780398239
ACH-000233,-0.059563866071
ACH-000234,-0.13384814622400001
ACH-000235,0.11224305094499999
ACH-000237,0.105050583956
ACH-000238,0.00132580262545
ACH-000243,0.0780428419418
ACH-000244,-0.108044498803
ACH-000246,-0.060208988806
ACH-000248,-0.0608031658929
ACH-000250,0.0468322008875
ACH-000251,0.19667317806499998
ACH-000253,0.14006927133199998
ACH-000255,0.0510572011013
ACH-000256,0.020541818887900003
ACH-000257,0.222472135491
ACH-000258,0.142453829314
ACH-000259,0.021852268290499997
ACH-000260,0.012395004561700002
ACH-000261,-0.0131309614029
ACH-000262,0.10209320464600001
ACH-000263,-0.353986027405
ACH-000264,0.023835762344599998
ACH-000265,0.105757912961
ACH-000266,0.120514408344
ACH-000272,0.0786922912362
ACH-000273,-0.0848856560712
ACH-000274,-0.07952876449730001
ACH-000277,0.188966900575
ACH-000278,0.153886095827
ACH-000279,-0.08637697603610002
ACH-000280,-0.10895110259600001
ACH-000281,0.21688478305599998
ACH-000288,-0.163506420667
ACH-000291,0.0637471168278
ACH-000293,0.09365370858519999
ACH-000294,-0.0912394882067
ACH-000295,-0.150459460007
ACH-000296,0.11915520097200001
ACH-000302,-0.0514447120596
ACH-000304,-0.0506909387141
ACH-000307,0.044981115522699996
ACH-000308,0.109376922404
ACH-000310,-0.0363581351205
ACH-000311,0.137097641537
ACH-000312,-0.082156816998
ACH-000315,-0.162609952549
ACH-000316,0.0354373726485
ACH-000317,0.00807724186059
ACH-000318,-0.0603169530004
ACH-000319,-0.0266976139011
ACH-000320,0.0145310648855
ACH-000322,0.155726851429
ACH-000323,0.0322318190251
ACH-000324,0.21039430872499998
ACH-000329,-0.126482531786
ACH-000330,-0.0832141404408
ACH-000331,-0.0223249144045
ACH-000332,0.061755762111499996
ACH-000334,-0.0569604252689
ACH-000335,-0.010710141406900001
ACH-000336,0.112619771135
ACH-000337,0.20468770679499998
ACH-000339,0.073106078913
ACH-000341,-0.12242999265
ACH-000348,0.00665500690674
ACH-000350,0.11804952416799999
ACH-000352,0.0524853149989
ACH-000356,0.07593867784130001
ACH-000361,0.0349032324864
ACH-000362,-0.00596953914182
ACH-000363,-0.0229512151683
ACH-000364,-0.124381049965
ACH-000365,-0.11840686779100001
ACH-000366,0.0374530177526
ACH-000368,0.042154969785199996
ACH-000374,0.0696351056047
ACH-000375,0.0135810174141
ACH-000376,-0.0869234732989
ACH-000381,-0.0608058199572
ACH-000383,-0.0636715094895
ACH-000387,-0.036131599861300004
ACH-000389,0.41155526276999993
ACH-000390,0.018974166491099998
ACH-000393,0.022192082217900002
ACH-000395,-0.18424051164299998
ACH-000397,0.115408988507
ACH-000401,0.12645887724500002
ACH-000402,-0.17120891224399998
ACH-000403,0.0730582374682
ACH-000404,0.230739953792
ACH-000406,-0.0518548391358
ACH-000407,-0.102429866692
ACH-000408,0.082031502173
ACH-000410,0.105381611394
ACH-000411,-0.000787627684297
ACH-000414,0.104767463889
ACH-000415,-0.0245302374837
ACH-000416,-0.0164724438458
ACH-000420,0.106761435871
ACH-000421,0.154692705746
ACH-000424,-0.0340863160376
ACH-000425,0.00309689721001
ACH-000426,-0.10313119609999999
ACH-000427,0.131206702442
ACH-000433,0.207642700344
ACH-000436,-0.0153498982735
ACH-000444,0.10006550416200001
ACH-000445,0.103420481851
ACH-000448,0.048408120173300005
ACH-000450,-0.16483760459000002
ACH-000452,0.07094925253880001
ACH-000454,0.0387168582317
ACH-000458,-0.07159442684810001
ACH-000459,0.280564732823
ACH-000460,0.149749685644
ACH-000461,-0.0277224158415
ACH-000463,0.08115998779660001
ACH-000464,0.00209325513809
ACH-000466,0.09469296285060001
ACH-000467,-0.116556579705
ACH-000468,-0.20930972097199999
ACH-000469,0.0733380046276
ACH-000470,-0.011742752250999999
ACH-000471,0.08773241108999999
ACH-000472,-0.0487731884561
ACH-000473,0.182560914923
ACH-000475,0.0021696308900100002
ACH-000476,-0.0795907103033
ACH-000477,-0.121129923783
ACH-000480,0.164271034791
ACH-000481,-0.0829107134442
ACH-000483,-0.060021965252300004
ACH-000484,-0.260722396749
ACH-000485,-0.050808519369
ACH-000486,0.0197696621472
ACH-000487,-0.17283792099599998
ACH-000488,0.0435465992866
ACH-000490,-0.092106465883
ACH-000491,-0.121829467941
ACH-000495,-0.242558757405
ACH-000496,0.012667301489600002
ACH-000499,0.00106952413799
ACH-000500,-0.0268361214033
ACH-000502,0.00402366809196
ACH-000503,0.246514209518
ACH-000505,0.0317223696405
ACH-000507,0.18431993004500002
ACH-000510,0.09450612193289999
ACH-000511,-0.0921539029491
ACH-000512,-0.26919817838300003
ACH-000516,0.108629059569
ACH-000517,0.0338470229715
ACH-000518,-0.110408455468
ACH-000520,-0.168141377106
ACH-000521,-0.218306500377
ACH-000522,0.00417256059082
ACH-000524,0.0454240445136
ACH-000527,0.145715823315
ACH-000528,0.122158062595
ACH-000537,0.0138209198523
ACH-000541,-0.18698494056099998
ACH-000542,0.117186212468
ACH-000544,-0.060687894686000006
ACH-000545,0.2203025925
ACH-000547,-0.061619105271300004
ACH-000548,0.0377323019656
ACH-000549,0.0896277909506
ACH-000550,-0.140926975615
ACH-000552,-0.10163616716
ACH-000556,0.09395972258749999
ACH-000557,-0.234669375633
ACH-000570,0.145116618977
ACH-000571,-0.050670910730099994
ACH-000573,0.0252788973958
ACH-000576,-0.21553696404800002
ACH-000580,-0.0328081336535
ACH-000584,0.0448195148936
ACH-000585,0.08959235919839999
ACH-000588,-0.022529937319700002
ACH-000589,0.0536836841144
ACH-000591,-0.07102513108689999
ACH-000593,-0.00143932218501
ACH-000600,0.133815133528
ACH-000601,0.150532470069
ACH-000604,0.161507917025
ACH-000605,-0.149859753952
ACH-000606,-0.0176083106617
ACH-000608,-0.0326813545487
ACH-000614,0.130167567125
ACH-000616,-0.0630444881948
ACH-000618,0.0337002293918
ACH-000619,0.028967013460800002
ACH-000620,-0.06497495135879999
ACH-000621,-0.0131601183406
ACH-000622,-0.013446257581
ACH-000623,0.0754108293186
ACH-000624,0.0900656683121
ACH-000627,0.036722866230099994
ACH-000630,0.0916785131016
ACH-000632,-0.1771041898
ACH-000633,-0.138580764298
ACH-000637,-0.0523374131174
ACH-000638,0.0124435413965
ACH-000646,0.0778356607483
ACH-000647,0.06452859207219999
ACH-000648,0.23658593602400002
ACH-000649,0.0024613440249299998
ACH-000651,-0.0498453792815
ACH-000652,-0.0402096881102
ACH-000653,-0.00855019426408
ACH-000657,0.00577695053408
ACH-000658,0.00014965883868999999
ACH-000661,-0.0147281632037
ACH-000662,-0.199125848622
ACH-000663,0.170458342097
ACH-000665,-0.028978047996299997
ACH-000671,0.07279415603400001
ACH-000673,0.0141020172202
ACH-000676,0.016807716009599998
ACH-000677,0.110133477535
ACH-000681,-0.15105387354699998
ACH-000682,-0.011765113115999998
ACH-000683,-0.05624721893969999
ACH-000684,-0.0909604814917
ACH-000688,-0.038581190257699995
ACH-000693,0.14095639906
ACH-000694,0.016026751380799998
ACH-000695,0.021920083441900003
ACH-000696,0.0994222801174
ACH-000697,0.022756596436400003
ACH-000699,-0.137917827435
ACH-000701,0.0880747128079
ACH-000706,-0.11262516866399999
ACH-000711,0.08341934541460001
ACH-000713,-0.0417693798339
ACH-000714,-0.0702133216592
ACH-000718,0.18329017704199999
ACH-000720,-0.023482190817200002
ACH-000721,-0.158839623839
ACH-000724,0.26548488905400003
ACH-000725,-0.032356899147000004
ACH-000732,0.157850312587
ACH-000734,-0.040137570950099996
ACH-000735,0.044021903740600006
ACH-000736,0.114202141505
ACH-000738,0.0114751295016
ACH-000746,-0.0499134794577
ACH-000747,-0.0433503856869
ACH-000748,0.04414391669769999
ACH-000753,0.011599712052
ACH-000756,-0.00947854010286
ACH-000757,-0.10805022743899999
ACH-000758,0.178112800253
ACH-000760,-0.0375719317935
