,PHF5A (84844)
ACH-000004,-1.82952967167
ACH-000007,-1.6637013899000002
ACH-000009,-2.1440132873400004
ACH-000011,-1.54792434659
ACH-000012,-1.90597587845
ACH-000013,-1.8435520949200002
ACH-000014,-1.8878596882799998
ACH-000015,-1.9419267491999999
ACH-000017,-1.78940443512
ACH-000018,-1.63921404372
ACH-000019,-2.13297088061
ACH-000021,-1.8729395155900002
ACH-000022,-1.8988397174400002
ACH-000025,-1.66563823613
ACH-000028,-1.72041048292
ACH-000030,-1.72554788988
ACH-000035,-1.39361912245
ACH-000036,-1.99918510413
ACH-000037,-2.17390238862
ACH-000039,-1.90824175037
ACH-000040,-1.64400712051
ACH-000041,-1.65108459134
ACH-000042,-2.0238077529400003
ACH-000045,-1.8702334492299997
ACH-000047,-1.71800796784
ACH-000052,-1.69818329663
ACH-000053,-1.922479211
ACH-000054,-1.4947389614700002
ACH-000055,-1.8239351267
ACH-000060,-1.8616242389700002
ACH-000067,-1.5670933298199998
ACH-000070,-1.9646510402700001
ACH-000075,-1.8074284589200003
ACH-000078,-2.08223172141
ACH-000082,-1.61010886003
ACH-000085,-1.9830986592200002
ACH-000086,-1.7038919997100002
ACH-000087,-1.7526784770400003
ACH-000092,-1.7988897632900003
ACH-000095,-2.1941222423099997
ACH-000097,-2.00954782137
ACH-000098,-1.8096655954799998
ACH-000099,-2.1399077755400002
ACH-000108,-1.63202463004
ACH-000113,-1.79394339255
ACH-000115,-2.75475415992
ACH-000116,-1.5519544060400001
ACH-000118,-1.62437538217
ACH-000120,-1.66202729839
ACH-000123,-1.8779512384900001
ACH-000127,-1.88767343414
ACH-000128,-1.99136688155
ACH-000132,-1.8647057141999999
ACH-000133,-1.6717573716
ACH-000137,-1.55549709884
ACH-000138,-1.8192399341099998
ACH-000142,-1.7400295680400002
ACH-000143,-1.86106465366
ACH-000146,-2.08798236741
ACH-000148,-1.7973819609400001
ACH-000150,-1.7240647926599997
ACH-000152,-1.55573536421
ACH-000153,-1.76259379604
ACH-000159,-2.00190817775
ACH-000160,-1.58440624135
ACH-000163,-1.48428830693
ACH-000167,-1.56916440695
ACH-000168,-1.8127300766
ACH-000169,-1.6771697092200002
ACH-000178,-1.77717031035
ACH-000182,-1.9215595417700002
ACH-000183,-1.88204929093
ACH-000188,-1.80333131521
ACH-000189,-1.5153078563100002
ACH-000190,-0.9122128689229999
ACH-000198,-2.03635980469
ACH-000204,-1.7283939169599998
ACH-000206,-2.0665805862099997
ACH-000207,-1.65813606584
ACH-000211,-1.71941990224
ACH-000215,-1.94208106574
ACH-000221,-1.9492081998099997
ACH-000222,-1.8471899482700003
ACH-000223,-2.00429909697
ACH-000226,-1.8778123692700002
ACH-000227,-1.9100664838699999
ACH-000228,-1.72380391867
ACH-000231,-1.8275815046700001
ACH-000232,-1.85405694509
ACH-000233,-1.91848326311
ACH-000234,-1.32455293982
ACH-000235,-1.7921259650999999
ACH-000237,-1.57062868491
ACH-000238,-1.7335756113799998
ACH-000243,-1.6831828583500001
ACH-000244,-1.75772605488
ACH-000246,-1.6400837335299998
ACH-000248,-1.6329448369
ACH-000250,-1.72099098928
ACH-000251,-1.68503756662
ACH-000253,-1.69968102666
ACH-000255,-1.4177010599200002
ACH-000256,-2.0701339393200002
ACH-000257,-2.14768577782
ACH-000258,-1.73744512667
ACH-000259,-1.75482127926
ACH-000260,-1.7767925013499999
ACH-000261,-1.6533159839700002
ACH-000262,-1.41840334785
ACH-000263,-1.85714752474
ACH-000264,-2.0665004645200002
ACH-000265,-1.7454155804299998
ACH-000266,-1.7317639393400002
ACH-000272,-1.75942764276
ACH-000273,-1.70932052038
ACH-000274,-2.0098386895400004
ACH-000277,-1.93945480908
ACH-000278,-1.6020142669400002
ACH-000279,-2.04088906023
ACH-000280,-1.89312037877
