,PIGY (84992)
ACH-000004,-0.0195587536163
ACH-000007,0.06277257016110001
ACH-000009,-0.113816204188
ACH-000011,-0.33757321511
ACH-000012,-0.136189160655
ACH-000013,-0.155003045367
ACH-000014,-0.08351560581619999
ACH-000015,-0.253902571156
ACH-000017,-0.186463660839
ACH-000018,0.106346853314
ACH-000019,-0.10969871625600001
ACH-000021,-0.1824945824
ACH-000022,-0.11954899142400001
ACH-000025,-0.309168728115
ACH-000028,-0.0658175249023
ACH-000030,-0.186796456838
ACH-000035,-0.303866668883
ACH-000036,-0.0653889684637
ACH-000037,-0.234488999594
ACH-000039,-0.469819029721
ACH-000040,-0.19724592114599998
ACH-000041,-0.19792059735
ACH-000042,-0.175697340294
ACH-000045,0.027404057382400003
ACH-000047,-0.419520962852
ACH-000052,-0.23637636372600002
ACH-000053,0.0333873184497
ACH-000054,0.00339740797001
ACH-000055,-0.37136465365500004
ACH-000060,-0.226143430939
ACH-000067,-0.11749994904899999
ACH-000070,-0.369946780469
ACH-000075,-0.6212730912100001
ACH-000078,-0.254908081325
ACH-000082,-0.403817367833
ACH-000085,-0.169962945062
ACH-000086,-0.057037142296199994
ACH-000087,0.0035012923923200003
ACH-000092,-0.20277676098900002
ACH-000095,-0.24046049866500002
ACH-000097,-0.176788653715
ACH-000098,-0.321635189155
ACH-000099,-0.338724047994
ACH-000108,-0.0959266741607
ACH-000113,-0.12404678328299999
ACH-000115,-0.031785977052
ACH-000116,-0.135506512158
ACH-000118,-0.207180508769
ACH-000120,-0.0196356015391
ACH-000123,-0.38767157615000003
ACH-000127,-0.23034957335200001
ACH-000128,-0.245221652591
ACH-000132,-0.191027958503
ACH-000133,-0.153779283451
ACH-000137,-0.214442876116
ACH-000138,-0.0509321240267
ACH-000142,-0.291363566173
ACH-000143,-0.30043625963799997
ACH-000146,-0.242098688988
ACH-000148,-0.321871614212
ACH-000150,-0.112499696169
ACH-000152,-0.268185755362
ACH-000153,-0.405978338536
ACH-000159,-0.251819650231
ACH-000160,-0.26513104653
ACH-000163,0.0207650154792
ACH-000167,-0.254846617572
ACH-000168,0.0356443003905
ACH-000169,-0.233671356433
ACH-000178,-0.195325232716
ACH-000182,-0.16042172182
ACH-000183,-0.09898225694060002
ACH-000188,-0.186487389531
ACH-000189,-0.12819274489
ACH-000190,-0.0769368483151
ACH-000198,-0.009468577606700002
ACH-000204,0.202786142357
ACH-000206,0.07789657306560001
ACH-000207,-0.042302813633199994
ACH-000211,-0.32094124254
ACH-000215,-0.08021292056089999
ACH-000221,-0.358050524142
ACH-000222,-0.42412058636100003
ACH-000223,-0.266252930311
ACH-000226,-0.147309871404
ACH-000227,-0.352921884718
ACH-000228,-0.10570431581
ACH-000231,-0.218771360931
ACH-000232,-0.09286876218939999
ACH-000233,0.000875577536637
ACH-000234,-0.26985073404599996
ACH-000235,-0.193239420731
ACH-000237,-0.155871860107
ACH-000238,-0.0069663634317299996
ACH-000243,-0.39024503645099995
ACH-000244,-0.206614125769
ACH-000246,-0.07198508964610001
ACH-000248,-0.294185249097
ACH-000250,-0.160017664233
ACH-000251,-0.100629481198
ACH-000253,-0.133439313293
ACH-000255,0.07063241296239998
ACH-000256,0.0334366175654
ACH-000257,-0.54782453382
ACH-000258,-0.393269355677
ACH-000259,-0.22896930030699997
ACH-000260,-0.255169692831
ACH-000261,-0.129928830287
ACH-000262,-0.0566769118987
ACH-000263,0.173364675356
ACH-000264,-0.17885511925900002
ACH-000265,-0.363947763887
ACH-000266,-0.250678195951
ACH-000272,-0.52452820141
ACH-000273,-0.421667583193
ACH-000274,-0.127306255304
ACH-000277,-0.20272088304900002
ACH-000278,-0.128262312282
ACH-000279,-0.128653994971
ACH-000280,-0.053724007879900004
ACH-000281,-0.32564725028999997
ACH-000288,-0.057355386944000004
ACH-000291,-0.228112177742
ACH-000293,-0.192260472607
ACH-000294,0.0384357461602
ACH-000295,0.0006747172686519999
ACH-000296,-0.268555536404
ACH-000302,-0.161761488241
ACH-000304,-0.201526591067
ACH-000307,-0.23203472241300002
ACH-000308,-0.191747047669
ACH-000310,-0.25541994060199996
ACH-000311,-0.435751595591
ACH-000312,-0.160196669442
ACH-000315,-0.0144549990928
ACH-000316,-0.193988159637
ACH-000317,-0.057230260657
ACH-000318,-0.0488673146421
ACH-000319,-0.34467526327
ACH-000320,-0.064209619231
ACH-000322,0.00369136834879
ACH-000323,-0.012505854424900001
ACH-000324,-0.21924908502700002
ACH-000329,-0.17756575474599998
ACH-000330,-0.249501265209
ACH-000331,-0.277466076328
ACH-000332,-0.226575127885
ACH-000334,-0.0147225004315
ACH-000335,0.137242674191
ACH-000336,0.211761239683
ACH-000337,-0.20412473597300002
ACH-000339,-0.22225703246300002
ACH-000341,-0.13457610157299998
ACH-000348,-0.20496713957899998
ACH-000350,-0.275222245984
ACH-000352,0.0608512987047
ACH-000356,-0.39598109993299996
ACH-000361,-0.202331321835
ACH-000362,-0.12307415134199999
ACH-000363,-0.137103090024
ACH-000364,-0.106701224627
ACH-000365,-0.25096079390799997
ACH-000366,-0.26765735191999995
ACH-000368,0.0326865578128
ACH-000374,-0.12291174126700001
ACH-000375,-0.300636228424
