,MZB1 (51237)
ACH-000004,-0.0862352810409
ACH-000007,0.00727514696196
ACH-000009,-0.128706921394
ACH-000011,-0.0350315625098
ACH-000012,-0.0748058874319
ACH-000013,-0.248004555431
ACH-000014,-0.169250832416
ACH-000015,-0.231748338136
ACH-000017,-0.0070501022478299995
ACH-000018,-0.253919631216
ACH-000019,-0.20996926290800003
ACH-000021,-0.156115436457
ACH-000022,-0.165618451196
ACH-000025,-0.12317726151799999
ACH-000028,-0.267738519219
ACH-000030,-0.0529819917739
ACH-000035,-0.16749966775699998
ACH-000036,-0.0976275675349
ACH-000037,-0.413653581444
ACH-000039,-0.188743172043
ACH-000040,-0.280927473085
ACH-000041,-0.269616044861
ACH-000042,-0.139901430603
ACH-000045,-0.12559962460899998
ACH-000047,-0.231304613956
ACH-000052,-0.0653420010446
ACH-000053,-0.00198949375989
ACH-000054,-0.0467525662555
ACH-000055,-0.386450683543
ACH-000060,-0.10266186976700001
ACH-000067,-0.18143376248
ACH-000070,-0.06893614537250001
ACH-000075,-0.0790219956028
ACH-000078,-0.18541534712000002
ACH-000082,-0.182724854166
ACH-000085,-0.329013573527
ACH-000086,-0.09056331652510001
ACH-000087,-0.406703124086
ACH-000092,-0.0729657490014
ACH-000095,-0.142912559219
ACH-000097,-0.0942505284327
ACH-000098,-0.18235189595100001
ACH-000099,-0.19959507433600002
ACH-000108,-0.37140738273900004
ACH-000113,-0.0912721927727
ACH-000115,0.15376953020700002
ACH-000116,-0.158516396028
ACH-000118,-0.036815660023400004
ACH-000120,-0.16220966784000002
ACH-000123,0.019327639927599997
ACH-000127,-0.0331324924012
ACH-000128,-0.10208358667000002
ACH-000132,-0.338603598726
ACH-000133,-0.163166718451
ACH-000137,-0.0936746963057
ACH-000138,-0.0819282393181
ACH-000142,-0.208946235352
ACH-000143,-0.123762166347
ACH-000146,-0.171194063951
ACH-000148,-0.262073162849
ACH-000150,-0.16013906611300002
ACH-000152,-0.106593375197
ACH-000153,-0.149295910848
ACH-000159,-0.13778123399
ACH-000160,0.037960389922
ACH-000163,-0.181723695805
ACH-000167,-0.234860399316
ACH-000168,-0.20886143320999997
ACH-000169,-0.269693620627
ACH-000178,-0.127319903908
ACH-000182,-0.0948511126988
ACH-000183,0.0449988289986
ACH-000188,-0.26269453227899997
ACH-000189,-0.16858063013900002
ACH-000190,-0.2288410744
ACH-000198,0.11504103149900001
ACH-000204,-0.355157533257
ACH-000206,-0.300234816084
ACH-000207,0.137574792833
ACH-000211,-0.163642064881
ACH-000215,-0.025074303325000002
ACH-000221,-0.06401781508219999
ACH-000222,-0.0978490260948
ACH-000223,-0.159070255385
ACH-000226,-0.353554823476
ACH-000227,-0.21520259295699998
ACH-000228,-0.07865458964460001
ACH-000231,-0.265661500743
ACH-000232,-0.301659954061
ACH-000233,-0.34638848286300006
ACH-000234,-0.142000796423
ACH-000235,-0.07703463733810001
ACH-000237,-0.133165386914
ACH-000238,-0.25175690059
ACH-000243,-0.202255311983
ACH-000244,-0.168877177848
ACH-000246,-0.20289966146
ACH-000248,-0.202835727333
ACH-000250,-0.213416607502
ACH-000251,-0.18161730822299998
ACH-000253,-0.153730369548
ACH-000255,-0.33729135587
ACH-000256,-0.00126447306908
ACH-000257,-0.28541601318000004
ACH-000258,-0.19816845649999998
ACH-000259,-0.193196066224
ACH-000260,-0.0409365508682
ACH-000261,-0.149808741814
ACH-000262,0.11683603179400001
ACH-000263,0.622306828899
ACH-000264,-0.13367473299799998
ACH-000265,-0.17072727149
ACH-000266,-0.228363406135
ACH-000272,-0.254510047397
ACH-000273,-0.286586986455
ACH-000274,-0.310002243408
ACH-000277,-0.23496580201499997
ACH-000278,-0.0357792825335
ACH-000279,-0.301070447938
ACH-000280,-0.049679397180199994
ACH-000281,-0.142816241126
ACH-000288,-0.137300915694
ACH-000291,-0.216910829113
ACH-000293,-0.07402042111660001
ACH-000294,-0.040880859049400003
ACH-000295,-0.38739540613300005
ACH-000296,-0.0242153285278
ACH-000302,-0.106522467873
ACH-000304,-0.259592569017
ACH-000307,-0.17874864603
ACH-000308,-0.0975260518637
ACH-000310,0.031008843057300003
ACH-000311,-0.028190197647899998
ACH-000312,-0.221348444681
ACH-000315,-0.21210655114500002
ACH-000316,-0.125233846318
ACH-000317,-0.0430941935436
ACH-000318,-0.0475363425423
