,EIF3A (8661)
ACH-000004,-1.55876564651
ACH-000007,-1.53812587761
ACH-000009,-1.81608272941
ACH-000011,-1.4273732219100002
ACH-000012,-1.68402603357
ACH-000013,-1.55100639551
ACH-000014,-1.72116701334
ACH-000015,-1.60032266459
ACH-000017,-1.53365245779
ACH-000018,-1.44051045151
ACH-000019,-1.59892680593
ACH-000021,-1.46830539463
ACH-000022,-1.72051247104
ACH-000025,-1.46202204349
ACH-000028,-1.61084987507
ACH-000030,-1.73445092433
ACH-000035,-1.33421126545
ACH-000036,-1.5876887353100002
ACH-000037,-1.95657601292
ACH-000039,-1.9510340029799997
ACH-000040,-1.43175978276
ACH-000041,-1.78823647322
ACH-000042,-1.7871012740799999
ACH-000045,-1.71660419478
ACH-000047,-1.44312216737
ACH-000052,-1.58088373678
ACH-000053,-1.71420725988
ACH-000054,-1.6770352011399998
ACH-000055,-1.57834636619
ACH-000060,-1.3239651217
ACH-000067,-1.47187629813
ACH-000070,-1.7324219002599999
ACH-000075,-1.58976406227
ACH-000078,-1.82936533567
ACH-000082,-1.6912992546
ACH-000085,-1.38286821815
ACH-000086,-1.45948020523
ACH-000087,-1.5422438515099999
ACH-000092,-1.5086808578400002
ACH-000095,-1.61681130435
ACH-000097,-1.66020976565
ACH-000098,-1.5568783233599999
ACH-000099,-1.7294841901900002
ACH-000108,-1.36378303959
ACH-000113,-1.84263339617
ACH-000115,-2.2675894808000003
ACH-000116,-1.4613043050499999
ACH-000118,-1.4747613264
ACH-000120,-1.50396720583
ACH-000123,-1.6514606524000002
ACH-000127,-1.7845330919599998
ACH-000128,-1.61163114899
ACH-000132,-1.7827377836900002
ACH-000133,-1.45889172668
ACH-000137,-1.38720188104
ACH-000138,-1.56995018454
ACH-000142,-1.48654242333
ACH-000143,-1.6049085422299998
ACH-000146,-1.6709888261
ACH-000148,-1.46254551505
ACH-000150,-1.33421347691
ACH-000152,-1.63382937636
ACH-000153,-1.6370805239
ACH-000159,-1.6419606109399998
ACH-000160,-1.64220909674
ACH-000163,-1.52576361369
ACH-000167,-1.68958053826
ACH-000168,-1.3090826995
ACH-000169,-1.49405091847
ACH-000178,-1.5101368521599998
ACH-000182,-1.57319305436
ACH-000183,-1.38745213521
ACH-000188,-1.51768685815
ACH-000189,-1.3067534889399999
ACH-000190,-1.93231772692
ACH-000198,-1.39914613309
ACH-000204,-1.62880134945
ACH-000206,-1.6008962224799999
ACH-000207,-1.51001778553
ACH-000211,-1.6866765311
ACH-000215,-1.73454406787
ACH-000221,-1.46587681065
ACH-000222,-1.55850696139
ACH-000223,-1.860131103
ACH-000226,-1.6226894848700002
ACH-000227,-2.27536310177
ACH-000228,-1.27149479264
ACH-000231,-1.45531553162
