,CACNA1D (776)
ACH-000004,0.0965700177118
ACH-000007,-0.04600994358109999
ACH-000009,-0.120302157207
ACH-000011,0.207501253508
ACH-000012,-0.124967433197
ACH-000013,-0.00841576777122
ACH-000014,-0.27742299494899997
ACH-000015,-0.19663450390999998
ACH-000017,0.024868661414799997
ACH-000018,0.040627403671800004
ACH-000019,0.173913778007
ACH-000021,-0.0274340736534
ACH-000022,-0.022011727810299996
ACH-000025,-0.118729319347
ACH-000028,-0.0685176722258
ACH-000030,-0.00728118534308
ACH-000035,0.06405539926609999
ACH-000036,-0.0337243236639
ACH-000037,0.15441218211899999
ACH-000039,-0.006251678927109999
ACH-000040,-0.17052093889000003
ACH-000041,-0.018757542797700002
ACH-000042,-0.052574953322999995
ACH-000045,0.020212272504
ACH-000047,-0.0417268408454
ACH-000052,-0.15407626164899998
ACH-000053,-0.0763927586933
ACH-000054,-0.163652448167
ACH-000055,-0.08640689679539999
ACH-000060,-0.12172035647299999
ACH-000067,0.0017279475092600001
ACH-000070,-0.178292234967
ACH-000075,-0.0927700733413
ACH-000078,0.005332354466539999
ACH-000082,-0.021297931784
ACH-000085,0.17580583432
ACH-000086,0.07448632061860001
ACH-000087,0.036519891004
ACH-000092,0.062097316713
ACH-000095,0.0271789018343
ACH-000097,0.051082985493
ACH-000098,-0.0380781074695
ACH-000099,-0.015821910531500002
ACH-000108,0.0036735939029
ACH-000113,-0.005461951646709999
ACH-000115,0.062627167584
ACH-000116,-0.107740598341
ACH-000118,-0.175236441227
ACH-000120,0.056327996775699996
ACH-000123,-0.0837016749235
ACH-000127,-0.161013105429
ACH-000128,-0.179263830586
ACH-000132,0.09907331612060001
ACH-000133,-0.082388794943
ACH-000137,0.0701941010927
ACH-000138,-0.0047280724091800005
ACH-000142,-0.08569049060239999
ACH-000143,0.141868312905
ACH-000146,-0.0677641532109
ACH-000148,0.0678117649517
ACH-000150,-0.28345398403
ACH-000152,-0.0206907071908
ACH-000153,0.236882571959
ACH-000159,-0.045837916596800005
ACH-000160,-0.0721033242319
ACH-000163,-0.0785675910426
ACH-000167,0.07281572821860001
ACH-000168,-0.10245248761299999
ACH-000169,-0.0352456209751
ACH-000178,0.030399701230000003
ACH-000182,-0.0202411448532
ACH-000183,-0.0648779626684
ACH-000188,0.008739561157790001
ACH-000189,-0.132834625406
ACH-000190,-0.036740641991199995
ACH-000198,-0.0586983031414
ACH-000204,-0.0977996718044
ACH-000206,-0.0842495028149
ACH-000207,0.0184603927505
ACH-000211,0.0382995743072
ACH-000215,-0.21032958727499998
