,OBFC1 (79991)
ACH-000004,-0.8445316341660001
ACH-000007,-0.895647378079
ACH-000009,-0.460770283989
ACH-000011,-0.384370434334
ACH-000012,-0.7127452074130001
ACH-000013,-0.234910107192
ACH-000014,-0.8206969601890001
ACH-000015,-0.246328589716
ACH-000017,-0.20334114565000003
ACH-000018,-0.842681475097
ACH-000019,-0.222502517262
ACH-000021,-0.363677842197
ACH-000022,-0.5431930785819999
ACH-000025,-0.45910775883
ACH-000028,-0.229469533329
ACH-000030,-0.311640454366
ACH-000035,-0.762778260379
ACH-000036,-0.585863526386
ACH-000037,-0.7074946408949999
ACH-000039,-0.5835313771980001
ACH-000040,-0.548093167407
ACH-000041,-0.5737621530170001
ACH-000042,-0.631985801397
ACH-000045,-0.854202613312
ACH-000047,-0.305649920892
ACH-000052,-0.424612366439
ACH-000053,-0.654803516022
ACH-000054,-0.244151358403
ACH-000055,-0.481054234899
ACH-000060,-0.7526743230830001
ACH-000067,-0.8243750947570001
ACH-000070,-0.531033613948
ACH-000075,-0.371066576601
ACH-000078,-0.511455749464
ACH-000082,-0.5916565512049999
ACH-000085,-0.45243012337899996
ACH-000086,-0.203423260607
ACH-000087,-0.8379123519689999
ACH-000092,-0.357806479367
ACH-000095,-0.706637501451
ACH-000097,-0.289543358074
ACH-000098,-0.205393079742
ACH-000099,-0.613804712457
ACH-000108,-0.514513426974
ACH-000113,-0.837313334841
ACH-000115,-0.265975967702
ACH-000116,-0.7744025096699999
ACH-000118,-0.87847037936
ACH-000120,-0.815750140627
ACH-000123,-0.39556972733
ACH-000127,-0.449359956885
ACH-000128,-0.40925630897
ACH-000132,-0.496127315028
ACH-000133,-0.53582691337
ACH-000137,-0.374669551225
ACH-000138,-0.291256021836
ACH-000142,-0.281360721239
ACH-000143,-0.901337611481
ACH-000146,-0.617240574321
ACH-000148,-0.934469770411
ACH-000150,-0.488881132745
ACH-000152,-0.701088530497
ACH-000153,-0.35624739663800004
ACH-000159,-0.419927273496
ACH-000160,-0.476760487246
ACH-000163,-0.716384278651
ACH-000167,-0.481843637076
ACH-000168,-0.963582690076
ACH-000169,-0.34231014102799995
ACH-000178,-0.701229446681
ACH-000182,-0.583709809056
ACH-000183,-0.593500590204
ACH-000188,-0.9812592098999999
ACH-000189,-0.881699965947
ACH-000190,-0.8580099463449999
ACH-000198,-0.669820932823
ACH-000204,-0.328035917459
ACH-000206,-0.440048202946
ACH-000207,-0.9247031952339999
ACH-000211,-0.317871387316
ACH-000215,-0.768235298238
ACH-000221,-0.8050084052099999
ACH-000222,-0.53656478458
ACH-000223,-0.7007495925130001
ACH-000226,-0.662724284199
ACH-000227,-0.522653333329
ACH-000228,-0.45159510152099996
ACH-000231,-0.983019364764
ACH-000232,-0.25367310376999996
ACH-000233,-0.354943429484
ACH-000234,-0.5427434171209999
ACH-000235,-0.632037450344
ACH-000237,-0.581242704062
ACH-000238,-0.717990877823
ACH-000243,-0.502566940248
ACH-000244,-0.28437461032
ACH-000246,-0.38935851032499996
ACH-000248,-0.251167787128
ACH-000250,-0.346985069463
ACH-000251,-0.589919028832
ACH-000253,-0.5659581141219999
ACH-000255,-0.261385159627
ACH-000256,-0.513322745707
ACH-000257,-1.2772320468
ACH-000258,-0.470842169315
ACH-000259,-0.550379131863
ACH-000260,-0.47450279132
ACH-000261,-0.677430774978
ACH-000262,-0.550728234304
ACH-000263,-0.929542587189
ACH-000264,-0.9133408837289999
ACH-000265,-0.334336498275
ACH-000266,-0.794100633302
ACH-000272,-0.764614027422
ACH-000273,-0.78522169933
ACH-000274,-0.20726475633400002
ACH-000277,-0.47124318050700004
ACH-000278,-0.291516804991
ACH-000279,-1.43513448534
ACH-000280,-0.623415625905
ACH-000281,-0.43841498164399995
ACH-000288,-1.13201603508
ACH-000291,-0.610603280171
ACH-000293,-0.472896596844
