,SRI (6717)
ACH-000004,-0.274364821997
ACH-000007,-0.36367053362499996
ACH-000009,-0.297304148532
ACH-000011,-0.15573408109099998
ACH-000012,-0.123968211908
ACH-000013,-0.0623196964946
ACH-000014,-0.0330756172123
ACH-000015,-0.0200809851413
ACH-000017,0.032868752561400004
ACH-000018,-0.0723229484148
ACH-000019,-0.0990071852208
ACH-000021,-0.383362141463
ACH-000022,-0.17813384430399998
ACH-000025,-0.31012567888099996
ACH-000028,-0.135846916148
ACH-000030,-0.160396729267
ACH-000035,-0.273510063093
ACH-000036,-0.313048004394
ACH-000037,-0.19150584304
ACH-000039,-0.252031998758
ACH-000040,-0.0569835771997
ACH-000041,-0.201086426103
ACH-000042,-0.189292469012
ACH-000045,-0.0963931672617
ACH-000047,-0.222375685465
ACH-000052,-0.42482902005
ACH-000053,-0.0275202734145
ACH-000054,-0.451875002141
ACH-000055,-0.27899482961800004
ACH-000060,-0.288054331581
ACH-000067,-0.416079201893
ACH-000070,-0.24028943694000002
ACH-000075,-0.352931235989
ACH-000078,-0.162569869126
ACH-000082,-0.260944149331
ACH-000085,-0.015286854532700001
ACH-000086,-0.0677402975017
ACH-000087,-0.530432312201
ACH-000092,-0.2413521067
ACH-000095,-0.305879461294
ACH-000097,-0.161660237138
ACH-000098,-0.27108601825399997
ACH-000099,-0.180459512508
ACH-000108,-0.142236067741
ACH-000113,-0.21942397439599998
ACH-000115,-0.027033340893599996
ACH-000116,-0.138090498148
ACH-000118,-0.176811410124
ACH-000120,-0.37964734985799997
ACH-000123,-0.279497541202
ACH-000127,-0.10055760563100001
ACH-000128,-0.148272760188
ACH-000132,-0.22257566812899998
ACH-000133,-0.0731826872546
ACH-000137,-0.364227933165
ACH-000138,-0.09364029315749998
ACH-000142,-0.184729945741
ACH-000143,-0.18349465820799998
ACH-000146,-0.09170357852330001
ACH-000148,-0.270010987317
ACH-000150,-0.0484817740312
ACH-000152,-0.254935436082
ACH-000153,-0.17462215435800002
ACH-000159,-0.404294261986
ACH-000160,-0.336527238962
ACH-000163,-0.12041527893
ACH-000167,-0.0908484239092
ACH-000168,-0.271474897889
ACH-000169,-0.131911853011
ACH-000178,-0.21949394503000003
ACH-000182,-0.233740143746
ACH-000183,0.0770363656469
ACH-000188,-0.10485583035700001
ACH-000189,-0.36590608204999997
