,DAGLB (221955)
ACH-000004,-0.08985542639380001
ACH-000007,-0.23022643414299998
ACH-000009,-0.165040409951
ACH-000011,-0.200943615085
ACH-000012,-0.227761306237
ACH-000013,-0.10706633496300001
ACH-000014,-0.250725499033
ACH-000015,-0.231371347788
ACH-000017,0.01452795767
ACH-000018,-0.160318033201
ACH-000019,-0.22506101512200002
ACH-000021,-0.194361459842
ACH-000022,-0.16805186349800003
ACH-000025,-0.13123177873199998
ACH-000028,-0.10129503367499999
ACH-000030,-0.174160758075
ACH-000035,-0.18014222607299998
ACH-000036,-0.39378779090899996
ACH-000037,0.108928787273
ACH-000039,0.06943475474560001
ACH-000040,-0.250482213409
ACH-000041,0.107737479447
ACH-000042,-0.15113515904000002
ACH-000045,-0.0593063250736
ACH-000047,-0.148223420137
ACH-000052,0.07762611135860001
ACH-000053,-0.19585487020300002
ACH-000054,-0.319934245579
ACH-000055,-0.0846992159605
ACH-000060,-0.228990692246
ACH-000067,-0.230589659292
ACH-000070,-0.158533327159
ACH-000075,-0.0785650799841
ACH-000078,-0.102579937004
ACH-000082,-0.27703007435
ACH-000085,0.0063680558756000006
ACH-000086,-0.099589854349
ACH-000087,-0.308988560593
ACH-000092,-0.155018463781
ACH-000095,-0.100296156752
ACH-000097,-0.137111282798
ACH-000098,-0.09447355279380001
ACH-000099,-0.231994374307
ACH-000108,-0.24309394393599998
ACH-000113,-0.11808265339000001
ACH-000115,0.0645954613985
ACH-000116,-0.11619038129899999
ACH-000118,-0.0841198152962
ACH-000120,-0.159824488804
ACH-000123,-0.300781601445
ACH-000127,-0.152474501953
ACH-000128,-0.29410691971
ACH-000132,-0.34016760025
ACH-000133,-0.141062020934
ACH-000137,-0.035063568005599996
ACH-000138,-0.218135969113
ACH-000142,-0.18641753362
ACH-000143,-0.0740713592073
ACH-000146,-0.170618979322
ACH-000148,-0.23287476446999997
ACH-000150,0.11360910615599999
ACH-000152,-0.253869434756
ACH-000153,-0.156371703551
ACH-000159,-0.11975998968900001
ACH-000160,-0.232116871538
ACH-000163,-0.23681765741500002
ACH-000167,-0.08956822820049999
ACH-000168,-0.374490409033
ACH-000169,-0.29404889425
ACH-000178,-0.27722368077799997
ACH-000182,-0.123415301644
ACH-000183,-0.152785323501
ACH-000188,-0.20774686539700002
ACH-000189,-0.454470215881
ACH-000190,0.00964036658238
ACH-000198,-0.0987266553258
ACH-000204,-0.064702172962
ACH-000206,-0.429114788657
ACH-000207,-0.400358234853
ACH-000211,-0.0502000975138
ACH-000215,-0.00983869648452
ACH-000221,-0.110552543947
ACH-000222,-0.27212460339899996
ACH-000223,-0.18478446631499998
ACH-000226,-0.298587247634
ACH-000227,-0.19914091155299998
ACH-000228,-0.36409394181599997
ACH-000231,-0.254790095203
ACH-000232,-0.21687184519000002
ACH-000233,-0.167097604995
ACH-000234,-0.207267519548
ACH-000235,-0.127687814106
ACH-000237,-0.258453354077
ACH-000238,-0.31263591609200003
ACH-000243,-0.148539408197
ACH-000244,-0.460231004492
ACH-000246,-0.233591927272
ACH-000248,-0.133278208417
ACH-000250,-0.09871751290860001
ACH-000251,-0.265893816718
ACH-000253,-0.18027727844
ACH-000255,-0.014484202388200001
ACH-000256,-0.167714074365
ACH-000257,-0.262823197127
ACH-000258,0.125856577355
ACH-000259,-0.309435733202
ACH-000260,-0.06870970214819999
ACH-000261,-0.143415721804
ACH-000262,-0.214853031789
