,QPCTL (54814)
ACH-000004,-0.116561108061
ACH-000007,-0.100727108056
ACH-000009,-0.105263812368
ACH-000011,-0.157307988151
ACH-000012,-0.15745397717700002
ACH-000013,-0.217481440223
ACH-000014,-0.140521444897
ACH-000015,-0.196011642985
ACH-000017,0.0195925701852
ACH-000018,-0.385423578029
ACH-000019,0.22571800170200002
ACH-000021,-0.13373874877699998
ACH-000022,-0.138367000994
ACH-000025,-0.128549560854
ACH-000028,-0.23042500221999998
ACH-000030,-0.18800478321
ACH-000035,-0.20303147690099999
ACH-000036,-0.179035299882
ACH-000037,0.068392356876
ACH-000039,-0.382337666223
ACH-000040,-0.058176135294900004
ACH-000041,-0.20271020020199998
ACH-000042,-0.011140778026399999
ACH-000045,-0.163631830046
ACH-000047,-0.09747473673620001
ACH-000052,0.0397534732466
ACH-000053,-0.350397955608
ACH-000054,-0.117418016016
ACH-000055,-0.108449523352
ACH-000060,-0.0995877888059
ACH-000067,-0.115957828062
ACH-000070,-0.24022737977400002
ACH-000075,0.08644285046430002
ACH-000078,-0.126401955108
ACH-000082,-0.126746708595
ACH-000085,-0.192159645869
ACH-000086,-0.225136588293
ACH-000087,-0.125894058346
ACH-000092,-0.163755717161
ACH-000095,-0.048471204008800006
ACH-000097,-0.149808683233
ACH-000098,-0.127744393915
ACH-000099,-0.17714589564599997
ACH-000108,-0.33443235387200004
ACH-000113,-0.0760826332043
ACH-000115,-0.258576949661
ACH-000116,-0.022160185823
ACH-000118,-0.286296533352
ACH-000120,-0.140584526151
ACH-000123,-0.0992819746834
ACH-000127,-0.139983000912
ACH-000128,0.155298007963
ACH-000132,-0.216449896847
ACH-000133,-0.118564944618
ACH-000137,-0.39311884166999994
ACH-000138,-0.141969742532
ACH-000142,-0.0360552792651
ACH-000143,-0.239935471199
ACH-000146,-0.0159124005084
ACH-000148,-0.11538516972200001
ACH-000150,-0.244277176644
ACH-000152,-0.18326993243700002
ACH-000153,-0.0928413981882
ACH-000159,-0.0645457660964
ACH-000160,0.096729454094
ACH-000163,-0.0668420695
ACH-000167,0.0898156152984
ACH-000168,-0.175444489178
ACH-000169,0.0773353487978
ACH-000178,-0.061779215137499996
ACH-000182,-0.0935706273498
ACH-000183,-0.150663703148
ACH-000188,-0.134761566192
ACH-000189,-0.0433463140154
ACH-000190,-0.349571114715
ACH-000198,-0.0468027104232
ACH-000204,0.056663487922300006
ACH-000206,0.044049388565
ACH-000207,-0.36508979389300006
ACH-000211,-0.12561386266
ACH-000215,-0.0288290683665
ACH-000221,-0.14590245259
