,CDADC1 (81602)
ACH-000004,-0.0700902937582
ACH-000007,-0.0396690094971
ACH-000009,0.227994107185
ACH-000011,0.17931550717300002
ACH-000012,0.050726873247999994
ACH-000013,0.113405835789
ACH-000014,-0.0131608299891
ACH-000015,0.0293662981368
ACH-000017,0.036070627309
ACH-000018,0.05231297868
ACH-000019,0.0603101802324
ACH-000021,0.0952717492697
ACH-000022,0.174965488314
ACH-000025,0.192634775022
ACH-000028,0.13306811734500001
ACH-000030,0.0655960954288
ACH-000035,0.0730096054474
ACH-000036,0.12066647741599999
ACH-000037,-0.0184614244583
ACH-000039,0.06438208127600001
ACH-000040,0.214188095853
ACH-000041,0.121683601338
ACH-000042,0.11623716851299999
ACH-000045,0.166500286118
ACH-000047,0.127447905725
ACH-000052,0.06791595355550001
ACH-000053,0.06268615009600001
ACH-000054,0.0352264816246
ACH-000055,0.18832289454300002
ACH-000060,0.0401102879351
ACH-000067,0.102819445714
ACH-000070,0.155678068847
ACH-000075,0.114972123881
ACH-000078,-0.18710683344300003
ACH-000082,0.19963632627099998
ACH-000085,0.21740727938499999
ACH-000086,-0.0568183294013
ACH-000087,0.282959995895
ACH-000092,0.025409080980599998
ACH-000095,0.17951558186099997
ACH-000097,0.0752621619503
ACH-000098,0.0730051611925
ACH-000099,0.04078591423380001
ACH-000108,0.247747124045
ACH-000113,0.0124521330488
ACH-000115,0.19299706265500002
ACH-000116,0.038052631175599996
ACH-000118,0.052794536610400004
ACH-000120,-0.025956192933700002
ACH-000123,-0.0720730215935
ACH-000127,0.144050170673
ACH-000128,0.0956278635987
ACH-000132,-0.0480789326178
ACH-000133,0.11009205481699999
ACH-000137,0.164665498548
ACH-000138,0.0900540030425
ACH-000142,0.23877079479600002
ACH-000143,0.0329169727019
ACH-000146,-0.0337568482436
ACH-000148,0.126989014909
ACH-000150,-0.00608032996664
ACH-000152,-0.060461725737500006
ACH-000153,0.253446831581
ACH-000159,-0.0960732979754
ACH-000160,0.041118902909800005
ACH-000163,0.128222696033
ACH-000167,0.211295250431
ACH-000168,0.025987907165799996
ACH-000169,0.0547448384104
ACH-000178,-0.0075037934011899995
ACH-000182,-0.11414504446599999
ACH-000183,0.212410710963
ACH-000188,-0.0511741120358
ACH-000189,-0.015530397627700001
ACH-000190,0.110336750091
ACH-000198,0.10150960022
ACH-000204,0.0954912759097
ACH-000206,-0.0442669933001
ACH-000207,0.034463582886
ACH-000211,0.07626713177830001
ACH-000215,0.07618261332769999
ACH-000221,0.254656336881
ACH-000222,0.155989984759
ACH-000223,-0.169694012048
ACH-000226,0.07835314266710001
ACH-000227,0.129276659122
ACH-000228,0.0559473985452
ACH-000231,0.050605022723
ACH-000232,0.047834483096900006
ACH-000233,0.0679463437664
ACH-000234,0.00456643561887
ACH-000235,0.0799603273351
ACH-000237,0.18678938060800002
ACH-000238,0.0258519321821
ACH-000243,0.140585511774
ACH-000244,0.0921941150023
ACH-000246,0.0492683877074
ACH-000248,0.0694404608928
ACH-000250,0.08091870684949999
ACH-000251,0.019128877963299998
ACH-000253,0.0711907217016
ACH-000255,0.030158224843700003
ACH-000256,-0.136279290099
ACH-000257,-0.030398955544500002
ACH-000258,-0.23701218859700002
ACH-000259,0.126694001664
ACH-000260,-0.0413159578598
ACH-000261,0.0236515573453
ACH-000262,-0.0645317323551
ACH-000263,0.264480941251
ACH-000264,-0.019139540768099997
ACH-000265,-0.0251449214593
ACH-000266,0.0932174516365
ACH-000272,0.076066860651
ACH-000273,0.113229728246
ACH-000274,0.107647211584
ACH-000277,0.100052328525
ACH-000278,0.0461478894652
ACH-000279,0.0729224448815
ACH-000280,0.11839655295700001
ACH-000281,0.12031161048
ACH-000288,-0.0952299825323
ACH-000291,0.0814957075591
ACH-000293,0.0144193450381
ACH-000294,-0.0261540274437
ACH-000295,-0.00386783067408
ACH-000296,0.26236818226799996
ACH-000302,-0.040223990510900004
ACH-000304,-0.013253328865200002
ACH-000307,0.11670569437999999
ACH-000308,-0.00447399946642
ACH-000310,-0.021281203019599997
ACH-000311,0.123505522487
