,CHRNG (1146)
ACH-000004,-0.343243006983
ACH-000007,-0.403033946808
ACH-000009,-0.260793083989
ACH-000011,-0.486113868099
ACH-000012,-0.455380977984
ACH-000013,-0.38389091305399997
ACH-000014,-0.202837284906
ACH-000015,-0.31579377195999997
ACH-000017,-0.35375765034699996
ACH-000018,-0.148823219993
ACH-000019,-0.276243219344
ACH-000021,-0.2455638427
ACH-000022,-0.232973919229
ACH-000025,-0.343220897761
ACH-000028,-0.176395449267
ACH-000030,-0.44339878824900003
ACH-000035,-0.0611512541292
ACH-000036,-0.361797115392
ACH-000037,-0.893342878107
ACH-000039,-0.313665883806
ACH-000040,-0.378609474686
ACH-000041,-0.279215950787
ACH-000042,-0.502416005485
ACH-000045,-0.219848365002
ACH-000047,-0.216909862375
ACH-000052,-0.12272839087899999
ACH-000053,-0.24351298671799998
ACH-000054,-0.279696856699
ACH-000055,-0.588342130087
ACH-000060,-0.18004745824499999
ACH-000067,-0.469228895461
ACH-000070,-0.44430652078500005
ACH-000075,-0.5654096704020001
ACH-000078,-0.41983640214699997
ACH-000082,-0.37095685509099996
ACH-000085,-0.173214755107
ACH-000086,-0.17994816125500002
ACH-000087,-0.30784075010699996
ACH-000092,-0.300198549761
ACH-000095,-0.326496209452
ACH-000097,-0.274067046167
ACH-000098,-0.41197041676299995
ACH-000099,-0.555329158185
ACH-000108,-0.578284894925
ACH-000113,-0.372992097877
ACH-000115,-0.159032840605
ACH-000116,-0.329270268316
ACH-000118,-0.255404876732
ACH-000120,-0.313123307054
ACH-000123,-0.26704268514400004
ACH-000127,-0.292807599309
ACH-000128,-0.208890967037
ACH-000132,-0.282056391501
ACH-000133,-0.5365576385999999
ACH-000137,-0.265828067186
ACH-000138,-0.286290689613
ACH-000142,-0.275400037244
ACH-000143,-0.3001605896
ACH-000146,-0.302711210809
ACH-000148,-0.43547492575499996
ACH-000150,-0.7945292070960001
ACH-000152,-0.5424955156660001
ACH-000153,0.0988695408385
ACH-000159,-0.171468598635
ACH-000160,-0.43818472737499997
ACH-000163,-0.396409299662
ACH-000167,-0.205045578135
ACH-000168,-0.484566356234
ACH-000169,-0.29289070659
ACH-000178,-0.310284554953
ACH-000182,-0.309017760152
ACH-000183,-0.354833893051
ACH-000188,-0.24789866704900002
ACH-000189,-0.251606725736
ACH-000190,-0.18188099110599998
ACH-000198,-0.262075945051
