,POGZ (23126)
ACH-000004,-0.43143463180799996
ACH-000007,-0.427548549958
ACH-000009,-0.7878027181980001
ACH-000011,-0.46209353056900004
ACH-000012,-0.6298837455640001
ACH-000013,-0.42796311639300005
ACH-000014,-0.677400587612
ACH-000015,-0.588449180479
ACH-000017,-0.549989206376
ACH-000018,-0.40274237092
ACH-000019,-1.1533557750299999
ACH-000021,-0.711916912654
ACH-000022,-0.49184409178800004
ACH-000025,-0.533808005339
ACH-000028,-0.511442463796
ACH-000030,-0.6603522867539999
ACH-000035,-0.47276679217900003
ACH-000036,-0.642314344125
ACH-000037,-0.934995325133
ACH-000039,-0.480454457077
ACH-000040,-0.742453401925
ACH-000041,-0.683402344818
ACH-000042,-0.5516341425469999
ACH-000045,-0.528638816976
ACH-000047,-0.319306264154
ACH-000052,-0.61965622475
ACH-000053,-0.672552113479
ACH-000054,-0.722529994922
ACH-000055,-0.37114639173600006
ACH-000060,-0.253969320901
ACH-000067,-0.9684173623019999
ACH-000070,-0.7761843274369999
ACH-000075,-0.946235745721
ACH-000078,-1.01957744682
ACH-000082,-0.450123886723
ACH-000085,-0.470735494248
ACH-000086,-0.670111529538
ACH-000087,-0.485455092013
ACH-000092,-0.617979996892
ACH-000095,-0.670388265714
ACH-000097,-0.7014547296320001
ACH-000098,-0.494831275878
ACH-000099,-0.637035220387
ACH-000108,-0.395318543516
ACH-000113,-0.623772310328
ACH-000115,-0.7333528542919999
ACH-000116,-0.48140861943499996
ACH-000118,-0.47038095239600003
ACH-000120,-0.44049992895
ACH-000123,-0.495070652199
ACH-000127,-0.704888565256
ACH-000128,-0.394127075976
ACH-000132,-0.71651851788
ACH-000133,-0.678876315202
ACH-000137,-0.5001616080619999
ACH-000138,-0.56691935207
ACH-000142,-0.7487661565710001
ACH-000143,-0.303401602911
ACH-000146,-0.551326291752
ACH-000148,-0.63069701023
ACH-000150,-0.633998173504
ACH-000152,-0.549149347334
ACH-000153,-0.397488585695
ACH-000159,-0.702375461611
ACH-000160,-0.524789148552
ACH-000163,-0.467793994059
ACH-000167,-0.8525637020460001
ACH-000168,-0.7114997601980001
ACH-000169,-0.575284256798
ACH-000178,-0.557037252548
ACH-000182,-0.67860798588
ACH-000183,-0.311386909248
ACH-000188,-0.427891831594
