,GADD45B (4616)
ACH-000004,-0.0442864760601
ACH-000007,-0.152427809173
ACH-000009,-0.160106348704
ACH-000011,-0.19662778291900002
ACH-000012,0.017408111375900003
ACH-000013,-0.228359567548
ACH-000014,-0.157319649719
ACH-000015,-0.202768210528
ACH-000017,-0.239826638777
ACH-000018,-0.16089993793500001
ACH-000019,0.20478295092300003
ACH-000021,-0.150334678886
ACH-000022,-0.155047474672
ACH-000025,-0.22323333801399997
ACH-000028,-0.224297412048
ACH-000030,-0.177112822328
ACH-000035,-0.19607218259300002
ACH-000036,-0.015191879022
ACH-000037,-0.105348301594
ACH-000039,0.0048719334956000004
ACH-000040,-0.37921667446199997
ACH-000041,-0.21908896710200002
ACH-000042,-0.113771263011
ACH-000045,-0.27625472706099996
ACH-000047,-0.208767086513
ACH-000052,-0.152115882776
ACH-000053,0.0464003613856
ACH-000054,-0.169215502762
ACH-000055,-0.201393746065
ACH-000060,-0.024734661845999997
ACH-000067,-0.15081980768300002
ACH-000070,-0.22908525789999998
ACH-000075,-0.28513404490899996
ACH-000078,0.186966398077
ACH-000082,-0.24116094967799998
ACH-000085,-0.411549036608
ACH-000086,-0.13147760076
ACH-000087,-0.12123708777999999
ACH-000092,-0.09352485523989999
ACH-000095,-0.31305826715199997
ACH-000097,-0.25947382871
ACH-000098,-0.457134464095
ACH-000099,-0.0860700975495
ACH-000108,0.0211097602959
ACH-000113,-0.225954562839
ACH-000115,-0.40820779023000003
ACH-000116,-0.177390220673
ACH-000118,0.09220959017330001
ACH-000120,-0.43069713215000005
ACH-000123,-0.0413956057914
ACH-000127,-0.24965532417
ACH-000128,-0.151680667873
ACH-000132,-0.134776141025
ACH-000133,-0.015452415032600001
ACH-000137,-0.28995371496800004
ACH-000138,-0.0456521022724
ACH-000142,-0.222308157374
ACH-000143,-0.23111340395399999
ACH-000146,-0.281505722188
ACH-000148,-0.04633974412690001
ACH-000150,-0.172172334476
ACH-000152,-0.0833855248959
ACH-000153,-0.120704126041
ACH-000159,-0.223174722824
ACH-000160,0.0625205166847
ACH-000163,-0.35909921748499996
ACH-000167,0.023184077278999998
ACH-000168,-0.17691493365299998
ACH-000169,-0.26775965818
ACH-000178,-0.156783381058
ACH-000182,-0.238459001706
ACH-000183,-0.30007120699900003
ACH-000188,-0.138333977386
ACH-000189,-0.276274062678
ACH-000190,-0.0803567334089
ACH-000198,-0.07704866051
ACH-000204,-0.0944015774845
ACH-000206,-0.181036308172
ACH-000207,-0.40368693200800004
ACH-000211,0.0187334107661
ACH-000215,-0.141053042318
ACH-000221,-0.306299250196
ACH-000222,-0.280672122375
ACH-000223,-0.053964338927600004
ACH-000226,-0.0704889917961
ACH-000227,-0.296540402443
ACH-000228,0.10461661590600001
ACH-000231,-0.160369518969
ACH-000232,-0.123543074362
ACH-000233,0.111225295955
ACH-000234,-0.284892921433
ACH-000235,-0.0726803066416
ACH-000237,-0.212105961118
ACH-000238,0.0726029702553
ACH-000243,-0.0212100699174
ACH-000244,0.09675848717980001
ACH-000246,-0.342843393467
ACH-000248,0.0020501767522400002
ACH-000250,-0.3575071188
ACH-000251,-0.373145080462
ACH-000253,-0.18370772805900001
ACH-000255,-0.1269955455
ACH-000256,-0.114791692019
ACH-000257,0.19859591654300002
ACH-000258,-0.198578602601
ACH-000259,-0.0307519500662
ACH-000260,-0.11947712915400001
ACH-000261,-0.248775917227
ACH-000262,-0.355810621197
ACH-000263,0.0341338655301
ACH-000264,-0.20110056911
ACH-000265,-0.014029103684600001
ACH-000266,-0.210499886558
ACH-000272,-0.311727275417
ACH-000273,-0.23338458486900002
ACH-000274,-0.1336715527
ACH-000277,-0.105261190142
ACH-000278,-0.160833785491
ACH-000279,-0.160117332227
ACH-000280,-0.152231173702
ACH-000281,-0.109329820121
ACH-000288,-0.0569546014768
ACH-000291,-0.206474801835
ACH-000293,-0.287957264652
ACH-000294,-0.012575665162
ACH-000295,-0.474474765373
ACH-000296,0.11692103528799999
ACH-000302,-0.413390862294
ACH-000304,-0.345598772946
ACH-000307,-0.0775835846166
ACH-000308,-0.0756062683495
ACH-000310,-0.09789377638760001
ACH-000311,0.114855794781
ACH-000312,-0.08007383127460001
ACH-000315,-0.427312725494
ACH-000316,-0.35264413755199997
ACH-000317,-0.00770165746166
ACH-000318,-0.0515898501607
ACH-000319,-0.20698924163899998
ACH-000320,-0.025891643155900004
ACH-000322,-0.0328092628251
ACH-000323,-0.24286613865899997
ACH-000324,-0.133098611384
ACH-000329,-0.0756553244282
ACH-000330,-0.11702839042600001
ACH-000331,-0.05290488554119999
ACH-000332,-0.09375854018810001
ACH-000334,-0.191972416337
ACH-000335,-0.255708475047
ACH-000336,-0.387819750626
ACH-000337,0.010967585707399998
ACH-000339,-0.0157522876382
ACH-000341,-0.436490947776
ACH-000348,-0.113093644708
ACH-000350,-0.236088766673
ACH-000352,-0.0028301884755999995
ACH-000356,-0.04562276288509999
ACH-000361,-0.17332480023699998
ACH-000362,-0.150590590068
ACH-000363,-0.250092767853
ACH-000364,-0.30428827747299997
ACH-000365,-0.436701343947
ACH-000366,-0.225566220701
ACH-000368,-0.141109907554
ACH-000374,-0.106436297603
ACH-000375,-0.487290799948
ACH-000376,-0.00438549588446
ACH-000381,-0.165259333976
ACH-000383,-0.18388110968899998
ACH-000387,0.0217655552101
ACH-000389,-0.353253830211
ACH-000390,-0.192809450958
ACH-000393,-0.328739317648
ACH-000395,-0.0719499287346
ACH-000397,-0.10332650318299999
ACH-000401,-0.243282135407
ACH-000402,0.061094723747899995
ACH-000403,-0.23469186568000003
ACH-000404,-0.47395023307499995
ACH-000406,-0.102224234101
ACH-000407,-0.181550223435
ACH-000408,-0.0019702592861099997
ACH-000410,-0.252015568819
ACH-000411,-0.10330540242200001
ACH-000414,-0.049260951042099994
ACH-000415,-0.0789777218436
ACH-000416,-0.19746364689800003
ACH-000420,-0.290996844531
ACH-000421,-0.16927277184300002
ACH-000424,-0.0382444276153
ACH-000425,-0.245945618011
ACH-000426,-0.612568734609
ACH-000427,-0.13965594133099998
ACH-000433,-0.383334901392
ACH-000436,-0.303339717912
ACH-000444,-0.265760269797
ACH-000445,-0.18286966051800002
ACH-000448,-0.171978247296
ACH-000450,0.0069138118708499995
ACH-000452,-0.288411167137
ACH-000454,-0.244340125126
ACH-000458,-0.312563431088
ACH-000459,-0.0856025990099
ACH-000460,-0.05364248740540001
ACH-000461,-0.543941072397
ACH-000463,0.0283940717691
ACH-000464,0.123904244672
ACH-000466,0.11312787805600001
ACH-000467,-0.000468073942049
ACH-000468,-0.123980972845
ACH-000469,-0.076237211985
ACH-000470,0.0462486403204
ACH-000471,-0.235646798869
ACH-000472,-0.161558085317
ACH-000473,-0.295746366866
ACH-000475,-0.277891282349
ACH-000476,0.062150233475000004
ACH-000477,-0.177470747352
ACH-000480,-0.21777118982500002
ACH-000481,-0.286821487291
ACH-000483,-0.296017962661
ACH-000484,-0.17550191682900002
ACH-000485,-0.155284175537
ACH-000486,-0.22900451460700003
ACH-000487,-0.165864656254
ACH-000488,-0.00734884251227
ACH-000490,-0.0829327069932
ACH-000491,-0.46854862118699997
ACH-000495,-0.332943023836
ACH-000496,-0.171332196468
ACH-000499,-0.43477885177299996
ACH-000500,-0.172267313625
ACH-000502,-0.149260831013
ACH-000503,-0.2541101952
ACH-000505,-0.19169202369000002
ACH-000507,-0.17997147173500003
ACH-000510,-0.07503679986789999
ACH-000511,-0.41853722644
ACH-000512,0.020457704175099997
ACH-000516,-0.06709335282290001
ACH-000517,-0.28677661694699996
ACH-000518,-0.17479496077599999
ACH-000520,-0.119808003812
