,CACNA1G (8913)
ACH-000004,-0.20376870169300002
ACH-000007,0.0617676420463
ACH-000009,-0.4932643882
ACH-000011,-0.310301942619
ACH-000012,-0.34203475700499997
ACH-000013,-0.138396586248
ACH-000014,-0.288134935674
ACH-000015,-0.29156023637899997
ACH-000017,-0.497579688749
ACH-000018,-0.21100514470400003
ACH-000019,-0.419241023081
ACH-000021,-0.285636307852
ACH-000022,-0.402015601366
ACH-000025,-0.327837823468
ACH-000028,-0.102131846653
ACH-000030,-0.348664800995
ACH-000035,-0.32111539379500004
ACH-000036,-0.322342960799
ACH-000037,-0.686024256954
ACH-000039,-0.098355188213
ACH-000040,-0.172230242458
ACH-000041,-0.341208852159
ACH-000042,-0.374930269358
ACH-000045,0.0327746057812
ACH-000047,-0.220771948881
ACH-000052,-0.0974990362365
ACH-000053,-0.23401235002700002
ACH-000054,-0.31943489047
ACH-000055,-0.185457335194
ACH-000060,-0.221620913171
ACH-000067,-0.294680391085
ACH-000070,-0.383991500447
ACH-000075,-0.277008311868
ACH-000078,-0.157982376033
ACH-000082,-0.386743925687
ACH-000085,-0.289073994613
ACH-000086,-0.174513151687
ACH-000087,-0.494994238513
ACH-000092,-0.331871268277
ACH-000095,-0.313903593243
ACH-000097,-0.126394375475
ACH-000098,-0.24919604440499998
ACH-000099,-0.26979563153999997
ACH-000108,-0.157039830682
ACH-000113,-0.19111545504900002
ACH-000115,-0.315944191602
ACH-000116,-0.290550067829
ACH-000118,-0.142080828246
ACH-000120,-0.165908973043
ACH-000123,-0.17915367662700002
ACH-000127,-0.16863164856600002
ACH-000128,-0.494159484753
ACH-000132,-0.16264995177000002
ACH-000133,-0.344905258293
ACH-000137,-0.227920859965
ACH-000138,-0.234553118172
ACH-000142,-0.531458370127
ACH-000143,0.127116897827
ACH-000146,-0.280468949638
ACH-000148,-0.352422920787
ACH-000150,-0.52731056867
ACH-000152,-0.31244039642
ACH-000153,0.0008715844711210001
ACH-000159,-0.441231487521
ACH-000160,-0.28289012695099996
ACH-000163,-0.456421343425
ACH-000167,-0.774062748345
ACH-000168,-0.29310658453
ACH-000169,-0.09136946866589998
ACH-000178,-0.323911924884
ACH-000182,-0.19559406509399999
ACH-000183,-0.308383825297
ACH-000188,-0.33836167919200005
ACH-000189,-0.505524875002
ACH-000190,-0.172362066544
ACH-000198,-0.17622054214000002
ACH-000204,-0.13825264134
ACH-000206,-0.18048201085499999
ACH-000207,-0.351117716435
ACH-000211,-0.379583687159
ACH-000215,-0.315804900788
ACH-000221,-0.07634709109400001
ACH-000222,-0.34155796052599996
ACH-000223,-0.0646627077611
ACH-000226,-0.35693221561099997
ACH-000227,-0.209713494743
ACH-000228,-0.21096828548500002
ACH-000231,-0.40550406255599997
ACH-000232,-0.245345964995
ACH-000233,-0.134742489716
ACH-000234,-0.31604282388099997
ACH-000235,-0.297233162205
ACH-000237,-0.21373338528299998
ACH-000238,-0.637320356939
ACH-000243,-0.230874217566
ACH-000244,-0.5818274150289999
ACH-000246,-0.17469528363200001
ACH-000248,-0.39237828193999996
ACH-000250,-0.294597761212
ACH-000251,-0.221619162003
ACH-000253,-0.323117351994
ACH-000255,-0.37444438352700005
ACH-000256,-0.38206282255400004
ACH-000257,-0.122478920236
ACH-000258,-0.292346526434
ACH-000259,-0.23085025732500003
ACH-000260,-0.320879433053
ACH-000261,-0.276869922659
ACH-000262,-0.536351372736
ACH-000263,-0.564208603115
ACH-000264,-0.426107569344
ACH-000265,-0.22848966671100002
ACH-000266,-0.240059364252
ACH-000272,-0.313008196758
ACH-000273,-0.330279384463
ACH-000274,-0.534410059611
ACH-000277,-0.392604596404
ACH-000278,-0.045743341705
ACH-000279,-0.26471758726
ACH-000280,-0.541763267014
ACH-000281,-0.119457307883
ACH-000288,-0.567883183624
ACH-000291,-0.33667834942599995
ACH-000293,-0.299038117611
ACH-000294,-0.191224721346
ACH-000295,-0.518385023071
ACH-000296,-0.07867110549110001
ACH-000302,-0.290378237859
ACH-000304,-0.434731058936
ACH-000307,-0.38329140107500004
ACH-000308,-0.163456802085
ACH-000310,-0.17134834433600002
ACH-000311,-0.0235106068402
ACH-000312,-0.313771602267
ACH-000315,-0.315021510524
ACH-000316,-0.256669239857
ACH-000317,-0.255389883246
ACH-000318,-0.31269802180100004
ACH-000319,-0.43360871332400003
ACH-000320,-0.053427130102500005
ACH-000322,0.03584490992309999
ACH-000323,-0.368432757287
ACH-000324,-0.297721576833
ACH-000329,-0.34069032650700004
ACH-000330,-0.60277208493
ACH-000331,-0.243298255594
ACH-000332,-0.24530220262699998
ACH-000334,-0.298308750866
ACH-000335,-0.24464210240200002
ACH-000336,-0.08323876367939999
ACH-000337,-0.407870065612
ACH-000339,-0.17848861999
ACH-000341,-0.141127951031
ACH-000348,-0.20516765243299998
ACH-000350,-0.0186611115055
ACH-000352,-0.275611102785
ACH-000356,-0.5905828481409999
ACH-000361,-0.379296348636
ACH-000362,-0.21791331284
ACH-000363,-0.13407136114
ACH-000364,-0.05270888580849999
ACH-000365,-0.303311947838
ACH-000366,-0.29246415226399997
ACH-000368,-0.398201369393
ACH-000374,-0.09512740632819999
ACH-000375,-0.563515382581
ACH-000376,-0.296520594124
ACH-000381,-0.0838041277013
ACH-000383,-0.327256320454
ACH-000387,-0.08633127521360001
ACH-000389,-0.251514279192
ACH-000390,-0.191473513213
ACH-000393,-0.031831503336
ACH-000395,-0.33175155093
ACH-000397,-0.360122592204
ACH-000401,-0.34346329920400004
ACH-000402,-0.506189844933
ACH-000403,-0.262992473617
ACH-000404,-0.11880038871200001
ACH-000406,-0.307673349339
ACH-000407,-0.133683280041
ACH-000408,-0.31916901656999996
ACH-000410,-0.151279903416
ACH-000411,-0.05813477306059999
ACH-000414,-0.27147997516100003
ACH-000415,-0.613599741131
ACH-000416,-0.310949653962
ACH-000420,-0.119950502616
ACH-000421,-0.184290457966
ACH-000424,-0.223442349246
ACH-000425,-0.284196355917
ACH-000426,-0.0890104622951
ACH-000427,-0.358709320871
ACH-000433,-0.12472956192199999
ACH-000436,-0.440172150767
ACH-000444,-0.364252578697
ACH-000445,-0.179460720618
ACH-000448,-0.31539338831999997
ACH-000450,-0.421966452316
ACH-000452,-0.430359447011
ACH-000454,0.0824470966077
ACH-000458,-0.544215241741
ACH-000459,0.0649857534628
ACH-000460,-0.30725920160500003
ACH-000461,-0.204313575474
ACH-000463,-0.134856839192
ACH-000464,-0.3311694413
ACH-000466,-0.373323824361
ACH-000467,-0.273715323424
ACH-000468,-0.458224320285
ACH-000469,-0.363998942079
ACH-000470,-0.266520548754
ACH-000471,-0.268418375278
ACH-000472,-0.25992666877799997
ACH-000473,-0.225742109673
ACH-000475,-0.28582822426
ACH-000476,-0.228686911005
ACH-000477,-0.24143897447299997
ACH-000480,-0.266719796682
ACH-000481,-0.45065021659599996
ACH-000483,-0.15118956895
ACH-000484,-0.306127616222
ACH-000485,-0.350222206545
ACH-000486,-0.20833588124400002
ACH-000487,-0.367924873648
ACH-000488,-0.37667661512199996
ACH-000490,-0.37435049672700005
ACH-000491,-0.36516552088699994
ACH-000495,-0.18729902805799997
ACH-000496,-0.34163549766
ACH-000499,-0.0686359563801
ACH-000500,-0.640712479418
ACH-000502,-0.353130159083
ACH-000503,-0.5830088117710001
ACH-000505,-0.278246466566
ACH-000507,-0.145833148849
ACH-000510,-0.202787414699
ACH-000511,-0.458004201373
ACH-000512,-0.336707629971
ACH-000516,-0.345695030656
ACH-000517,-0.301788019222
