,RAD23B (5887)
ACH-000004,-0.309429830649
ACH-000007,-0.311765140986
ACH-000009,-0.3330751924
ACH-000011,0.0372153996456
ACH-000012,-0.535497552638
ACH-000013,-0.129614031524
ACH-000014,-0.0305964649419
ACH-000015,-0.289020004205
ACH-000017,-0.11700655970000001
ACH-000018,-0.41668715288099994
ACH-000019,0.0815408209733
ACH-000021,-0.189743314356
ACH-000022,-0.10522008226
ACH-000025,-0.06981766102800001
ACH-000028,-0.11555839875
ACH-000030,-0.224665114163
ACH-000035,-0.021257745312700003
ACH-000036,-0.324030414877
ACH-000037,-0.368661354109
ACH-000039,-0.252599412504
ACH-000040,-0.455086272247
ACH-000041,-0.03752508775130001
ACH-000042,-0.162587430662
ACH-000045,-0.0242343985402
ACH-000047,-0.178303092604
ACH-000052,-0.0683701687799
ACH-000053,-0.045974271402099996
ACH-000054,-0.184173571824
ACH-000055,-0.477444425219
ACH-000060,-0.09762912837860001
ACH-000067,-0.0923150834432
ACH-000070,-0.14085442143
ACH-000075,-0.145291951183
ACH-000078,0.0599085268434
ACH-000082,-0.157169270978
ACH-000085,-0.195658773291
ACH-000086,-0.301151207644
ACH-000087,-0.177292818551
ACH-000092,-0.0630390501775
ACH-000095,0.003693576522
ACH-000097,-0.299693961666
ACH-000098,-0.11094485521299999
ACH-000099,-0.00799957303073
ACH-000108,-0.116676303888
ACH-000113,-0.18745135256700002
ACH-000115,-0.35955771670000003
ACH-000116,-0.0280281620473
ACH-000118,0.09100030225479999
ACH-000120,-0.313953621935
ACH-000123,-0.287844913764
ACH-000127,-0.140461030747
ACH-000128,-0.0359445587438
ACH-000132,-0.246269611316
ACH-000133,-0.0149878886634
ACH-000137,-0.027105883500799996
ACH-000138,-0.25941665625599997
ACH-000142,-0.382334920381
ACH-000143,-0.25709279099300003
ACH-000146,-0.134141341977
ACH-000148,-0.19238357055799998
ACH-000150,0.014223672137
ACH-000152,-0.303777245792
ACH-000153,-0.326835811277
ACH-000159,-0.17649838414000002
ACH-000160,-0.278639128715
ACH-000163,-0.20954536487199998
ACH-000167,-0.382502114509
ACH-000168,-0.331906999694
ACH-000169,-0.12479719142899999
ACH-000178,-0.151299566383
ACH-000182,-0.164871179911
ACH-000183,0.152386965223
ACH-000188,-0.053008987887500005
ACH-000189,-0.313240125702
ACH-000190,-0.215347339798
ACH-000198,-0.155729665161
ACH-000204,-0.0843231017145
ACH-000206,-0.0796797764797
ACH-000207,-0.225636948154
ACH-000211,0.09346574345010002
ACH-000215,-0.27709429340799996
ACH-000221,-0.00938587961202
ACH-000222,-0.271860373587
ACH-000223,-0.195173053766
ACH-000226,-0.23405448415
ACH-000227,-0.14205255337300002
ACH-000228,0.005419937260949999
ACH-000231,-0.32445427325599996
ACH-000232,-0.162293176048
ACH-000233,-0.09470404215710002
ACH-000234,-0.0339375575275
ACH-000235,-0.260018366278
ACH-000237,-0.323209622159
ACH-000238,-0.27745849026
ACH-000243,-0.059345296041199994
ACH-000244,-0.618447587191
ACH-000246,-0.441467325507
ACH-000248,-0.252404983535
ACH-000250,-0.33258971169
ACH-000251,-0.0533706918005
ACH-000253,-0.188077446807
ACH-000255,-0.277623988774
ACH-000256,-0.26838188799199997
ACH-000257,0.0684473813052
ACH-000258,0.058265981831099996
ACH-000259,-0.121032517393
ACH-000260,0.00387489414504
ACH-000261,-0.141445471413
ACH-000262,-0.504679277083
ACH-000263,-0.137012970087
ACH-000264,-0.090508715285
ACH-000265,-0.0373306318075
ACH-000266,-0.247647272005
ACH-000272,-0.294086850281
ACH-000273,-0.218267184491
ACH-000274,-0.379740908753
ACH-000277,-0.306961655597
ACH-000278,-0.211574595299
ACH-000279,-0.10974898659299999
ACH-000280,-0.460437967552
ACH-000281,-0.183957520249
ACH-000288,-0.249696183955
ACH-000291,-0.451020382873
ACH-000293,-0.0605718645309
ACH-000294,0.007408969559619999
ACH-000295,0.017124731073200002
ACH-000296,0.015526788163299998
ACH-000302,-0.210610204819
ACH-000304,-0.288426144075
ACH-000307,-0.237586286064
ACH-000308,-0.0616961604246
ACH-000310,0.0417101608823
ACH-000311,-0.269926671153
ACH-000312,0.00369940646373
ACH-000315,-0.382199735431
ACH-000316,-0.0400402030456
ACH-000317,-0.0763996678066
ACH-000318,-0.156959426515
ACH-000319,-0.0931086551293
ACH-000320,-0.00405235706367
ACH-000322,-0.17227382599399998
ACH-000323,0.0789802751698
ACH-000324,-0.297304918386
ACH-000329,-0.28271275094500004
ACH-000330,-0.17445813111699998
ACH-000331,-0.675449404884
ACH-000332,-0.17717489305700002
ACH-000334,-0.16646098996300002
ACH-000335,-0.342517437892
ACH-000336,-0.315876565945
ACH-000337,-0.270922211915
ACH-000339,-0.12008608544299999
ACH-000341,0.06044260984349999
ACH-000348,-0.35816388226999996
ACH-000350,-0.15354136991800002
ACH-000352,-0.308078827449
ACH-000356,-0.0889957338052
ACH-000361,-0.180551840707
ACH-000362,-0.08483873666439999
ACH-000363,0.159440690456
ACH-000364,-0.271483965957
ACH-000365,0.0292841758502
ACH-000366,-0.093671546757
ACH-000368,-0.162820257282
ACH-000374,0.134804956147
ACH-000375,-0.451452228249
ACH-000376,-0.150062474085
ACH-000381,-0.492008435101
ACH-000383,-0.148883871835
ACH-000387,-0.0870182337933
ACH-000389,-0.22280725340100002
ACH-000390,-0.282437261943
ACH-000393,-0.18410616797200002
ACH-000395,-0.203459018405
ACH-000397,-0.158049553058
ACH-000401,-0.325826402915
ACH-000402,0.106694732542
ACH-000403,-0.135472157945
ACH-000404,-0.142957610382
ACH-000406,-0.0927670000389
ACH-000407,-0.308027876176
ACH-000408,-0.314393117381
ACH-000410,-0.249798966577
ACH-000411,-0.17121471338
ACH-000414,-0.190234046479
ACH-000415,-0.0456277553649
ACH-000416,-0.00967620556874
ACH-000420,-0.05620733263719999
ACH-000421,-0.096033449012
ACH-000424,-0.11810184011600001
ACH-000425,0.102733721311
ACH-000426,0.178563975412
ACH-000427,-0.153641151235
ACH-000433,0.0403618810687
ACH-000436,0.16398704608
ACH-000444,-0.22590380215999997
ACH-000445,-0.162726649212
ACH-000448,-0.203020700664
ACH-000450,-0.136891114489
ACH-000452,0.00776750906401
ACH-000454,-0.28398907533000006
ACH-000458,-0.323932946609
ACH-000459,-0.0416301194045
ACH-000460,0.020651033719099997
ACH-000461,-0.35493752475
ACH-000463,-0.212399757055
ACH-000464,-0.0348671694795
ACH-000466,-0.28945795101
ACH-000467,-0.138171320306
ACH-000468,-0.09530702073030001
ACH-000469,-0.20890477735100002
ACH-000470,-0.37732505729800003
ACH-000471,-0.201724387106
ACH-000472,-0.23417353959000003
ACH-000473,-0.24178952815000002
ACH-000475,-0.22947945919100002
ACH-000476,-0.006052338608199999
ACH-000477,-0.33722420079000004
ACH-000480,-0.35179413274599997
ACH-000481,-0.22134961204
ACH-000483,0.13478880516300001
ACH-000484,-0.138001974177
ACH-000485,-0.40431340501900004
ACH-000486,-0.30118502676
ACH-000487,0.00783539186401
ACH-000488,-0.125444147253
ACH-000490,-0.39197034020000004
ACH-000491,-0.125156259727
ACH-000495,-0.209235120383
ACH-000496,-0.11939047748400002
ACH-000499,0.046691710602900005
ACH-000500,-0.254929130048
ACH-000502,-0.0866435823925
ACH-000503,-0.428485239547
ACH-000505,-0.35640029263800005
ACH-000507,-0.10744191003100001
ACH-000510,-0.00576552836819
ACH-000511,-0.126419146856
ACH-000512,0.0750316797347
ACH-000516,-0.37131664565399997
ACH-000517,-0.25959306267099996
ACH-000518,-0.25883880564899997
ACH-000520,-0.195877811453
ACH-000521,-0.342124455656
ACH-000522,-0.0760500565091
ACH-000524,-0.340289732984
ACH-000527,-0.15493903686
ACH-000528,-0.027506169018799997
ACH-000537,-0.00891170608862
ACH-000541,-0.36907866640000003
ACH-000542,-0.287578297379
ACH-000544,-0.194149137616
ACH-000545,-0.185333520546
ACH-000547,-0.276361396709
ACH-000548,-0.100962747465
ACH-000549,-0.38300016079800003
ACH-000550,-0.267736270853
ACH-000552,-0.153620930899
ACH-000556,-0.310207718503
ACH-000557,0.00415581911547
ACH-000570,-0.270810552716
ACH-000571,-0.167439979716
ACH-000573,-0.00304467614886
ACH-000576,0.165359706704
ACH-000580,-0.182377668266
ACH-000584,-0.318578830832
ACH-000585,-0.062599219256
ACH-000588,-0.004762443908130001
ACH-000589,-0.0157720180568
ACH-000591,-0.23045427306999997
ACH-000593,-0.306812333268
ACH-000600,-0.146517446205
ACH-000601,-0.272473771661
ACH-000604,-0.0560099553464
ACH-000605,-0.149730326829
ACH-000606,-0.0072931579662200005
ACH-000608,-0.20386902564
ACH-000614,-0.0405861127221
ACH-000616,0.025911443008300002
ACH-000618,-0.17650917345800002
ACH-000619,-0.283817874946
ACH-000620,-0.07426042516360001
ACH-000621,-0.226310753974
ACH-000622,0.0540774969544
ACH-000623,-0.259799296002
ACH-000624,-0.208337589501
ACH-000627,-0.292288294547
ACH-000630,-0.0446241713314
ACH-000632,-0.032178000622099995
ACH-000633,-0.0124849202399
ACH-000637,0.052028394616400006
ACH-000638,-0.291858260706
ACH-000646,-0.240405303555
ACH-000647,-0.13994725439300001
ACH-000648,0.013294628240399998
ACH-000649,-0.0633602177355
ACH-000651,0.0015656677759199999
ACH-000652,-0.281121292311
ACH-000653,-0.175038442131
ACH-000657,-0.112080548992
ACH-000658,0.11754358683800001
ACH-000661,0.07770977504210001
ACH-000662,0.0283369182002
ACH-000663,-0.290970884273
ACH-000665,-0.042117628941000004
ACH-000671,-0.258240584088
ACH-000673,-0.319528495113
ACH-000676,-0.12038569674699999
ACH-000677,-0.357117181908
ACH-000681,-0.228879864481
ACH-000682,-0.265132499731
ACH-000683,-0.113437181769
ACH-000684,-0.287302101125
ACH-000688,-0.234447463992
ACH-000693,-0.0930083851075
ACH-000694,-0.359773040414
ACH-000695,0.116710903694
ACH-000696,-0.29757823363200003
ACH-000697,-0.252961915602
ACH-000699,-0.011720376649499998
ACH-000701,-0.552778392643
ACH-000706,-0.103547059621
ACH-000711,-0.17583754403000001
ACH-000713,-0.219271023666
ACH-000714,-0.0972952745813
ACH-000718,-0.40687651929499996
ACH-000720,-0.22878507880399998
ACH-000721,-0.40731195186499997
ACH-000724,-0.291763251444
ACH-000725,-0.27218477193
ACH-000732,-0.31153616503000003
ACH-000734,-0.149253706489
ACH-000735,-0.273725287789
ACH-000736,-0.208627761426
