,HNRNPA2B1 (3181)
ACH-000004,-0.309213984245
ACH-000007,-0.22405228364500002
ACH-000009,-0.018949759635700003
ACH-000011,-0.721939215919
ACH-000012,-0.39343887266000005
ACH-000013,-0.31355303573000004
ACH-000014,-0.577199570907
ACH-000015,-0.37217653760200003
ACH-000017,-0.7728835745
ACH-000018,-0.227223937386
ACH-000019,0.000302811408309
ACH-000021,-0.636027362072
ACH-000022,-0.29000312098000003
ACH-000025,-0.21661136833
ACH-000028,-0.431163163019
ACH-000030,0.0672610274222
ACH-000035,-0.297713168834
ACH-000036,-0.400085371897
ACH-000037,-0.452055232109
ACH-000039,-0.5100275909399999
ACH-000040,-0.149695324432
ACH-000041,-0.0409554308346
ACH-000042,-0.307613915826
ACH-000045,-0.441560892333
ACH-000047,-0.508321684594
ACH-000052,-0.288156213173
ACH-000053,-0.214471135785
ACH-000054,-0.573921050379
ACH-000055,-0.0255798912788
ACH-000060,-0.471959810365
ACH-000067,-0.573723465513
ACH-000070,-0.317523348209
ACH-000075,-0.460369026167
ACH-000078,-0.24958203045699998
ACH-000082,-0.43354209419600004
ACH-000085,-0.14266413438300002
ACH-000086,0.09588716178689999
ACH-000087,-0.44668286100000004
ACH-000092,-0.11745902705999998
ACH-000095,-0.556005903753
ACH-000097,-0.263787129017
ACH-000098,-0.6150213332069999
ACH-000099,-0.526461684325
ACH-000108,-0.587964909131
ACH-000113,-0.612886784328
ACH-000115,-0.213796667146
ACH-000116,-0.574216648956
ACH-000118,-0.643506358504
ACH-000120,-0.359294873552
ACH-000123,-0.89880233202
ACH-000127,-0.38041519082900005
ACH-000128,-0.776404282184
ACH-000132,-0.14203141724999999
ACH-000133,-0.652974744998
ACH-000137,-0.549443678807
ACH-000138,-0.197971558937
ACH-000142,-0.435993573367
ACH-000143,0.0880808954297
ACH-000146,-0.867671894861
ACH-000148,-0.277413020251
ACH-000150,-0.36996489663099996
ACH-000152,-0.37412710210600003
ACH-000153,-0.51070182742
ACH-000159,-0.6485458572380001
ACH-000160,0.114159467289
ACH-000163,0.125483672709
ACH-000167,0.147629004958
ACH-000168,0.030495739841200003
ACH-000169,0.300191007435
ACH-000178,-0.21480262136199998
ACH-000182,-0.37504113494999997
ACH-000183,-0.5494468493460001
ACH-000188,-0.10180572006699999
ACH-000189,-1.04848533096
ACH-000190,0.170638191602
ACH-000198,-0.9185094414309999
ACH-000204,-0.567708879501
ACH-000206,-0.869697956584
ACH-000207,-0.499974534317
ACH-000211,-0.667728457711
ACH-000215,-0.21120531453699998
ACH-000221,-0.254562931802
ACH-000222,-0.377868118011
ACH-000223,-0.0735989193552
ACH-000226,-0.122671253924
ACH-000227,-0.44496838168
ACH-000228,-0.44722743690800004
ACH-000231,-0.285773456359
ACH-000232,0.0105927322084
ACH-000233,-0.326998017747
ACH-000234,-0.668055374799
ACH-000235,-0.416725956086
ACH-000237,-0.36819744122500003
ACH-000238,-0.303119466825
ACH-000243,-0.682437788912
ACH-000244,0.23191838236200002
ACH-000246,-0.829700025551
ACH-000248,-0.281486588198
ACH-000250,-0.698061363899
ACH-000251,-0.120758997062
ACH-000253,-0.35294055016599996
ACH-000255,-0.18952390327100002
ACH-000256,-0.300130586648
ACH-000257,-0.48784700423999994
ACH-000258,-0.777658775607
ACH-000259,-0.170840872728
ACH-000260,-0.0306971674741
ACH-000261,-0.671747911148
ACH-000262,-1.0490697618
ACH-000263,-0.5183391204410001
ACH-000264,-0.36761832849200005
ACH-000265,-0.601061490675
ACH-000266,-0.10750395392100001
ACH-000272,-0.6991724703759999
ACH-000273,-0.324338161465
ACH-000274,0.354126885334
ACH-000277,-0.113740914695
ACH-000278,-0.141697194859
ACH-000279,-0.16492877158299998
ACH-000280,-0.40791990888
ACH-000281,0.270981311393
ACH-000288,-0.560669036555
ACH-000291,-0.443709913778
ACH-000293,-0.407620726303
ACH-000294,-0.07422563441610001
ACH-000295,-0.480609020206
ACH-000296,-0.321392408889
ACH-000302,-0.499115216309
ACH-000304,-0.06922719258980001
ACH-000307,-0.276012753733
ACH-000308,-0.10790063793099999
ACH-000310,0.103528952762
ACH-000311,-0.758388125894
ACH-000312,-0.185743125955
ACH-000315,-0.8123156175730001
ACH-000316,-0.45793926610799995
ACH-000317,-0.381383633627
ACH-000318,-0.417427984621
ACH-000319,-0.372006191026
ACH-000320,-0.11683035339600001
ACH-000322,-0.50845972743
ACH-000323,0.00903463976765
ACH-000324,-0.691353475869
ACH-000329,-0.105019162035
ACH-000330,-0.63109761431
ACH-000331,-0.25389455631200003
ACH-000332,-0.262788718973
ACH-000334,-0.0316890639205
ACH-000335,-0.241631720266
ACH-000336,-0.262726254161
ACH-000337,-0.148636287117
ACH-000339,-0.322748114556
ACH-000341,-0.07681300630599999
ACH-000348,-0.477823087628
ACH-000350,-0.366250209238
ACH-000352,-0.426110626625
ACH-000356,-0.413555404558
ACH-000361,-0.487892177724
ACH-000362,-0.6347064332
ACH-000363,-0.0599877234973
ACH-000364,-0.394769655745
ACH-000365,-0.298088132944
ACH-000366,-0.482252866553
ACH-000368,-0.273846630978
ACH-000374,-0.535519532382
ACH-000375,-0.0792956001727
ACH-000376,-0.407206289886
ACH-000381,-0.09497990655750001
ACH-000383,-0.25956900038
ACH-000387,-0.010832491810700002
ACH-000389,-0.916259802594
ACH-000390,-0.134810504995
ACH-000393,-0.673634950693
ACH-000395,-0.293781667691
ACH-000397,-0.283113259972
ACH-000401,-0.862550569994
ACH-000402,-0.185905700181
ACH-000403,-0.237162583123
ACH-000404,-0.277254229786
ACH-000406,-0.57876701775
ACH-000407,0.181583734659
ACH-000408,-0.183605096416
ACH-000410,-0.69723635391
ACH-000411,-0.7259418024869999
ACH-000414,-0.47403640041
ACH-000415,-0.39087050236500004
ACH-000416,-0.289239458413
ACH-000420,-0.49658747992200003
ACH-000421,-0.155319289336
ACH-000424,-0.0755830437327
ACH-000425,-0.687901300602
ACH-000426,-0.443806791827
ACH-000427,0.035736118685800004
ACH-000433,-0.38433991570799997
ACH-000436,-0.169340236616
ACH-000444,-0.9888028857860001
ACH-000445,-0.20099879086199998
ACH-000448,-0.12461809104
ACH-000450,0.00575983519476
ACH-000452,-0.308431933878
ACH-000454,-0.284131087931
ACH-000458,-0.06424555541799999
ACH-000459,-0.9385522790559999
ACH-000460,-0.572463168723
ACH-000461,-0.203347785498
ACH-000463,-0.178431294065
ACH-000464,-0.264939057518
ACH-000466,-0.18089756237100002
ACH-000467,-0.322983364629
ACH-000468,-0.459092702056
ACH-000469,-0.270668195178
ACH-000470,-0.294506067813
ACH-000471,-0.30218014267099996
ACH-000472,-0.291868676152
ACH-000473,0.162342352503
ACH-000475,0.023544198767
ACH-000476,-0.6131073889399999
ACH-000477,-0.254744123846
ACH-000480,-0.09227315805780001
ACH-000481,-0.731396617163
ACH-000483,0.00746202330538
ACH-000484,-0.494455994334
ACH-000485,0.0752456095543
ACH-000486,-0.170347880836
ACH-000487,0.185318613885
ACH-000488,-0.378252249744
ACH-000490,-0.6763577899240001
ACH-000491,-0.184133450009
ACH-000495,-0.380790029454
ACH-000496,-0.158573511223
ACH-000499,-0.7869444123970001
ACH-000500,-0.36144171435
ACH-000502,-0.40216826130500005
ACH-000503,-0.830908972448
ACH-000505,0.11042873252299999
ACH-000507,-0.403098626186
ACH-000510,-0.13619322912999998
ACH-000511,0.11543506855900001
ACH-000512,-0.22799709536899998
ACH-000516,-0.22845870041400002
ACH-000517,-0.182425631636
ACH-000518,-0.480635655224
ACH-000520,-0.277209482944
ACH-000521,-0.33342632073899997
ACH-000522,-0.44899712916100004
ACH-000524,-0.32783950634
ACH-000527,-0.343522567632
ACH-000528,-0.593767841679
ACH-000537,-0.309378192873
ACH-000541,-0.512146303933
ACH-000542,-0.292906158193
ACH-000544,-0.483922978984
ACH-000545,-0.230339540805
ACH-000547,0.260506380497
ACH-000548,-0.530137220846
