,TERT (7015)
ACH-000004,-0.339641423406
ACH-000007,-0.12959128910700002
ACH-000009,-0.26208089101599996
ACH-000011,-0.290674454154
ACH-000012,-0.15391604866
ACH-000013,-0.042625925439800004
ACH-000014,-0.10855579845300001
ACH-000015,0.00885882865092
ACH-000017,0.012290728576700001
ACH-000018,-0.08596969297399999
ACH-000019,0.0839707119818
ACH-000021,0.108769587254
ACH-000022,-0.166419921437
ACH-000025,-0.0323037407099
ACH-000028,-0.007184496345729999
ACH-000030,-0.039424956192300006
ACH-000035,-0.00992265269546
ACH-000036,0.0104028423752
ACH-000037,-0.237898989311
ACH-000039,0.0597956342461
ACH-000040,-0.0606171233794
ACH-000041,0.0553938024051
ACH-000042,-0.139421777381
ACH-000045,-0.810814193678
ACH-000047,-0.155704807634
ACH-000052,-0.195567322093
ACH-000053,-0.0685731303706
ACH-000054,-0.28889574853300004
ACH-000055,-0.48663013091000007
ACH-000060,-0.132480524953
ACH-000067,-0.026118060683
ACH-000070,0.09467600041239999
ACH-000075,0.04634432796630001
ACH-000078,-0.130060993295
ACH-000082,-0.029412210814
ACH-000085,0.104959178041
ACH-000086,0.082453205637
ACH-000087,-0.060966418919
ACH-000092,-0.07651769990960001
ACH-000095,-0.487851523726
ACH-000097,-0.137709729699
ACH-000098,-0.0331014365447
ACH-000099,-0.210049714648
ACH-000108,-0.0901472088175
ACH-000113,-0.484288362555
ACH-000115,0.107621733005
ACH-000116,-0.0479139990473
ACH-000118,-0.0988138608807
ACH-000120,-0.368988317314
ACH-000123,0.018795434806400002
ACH-000127,-0.19692353427
ACH-000128,-0.156203117176
ACH-000132,-0.215689411633
ACH-000133,0.127357840746
ACH-000137,-0.15389791193
ACH-000138,-0.17578282700599998
ACH-000142,0.0736295319007
ACH-000143,-0.214590148521
ACH-000146,-0.1396786516
ACH-000148,-0.09939999241530001
ACH-000150,-0.228274224371
ACH-000152,-0.009894178585780001
ACH-000153,-0.313642696752
ACH-000159,-0.102606162392
ACH-000160,0.326394485282
ACH-000163,-0.0417363484017
ACH-000167,0.909241093751
ACH-000168,-0.443534146527
ACH-000169,0.016851148849299998
ACH-000178,-0.308963886551
ACH-000182,-0.23528707995099998
ACH-000183,0.019892351250599998
ACH-000188,-0.08714403270530001
ACH-000189,-0.192559260521
ACH-000190,0.358750425257
ACH-000198,-0.7231339548289999
ACH-000204,-0.0903748655245
ACH-000206,-0.37395841254100004
ACH-000207,0.0509339481393
ACH-000211,0.010952963230399999
ACH-000215,-0.065313769544
ACH-000221,-0.41568598763899994
ACH-000222,-0.195697476065
ACH-000223,-0.0505484911426
ACH-000226,-0.101746417125
ACH-000227,0.0187094884341
ACH-000228,-0.34606577366999997
ACH-000231,-0.124171731143
ACH-000232,-0.0441063335116
ACH-000233,-0.005509246456439999
ACH-000234,-0.0899062912127
ACH-000235,-0.164394878218
ACH-000237,-0.0219131306806
ACH-000238,-0.224006884626
ACH-000243,-0.166067461183
ACH-000244,-0.18832348765
ACH-000246,-0.130378455369
ACH-000248,0.0038120331189899995
ACH-000250,-0.0999833098233
ACH-000251,0.0458738395314
ACH-000253,-0.0505310309286
