,DUXA (503835)
ACH-000004,-0.10841002946799999
ACH-000007,-0.122037575022
ACH-000009,-0.11919948309900001
ACH-000011,0.0371158200785
ACH-000012,-0.113585622153
ACH-000013,-0.17355869691599998
ACH-000014,0.0609565958135
ACH-000015,-0.158787968499
ACH-000017,0.012066081455600002
ACH-000018,-0.275399512418
ACH-000019,-0.20228410549000003
ACH-000021,-0.145535002947
ACH-000022,-0.0257837610539
ACH-000025,-0.0154305466054
ACH-000028,-0.0508474116244
ACH-000030,-0.245383019395
ACH-000035,-0.189379707421
ACH-000036,-0.0190764191487
ACH-000037,0.0594748138266
ACH-000039,0.0982058444726
ACH-000040,-0.0905235257473
ACH-000041,-0.146789192735
ACH-000042,-0.135636305073
ACH-000045,-0.0792871555494
ACH-000047,0.178456772258
ACH-000052,-0.0739810383933
ACH-000053,-0.0562810745711
ACH-000054,-0.027484446075
ACH-000055,-0.0197808088684
ACH-000060,0.0337378116411
ACH-000067,-0.17522633932700002
ACH-000070,-0.0350041439956
ACH-000075,-0.117704973702
ACH-000078,0.00188336831367
ACH-000082,-0.029500427197699998
ACH-000085,-0.04957026319490001
ACH-000086,-0.0893850803545
ACH-000087,0.0552896318394
ACH-000092,-0.10042468339999999
ACH-000095,-0.0699075310728
ACH-000097,-0.122053628944
ACH-000098,-0.167188619203
ACH-000099,-0.192378065364
ACH-000108,-0.12478494516
ACH-000113,-0.14612682254
ACH-000115,-0.120423294953
ACH-000116,-0.0343254868738
ACH-000118,-0.11325085044500001
ACH-000120,-0.10194449675100001
ACH-000123,-0.101537779975
ACH-000127,-0.17603327139699998
ACH-000128,-0.101865777857
ACH-000132,-0.18354006652600002
ACH-000133,0.0675347719626
ACH-000137,0.0211175829758
ACH-000138,-0.107465124808
ACH-000142,-0.0857010731147
ACH-000143,-0.175525657705
ACH-000146,-0.0017963638136900002
ACH-000148,0.006005424653760001
ACH-000150,-0.22237216443100002
ACH-000152,0.009587012145049999
ACH-000153,-0.257286408748
ACH-000159,0.005208721661520001
ACH-000160,-0.128762920459
ACH-000163,-0.118005531038
ACH-000167,-0.184737354358
ACH-000168,-0.0254449586147
ACH-000169,-0.0236598464897
ACH-000178,-0.06816324247309999
ACH-000182,-0.0400189661376
ACH-000183,-0.27968657547
ACH-000188,-0.0202580993034
ACH-000189,-0.197369764313
ACH-000190,-0.21623170744800002
ACH-000198,-0.18139138799600002
ACH-000204,-0.087745983826
ACH-000206,-0.153411233495
ACH-000207,-0.161877585244
ACH-000211,-0.0805310490335
ACH-000215,-0.0975966263409
ACH-000221,-0.08040416653360001
ACH-000222,-0.583744201691
ACH-000223,-0.228182635066
ACH-000226,0.0327477861187
ACH-000227,0.00222423168069
ACH-000228,-0.079981330703
ACH-000231,-0.0471623316699
ACH-000232,-0.205188606172
ACH-000233,-0.130216886457
ACH-000234,-0.0773100683975
ACH-000235,-0.100518240538
ACH-000237,-0.051765490139199996
ACH-000238,-0.152573854073
ACH-000243,-0.0914609676317
ACH-000244,-0.38298749976199997
ACH-000246,-0.0748994864535
ACH-000248,-0.0648268130888
ACH-000250,-0.12088653886600001
ACH-000251,-0.07621773507849999
ACH-000253,0.0099041688483
ACH-000255,-0.0866872678454
ACH-000256,0.1179229924
ACH-000257,-0.27306440057
ACH-000258,-0.0330053047211
ACH-000259,-0.13692583107
ACH-000260,-0.0514617284462
ACH-000261,-0.105312637836
ACH-000262,-0.107470350546
ACH-000263,-0.113880828731
ACH-000264,-0.009099768568700001
ACH-000265,0.0517556471126
ACH-000266,-0.16912985202199998
ACH-000272,-0.105784091159
ACH-000273,-0.21542690888399998
ACH-000274,-0.235994064654
ACH-000277,-0.246433137665
ACH-000278,-0.0942101824918
ACH-000279,-0.244169489269
ACH-000280,-0.0470002647535
ACH-000281,-0.215956378023
ACH-000288,-0.06163904787669999
ACH-000291,-0.0601513433404
ACH-000293,-0.10180412197899999
ACH-000294,0.112295802063
ACH-000295,-0.12013864503699999
ACH-000296,0.07323067888889999
ACH-000302,-0.314373010254
ACH-000304,-0.20856753159000002
ACH-000307,-0.056856666256099996
ACH-000308,-0.132271014541
ACH-000310,-0.0604546422327
ACH-000311,-0.20302939784899998
