,DLGAP5 (9787)
ACH-000004,-0.10413784568199999
ACH-000007,-0.07371774972680001
ACH-000009,-0.38296542308700005
ACH-000011,-0.511444719914
ACH-000012,-0.309988086848
ACH-000013,-0.185656759432
ACH-000014,-0.104346117554
ACH-000015,-0.18162399386300002
ACH-000017,-0.313908944647
ACH-000018,-0.0457740436271
ACH-000019,-0.13904124396
ACH-000021,-0.24024116135899998
ACH-000022,-0.103101548053
ACH-000025,-0.23017699501699998
ACH-000028,-0.0881500409794
ACH-000030,-0.468629984287
ACH-000035,-0.049647130275600006
ACH-000036,-0.06471581602649999
ACH-000037,-0.157682107979
ACH-000039,-0.163849606183
ACH-000040,-0.130840223073
ACH-000041,-0.23437077663800002
ACH-000042,-0.348687759362
ACH-000045,0.0864157727313
ACH-000047,-0.538355150628
ACH-000052,0.111095207451
ACH-000053,-0.34614036663500003
ACH-000054,-0.555093379508
ACH-000055,-0.107355691049
ACH-000060,-0.457973498606
ACH-000067,0.13256466377999998
ACH-000070,-0.034262398691099996
ACH-000075,-0.11787774629100001
ACH-000078,-0.36759468718099997
ACH-000082,-0.218025801315
ACH-000085,-0.34084848074
ACH-000086,-0.37068773446599995
ACH-000087,0.306476632445
ACH-000092,-0.18677018690299999
ACH-000095,-0.505468699162
ACH-000097,-0.536191496237
ACH-000098,0.0234806542262
ACH-000099,-0.328464375703
ACH-000108,-0.665069301084
ACH-000113,-0.217835451869
ACH-000115,-0.131404176335
ACH-000116,-0.209276408376
ACH-000118,-0.261769432071
ACH-000120,-0.25542092415199996
ACH-000123,-0.48665944193899996
ACH-000127,-0.0726680732416
ACH-000128,-0.106948112187
ACH-000132,-0.07892140754110001
ACH-000133,-0.299761921093
ACH-000137,-0.0981455956697
ACH-000138,-0.34952901728
ACH-000142,-0.427988698875
ACH-000143,0.0436512614893
ACH-000146,-0.462873889343
ACH-000148,-0.00267359233129
ACH-000150,0.0193531211972
ACH-000152,-0.221415696474
ACH-000153,-0.25992777492400004
ACH-000159,-0.0259764640837
ACH-000160,-0.179734296397
ACH-000163,-0.21260436448800002
ACH-000167,-0.416517114322
ACH-000168,-0.136705512364
ACH-000169,-0.124923978532
ACH-000178,-0.246277016144
ACH-000182,-0.0370573898017
ACH-000183,-0.0318139412768
ACH-000188,-0.246876556852
ACH-000189,-0.39918035759900006
ACH-000190,-0.14189518807600002
ACH-000198,-0.432635635616
ACH-000204,-0.19601549055300002
ACH-000206,-0.0177104896577
ACH-000207,-0.559538153779
ACH-000211,-0.391488692953
ACH-000215,-0.140341760708
ACH-000221,0.00200025205981
ACH-000222,-0.41009401320699995
ACH-000223,-0.284557671885
ACH-000226,-0.20137364493
ACH-000227,-0.247459322849
ACH-000228,-0.363975933684
ACH-000231,-0.32143425042
ACH-000232,-0.0103276895519
ACH-000233,-0.208242372685
ACH-000234,-0.114175606816
ACH-000235,-0.153986147235
ACH-000237,-0.457043846718
ACH-000238,-0.357443203227
ACH-000243,-0.34930256295199996
ACH-000244,-0.442984033689
ACH-000246,-0.5400069905520001
ACH-000248,-0.38295854821900005
ACH-000250,-0.47046335931
ACH-000251,0.042149035885800004
ACH-000253,-0.18905153555100002
ACH-000255,-0.191885079228
ACH-000256,-0.345644525835
ACH-000257,-0.141616337622
ACH-000258,0.0237364910395
ACH-000259,-0.271051950624
ACH-000260,-0.731204654117
ACH-000261,-0.563240684208
ACH-000262,-0.36843370723200003
ACH-000263,0.0077850705432400006
ACH-000264,-0.369743529149
ACH-000265,-0.25072118848700004
ACH-000266,-0.310611035775
ACH-000272,-0.111536695238
ACH-000273,0.0020179269165999996
ACH-000274,-0.14258210251700001
ACH-000277,-0.0502596109381
ACH-000278,-0.349467119886
ACH-000279,-0.327696087834
ACH-000280,-0.178714463198
ACH-000281,-0.324974871272
ACH-000288,-0.311430792363
ACH-000291,-0.0386095973806
ACH-000293,-0.330267464958
ACH-000294,-0.20047394658
ACH-000295,0.0516391086946
ACH-000296,-0.34554482503300005
ACH-000302,-0.17187715379299998
ACH-000304,-0.07100303780610001
ACH-000307,-0.0269323894398
ACH-000308,-0.227461014011
ACH-000310,-0.515489151222
ACH-000311,-0.502985594375
ACH-000312,-0.34868420934
ACH-000315,-0.338882191266
ACH-000316,-0.205297694002
ACH-000317,-0.024519885002200002
ACH-000318,-0.17546029447099998
ACH-000319,-0.12435416447
ACH-000320,-0.303994103069
ACH-000322,-0.482866222298
ACH-000323,-0.08486762191860002
ACH-000324,-0.45349852517399997
ACH-000329,-0.309217702708
ACH-000330,-0.0308339536559
ACH-000331,-0.10267841301200001
ACH-000332,-0.298084663641
ACH-000334,-0.543827614846
ACH-000335,-0.34519020471600004
ACH-000336,0.11331424946699999
ACH-000337,-0.10009934671199999
ACH-000339,-0.115755457779
ACH-000341,-0.34977568500600004
ACH-000348,-0.34175500543700005
ACH-000350,-0.061186304167300004
ACH-000352,-0.33973157605099996
ACH-000356,-0.122425488801
ACH-000361,-0.19959123581799998
ACH-000362,-0.229720738268
ACH-000363,-0.116268002478
ACH-000364,-0.308141489201
ACH-000365,-0.20471552136399998
ACH-000366,-0.127078002475
ACH-000368,-0.35621680655599997
ACH-000374,-0.18924809275199997
ACH-000375,-0.236787273941
ACH-000376,-0.188896182459
ACH-000381,-0.18137707447299997
ACH-000383,-0.0972069759838
ACH-000387,-0.281632539173
ACH-000389,-0.295778857864
ACH-000390,-0.343427224521
ACH-000393,-0.383988728346
ACH-000395,-0.203938408181
ACH-000397,-0.49615314192599996
ACH-000401,-0.17317434729800002
ACH-000402,-0.53425952584
ACH-000403,-0.1978776657
ACH-000404,-0.0286344609636
ACH-000406,-0.597865358667
ACH-000407,-0.242283660618
ACH-000408,-0.432712627048
ACH-000410,0.0378226204547
ACH-000411,-0.407796234064
ACH-000414,-0.311794392541
ACH-000415,-0.237316915085
ACH-000416,-0.00263294919475
ACH-000420,-0.00167672801858
ACH-000421,0.026857880953799998
ACH-000424,0.024080301099299997
ACH-000425,-0.102822261921
ACH-000426,0.114070479807
ACH-000427,-0.14755770462099999
ACH-000433,-0.0432275289767
ACH-000436,-0.46199238213200006
ACH-000444,-0.323354259135
ACH-000445,-0.23356241227
ACH-000448,-0.285625630895
ACH-000450,-0.0983226895039
ACH-000452,-0.0765107427474
ACH-000454,-0.18239069446800002
ACH-000458,-0.149413972371
ACH-000459,-0.313960006393
ACH-000460,-0.423344738467
ACH-000461,-0.477338407946
ACH-000463,0.110810340573
ACH-000464,-0.0400047636162
ACH-000466,0.020440925096099998
ACH-000467,-0.15816744073300001
ACH-000468,-0.297720182446
ACH-000469,-0.639189290925
ACH-000470,-0.0113935334666
ACH-000471,-0.191255578624
ACH-000472,-0.181964943897
ACH-000473,0.068136458645
ACH-000475,-0.189347644989
ACH-000476,-0.324449087727
ACH-000477,-0.11905727971100001
ACH-000480,0.0152100186105
ACH-000481,-0.386372550404
ACH-000483,-0.164008237396
ACH-000484,-0.49597786773100005
ACH-000485,-0.627941437884
ACH-000486,-0.18653629879500003
ACH-000487,-0.497167021205
ACH-000488,-0.15277774240999997
ACH-000490,-0.318580011594
ACH-000491,-0.288661395232
ACH-000495,-0.8678618898010001
ACH-000496,-0.07638691629689999
ACH-000499,-0.0052033944892700005
ACH-000500,-1.0549462730099999
ACH-000502,-0.6861545702949999
ACH-000503,-0.0650169030802
ACH-000505,-0.06907004698369999
ACH-000507,-0.0321324449598
ACH-000510,-0.150124532724
ACH-000511,-0.147014396114
ACH-000512,-0.424892548547
ACH-000516,-0.0652714863138
