,MTHFS (10588)
ACH-000004,0.174752981008
ACH-000007,-0.348752167023
ACH-000009,-0.057780817732699996
ACH-000011,0.0573405676512
ACH-000012,0.0555820256284
ACH-000013,0.115286179781
ACH-000014,-0.111903103996
ACH-000015,-0.0031543602027800004
ACH-000017,0.012652602902899998
ACH-000018,-0.0207704742902
ACH-000019,-0.16870422507
ACH-000021,0.023537581850099996
ACH-000022,-0.0493034987074
ACH-000025,-1.68745691421e-05
ACH-000028,-0.11866976209100001
ACH-000030,-0.128521006069
ACH-000035,0.107577240012
ACH-000036,0.105803224929
ACH-000037,0.204450825443
ACH-000039,0.21804773802900002
ACH-000040,-0.18671633644900001
ACH-000041,-0.09894124181439999
ACH-000042,0.0058111945241699995
ACH-000045,0.16218288027
ACH-000047,-0.272876383752
ACH-000052,0.12788668345100002
ACH-000053,0.0646999172411
ACH-000054,0.109000506084
ACH-000055,-0.0770955965628
ACH-000060,-0.052971011233099996
ACH-000067,-0.0982338057182
ACH-000070,-0.232216482837
ACH-000075,-0.171156337967
ACH-000078,-0.0151197779666
ACH-000082,-0.0395641218665
ACH-000085,-0.110753882086
ACH-000086,-0.034621122428500004
ACH-000087,-0.29445387704799997
ACH-000092,-0.08604542890820001
ACH-000095,-0.09949594871020001
ACH-000097,-0.117990482586
ACH-000098,0.06995409504410001
ACH-000099,-0.026454984075099996
ACH-000108,0.0788093487697
ACH-000113,0.22790627453
ACH-000115,-0.08925941428539999
ACH-000116,0.0795073869297
ACH-000118,0.132875343013
ACH-000120,-0.132345291736
ACH-000123,0.043865372464600004
ACH-000127,-0.114240070407
ACH-000128,-0.023346671081099998
ACH-000132,-0.07224341276719999
ACH-000133,-0.0875913176727
ACH-000137,0.040833584552800006
ACH-000138,0.0379941985673
ACH-000142,0.126814576584
ACH-000143,-0.0395491280669
ACH-000146,-0.14409412111199998
ACH-000148,-0.0965622210405
ACH-000150,-0.0676810377816
ACH-000152,-0.0440188282266
ACH-000153,-0.329446551851
ACH-000159,-0.12175553999199999
ACH-000160,-0.0205785825399
ACH-000163,-0.11269773007000002
ACH-000167,-0.362919551371
ACH-000168,-0.0168875757104
ACH-000169,-0.141587470263
ACH-000178,-0.077549712167
ACH-000182,-0.0164741792456
ACH-000183,-0.0364356112282
ACH-000188,0.0999951119036
ACH-000189,0.162588817844
ACH-000190,-0.0579428370294
ACH-000198,-0.268408542172
ACH-000204,0.22939584708900002
ACH-000206,-0.248944114999
ACH-000207,-0.09119441281169999
ACH-000211,-0.0130183957707
ACH-000215,-0.0777299367744
ACH-000221,0.020940019122099997
ACH-000222,-0.0800973309012
ACH-000223,-0.0237685010761
ACH-000226,0.08902230398189999
ACH-000227,-0.0152128356779
ACH-000228,-0.164693764902
ACH-000231,-0.14823908063
ACH-000232,0.0466014849193
