,FERMT3 (83706)
ACH-000004,0.147390860406
ACH-000007,-0.041246002698900004
ACH-000009,-0.018689000856700003
ACH-000011,-0.119700977414
ACH-000012,-0.179415786737
ACH-000013,-0.09649787683399999
ACH-000014,0.128783397322
ACH-000015,-0.195577776663
ACH-000017,-0.132814293324
ACH-000018,-0.116839353834
ACH-000019,-0.21419078914999998
ACH-000021,-0.09952780150260002
ACH-000022,0.057324302520199995
ACH-000025,-0.24401122899
ACH-000028,-0.25307703156399997
ACH-000030,-0.112764418115
ACH-000035,-0.134420497542
ACH-000036,-0.0953814319757
ACH-000037,-0.338540274494
ACH-000039,0.058734237702
ACH-000040,-0.138834339977
ACH-000041,-0.0975643886149
ACH-000042,-0.30911126102200004
ACH-000045,-0.14178625491900002
ACH-000047,-0.136041072632
ACH-000052,-0.000683989351784
ACH-000053,-0.172111588552
ACH-000054,-0.012203890997899999
ACH-000055,-0.08993595464469999
ACH-000060,-0.167304942589
ACH-000067,-0.022205205919900002
ACH-000070,0.00855228166052
ACH-000075,-0.251107583462
ACH-000078,-0.125536332085
ACH-000082,-0.222705835903
ACH-000085,-0.22430909423
ACH-000086,-0.305398793124
ACH-000087,0.017499639985200002
ACH-000092,-0.22433358436
ACH-000095,-0.154822058783
ACH-000097,-0.16046975266799998
ACH-000098,-0.016004115495599998
ACH-000099,-0.0335688152881
ACH-000108,-0.0977485242252
ACH-000113,-0.21068555212
ACH-000115,-0.0391475407383
ACH-000116,-0.19790501510800002
ACH-000118,-0.266375538757
ACH-000120,-0.156027597001
ACH-000123,-0.115237044361
ACH-000127,0.0117177136555
ACH-000128,-0.0193474824057
ACH-000132,-0.08937416616180001
ACH-000133,-0.10551784258500001
ACH-000137,-0.188444021395
ACH-000138,-0.13339003398399998
ACH-000142,-0.178141606035
ACH-000143,0.0057188607583300004
ACH-000146,-0.21548238674400003
ACH-000148,-0.032220133837
ACH-000150,-0.2859843064
ACH-000152,0.0117342105271
ACH-000153,-0.13813747544000002
ACH-000159,-0.058739707626
ACH-000160,-0.0946630369964
ACH-000163,-0.0879181643056
ACH-000167,-0.127492939405
ACH-000168,-0.049725710735999996
ACH-000169,-0.231807970801
ACH-000178,-0.0453549677868
ACH-000182,0.0148512615089
ACH-000183,-0.135847165768
ACH-000188,-0.37518013517
ACH-000189,-0.383407642112
ACH-000190,-0.11988713642999999
ACH-000198,-0.055462220844300004
ACH-000204,-0.013672225242700002
ACH-000206,0.212147766426
ACH-000207,-0.44465324738300005
ACH-000211,-0.19811701830400003
ACH-000215,-0.0610306047898
ACH-000221,-0.135929580947
ACH-000222,-0.33680614584799995
ACH-000223,-0.012437363581999998
ACH-000226,-0.07763124230110001
ACH-000227,-0.159517826368
ACH-000228,-0.195653354794
ACH-000231,-0.21505758639699998
ACH-000232,-0.012126771575499998
ACH-000233,0.068664454779
ACH-000234,-0.31095938329
ACH-000235,-0.15280136235
ACH-000237,-0.204041984714
ACH-000238,-0.0371851117633
ACH-000243,-0.20636326725600002
ACH-000244,-0.274284282662
ACH-000246,-0.10452891598
ACH-000248,0.0973180756802
ACH-000250,-0.156062836797
ACH-000251,-0.040746434043099994
ACH-000253,-0.148525687395
ACH-000255,-0.0750831408216
ACH-000256,-0.30422568330099997
ACH-000257,-0.0612964622924
ACH-000258,0.261184513681
ACH-000259,-0.183108036763
ACH-000260,-0.157327508353
ACH-000261,-0.204036109379
ACH-000262,-0.26522507001400003
ACH-000263,-0.18671990655200002
ACH-000264,-0.09305392736330001
ACH-000265,-0.0659705915498
ACH-000266,-0.17770807808699998
ACH-000272,-0.0631771367813
ACH-000273,-0.157608865869
ACH-000274,0.0183103007085
ACH-000277,-0.0334144454815
ACH-000278,-0.053372949341
ACH-000279,-0.023831918146599997
ACH-000280,-0.14833988955900002
ACH-000281,-0.13414103566500002
ACH-000288,-0.104698333386
ACH-000291,-0.11887336969699999
ACH-000293,0.0347296866608
ACH-000294,-0.208761779406
ACH-000295,0.254771247041
ACH-000296,0.0121165093665
ACH-000302,-0.0548534860767
ACH-000304,-0.0111847050686
ACH-000307,-0.031453930841000004
ACH-000308,-0.23597447132899999
ACH-000310,-0.0304844744943
ACH-000311,-0.0339675573774
ACH-000312,0.062592952386
