,DNTTIP2 (30836)
ACH-000004,-0.261478035683
ACH-000007,-0.458001421823
ACH-000009,-0.736190569173
ACH-000011,-0.8324670069490001
ACH-000012,-0.54445075455
ACH-000013,-0.5422166873359999
ACH-000014,-0.613269318741
ACH-000015,-0.47804580591300005
ACH-000017,-0.44162485177
ACH-000018,-0.527143174872
ACH-000019,-0.7986094582500001
ACH-000021,-0.564854913067
ACH-000022,-0.6609238411330001
ACH-000025,-0.626486575404
ACH-000028,-0.7267593399
ACH-000030,-0.626796294996
ACH-000035,-0.659087004275
ACH-000036,-0.940036803474
ACH-000037,-0.704720846977
ACH-000039,-0.461296856915
ACH-000040,-0.727579410557
ACH-000041,-0.289085157971
ACH-000042,-0.48858382690700003
ACH-000045,-0.529322192827
ACH-000047,-0.43557394478999995
ACH-000052,-0.544455139301
ACH-000053,-0.455121471791
ACH-000054,-0.624451547536
ACH-000055,-0.491387395756
ACH-000060,-0.566694049238
ACH-000067,-0.675507512118
ACH-000070,-0.836184406945
ACH-000075,-0.8078346967100001
ACH-000078,-0.258964233178
ACH-000082,-0.526264962208
ACH-000085,-0.558552314408
ACH-000086,-0.706564375457
ACH-000087,-0.543262809339
ACH-000092,-0.731710884802
ACH-000095,-0.466825335828
ACH-000097,-0.7414896723890001
ACH-000098,-0.541695230374
ACH-000099,-0.62048372328
ACH-000108,-0.409594764538
ACH-000113,-0.7412636731209999
ACH-000115,-0.385065346645
ACH-000116,-0.462185189523
ACH-000118,-0.556987038458
ACH-000120,-0.654185409724
ACH-000123,-0.623932255379
ACH-000127,-0.363061141689
ACH-000128,-0.339242100855
ACH-000132,-0.697396209705
ACH-000133,-0.464728200734
ACH-000137,-0.6795304890389999
ACH-000138,-0.584395842516
ACH-000142,-0.850922828326
ACH-000143,-0.516909243531
ACH-000146,-0.517247734561
ACH-000148,-0.454696315224
ACH-000150,-0.733382153487
ACH-000152,-0.671783426401
ACH-000153,-0.6970058123649999
ACH-000159,-0.614770644452
ACH-000160,-0.48040370213600003
ACH-000163,-0.7448474762989999
ACH-000167,-0.6891562594570001
ACH-000168,-0.558883541746
ACH-000169,-0.381619386135
ACH-000178,-0.536198496238
ACH-000182,-0.40274567349
ACH-000183,-0.41410448891999996
ACH-000188,-0.36927440358900004
ACH-000189,-0.45493331616000005
ACH-000190,-0.645337112069
ACH-000198,-0.64140483343
ACH-000204,-0.47729936246699994
ACH-000206,-0.37935616231700003
ACH-000207,-0.692602978475
ACH-000211,-0.463038264257
ACH-000215,-0.634975375401
ACH-000221,-0.380229160718
ACH-000222,-0.632801026794
ACH-000223,-0.491858091
ACH-000226,-0.500188945101
ACH-000227,-0.494820880879
ACH-000228,-0.651624818349
ACH-000231,-0.676550046389
ACH-000232,-0.544637684286
ACH-000233,-0.485040727562
ACH-000234,-0.541465517721
ACH-000235,-0.622132787273
ACH-000237,-0.548281813125
ACH-000238,-0.497120439519
ACH-000243,-0.663239083139
ACH-000244,-0.662391899961
ACH-000246,-0.590870308213
ACH-000248,-0.6755177500380001
ACH-000250,-0.507421791077
ACH-000251,-0.457889759429
ACH-000253,-0.8002764856029999
ACH-000255,-0.754657286255
ACH-000256,-0.301417915827
ACH-000257,-0.705252032741
ACH-000258,-0.518839205172
ACH-000259,-0.326774581393
ACH-000260,-0.477002577671
ACH-000261,-0.9549192188689999
ACH-000262,-0.7234461201639999
ACH-000263,-0.623829136072
ACH-000264,-0.520777195844
ACH-000265,-0.617067365793
ACH-000266,-0.543544179478
ACH-000272,-0.7630975789910001
ACH-000273,-0.596881163203
ACH-000274,-0.7221300201890001
ACH-000277,-0.46279082890900003
ACH-000278,-0.605258231836
ACH-000279,-0.28756397320099997
ACH-000280,-0.45040741577200005
ACH-000281,-0.325972323348
ACH-000288,-0.469505803794
ACH-000291,-0.43847401880599995
ACH-000293,-0.822773545565
ACH-000294,-0.403567304298
ACH-000295,-0.374123595973
ACH-000296,-0.484359019294
ACH-000302,-0.522504922989
ACH-000304,-0.871564236681
ACH-000307,-0.516069897089
ACH-000308,-0.39549596705799994
ACH-000310,-0.562957939528
ACH-000311,-0.709467707995
ACH-000312,-0.630469286501
ACH-000315,-0.7421297130050001
ACH-000316,-0.46560424545199997
ACH-000317,-0.619020761193
ACH-000318,-0.34571543781900005
ACH-000319,-0.673960416587
ACH-000320,-0.43026935192500004
ACH-000322,-0.694478041183
ACH-000323,-0.741039114881
ACH-000324,-0.494069385999
ACH-000329,-0.510593139362
ACH-000330,-0.539250951873
ACH-000331,-0.682162370351
ACH-000332,-0.612983305396
ACH-000334,-0.867154083358
ACH-000335,-0.556577595544
ACH-000336,-0.8702224697930001
ACH-000337,-0.453875647958
ACH-000339,-0.566327756343
ACH-000341,-0.6298524178279999
ACH-000348,-0.574257654247
ACH-000350,-0.357743646793
ACH-000352,-0.520258243243
ACH-000356,-0.8368643973109999
ACH-000361,-0.528969534703
ACH-000362,-0.79977796997
ACH-000363,-0.64581421752
ACH-000364,-0.7127693184020001
ACH-000365,-0.640866470066
ACH-000366,-0.43081626093099995
ACH-000368,-0.5398691706409999
ACH-000374,-0.403938884019
ACH-000375,-0.738542243152
ACH-000376,-0.66163639649
ACH-000381,-0.469184412271
ACH-000383,-0.626043922705
ACH-000387,-0.784420541302
ACH-000389,-0.9088033053810001
ACH-000390,-0.553442923595
ACH-000393,-0.631429630679
ACH-000395,-0.45088996218500005
ACH-000397,-0.581175269583
ACH-000401,-0.453741197691
ACH-000402,-0.466734703287
ACH-000403,-0.67782732161
ACH-000404,-0.8428161945550001
ACH-000406,-0.729443910805
ACH-000407,-0.555349799783
ACH-000408,-0.37532202577699997
ACH-000410,-0.6564010706260001
ACH-000411,-0.8689448858709999
ACH-000414,-0.63953640003
ACH-000415,-0.767416113948
ACH-000416,-0.44674575597099997
ACH-000420,-0.603670238012
ACH-000421,-0.741063838607
ACH-000424,-0.711814832798
ACH-000425,-1.01757380142
ACH-000426,-0.33240959539000003
ACH-000427,-0.714703752859
ACH-000433,-1.09588341418
ACH-000436,-0.275901825925
ACH-000444,-0.861392686994
ACH-000445,-0.9370315445720001
ACH-000448,-0.745779591926
ACH-000450,-0.41912209629
ACH-000452,-0.37704772940700004
ACH-000454,-0.570795543599
ACH-000458,-0.46819078439499995
ACH-000459,-0.276077143292
ACH-000460,-0.561969266685
ACH-000461,-0.5408603797529999
ACH-000463,-0.5048229079209999
ACH-000464,-0.428362688313
ACH-000466,-0.48717937206100004
ACH-000467,-0.6559137690160001
ACH-000468,-0.541312241168
ACH-000469,-0.741221270478
ACH-000470,-0.325095729174
ACH-000471,-0.625694655739
ACH-000472,-0.403901784062
ACH-000473,-0.358144450833
ACH-000475,-0.144482756446
ACH-000476,-0.352784497136
ACH-000477,-0.885309592913
ACH-000480,-0.594093697678
ACH-000481,-0.640452759426
ACH-000483,-0.407019402024
ACH-000484,-0.2473547182
ACH-000485,-0.546210170544
ACH-000486,-0.717837757302
ACH-000487,-0.615639473723
ACH-000488,-0.463135208029
ACH-000490,-0.57863101862
ACH-000491,-0.459221211548
ACH-000495,-0.615490210052
ACH-000496,-0.697171121775
ACH-000499,-0.44770855003300003
ACH-000500,-0.179847128913
ACH-000502,-0.7806850125579999
ACH-000503,-0.7401683235500001
ACH-000505,-0.45040693411399996
ACH-000507,-0.38486766013000007
ACH-000510,-0.616950979221
ACH-000511,-0.633594403774
ACH-000512,-0.263647734826
ACH-000516,-0.561638569342
ACH-000517,-0.37569236514
ACH-000518,-0.485218776092
ACH-000520,-0.7000037349770001
