,SFSWAP (6433)
ACH-000004,-0.9539841160570001
ACH-000007,-0.541629017653
ACH-000009,-1.01942029577
ACH-000011,-1.06481014328
ACH-000012,-0.791591189939
ACH-000013,-0.680344654092
ACH-000014,-0.652048807621
ACH-000015,-0.7838225222699999
ACH-000017,-0.578885731523
ACH-000018,-0.765645964676
ACH-000019,-0.656099971269
ACH-000021,-1.0241536230700001
ACH-000022,-0.606819704343
ACH-000025,-0.679441596934
ACH-000028,-0.843303170469
ACH-000030,-0.7904810541249999
ACH-000035,-0.637307111641
ACH-000036,-0.993277001635
ACH-000037,-0.824030845674
ACH-000039,-0.572013024265
ACH-000040,-0.868155801979
ACH-000041,-0.698778514479
ACH-000042,-0.977548716492
ACH-000045,-0.967248079983
ACH-000047,-0.637546817925
ACH-000052,-0.7823413276510001
ACH-000053,-0.755813488249
ACH-000054,-0.627450520909
ACH-000055,-0.623782487126
ACH-000060,-0.645956510628
ACH-000067,-0.9228128447600001
ACH-000070,-0.770823846167
ACH-000075,-0.600906868417
ACH-000078,-1.02647218426
ACH-000082,-0.7676202289480001
ACH-000085,-1.00134100236
ACH-000086,-0.771238369395
ACH-000087,-0.82861427708
ACH-000092,-0.6536049509040001
ACH-000095,-0.7873845385959999
ACH-000097,-0.8283401521860001
ACH-000098,-0.5838382278109999
ACH-000099,-0.7734532233239999
ACH-000108,-0.965446691958
ACH-000113,-0.7441711271960001
ACH-000115,-1.00859080053
ACH-000116,-0.7380122359129999
ACH-000118,-0.861584799932
ACH-000120,-0.864740342141
ACH-000123,-0.8802200868100001
ACH-000127,-0.784097539008
ACH-000128,-0.693983052216
ACH-000132,-0.605834603316
ACH-000133,-0.885764857108
ACH-000137,-1.0295850135299998
ACH-000138,-0.721295462649
ACH-000142,-0.641490874373
ACH-000143,-0.7074861668369999
ACH-000146,-1.05799725361
ACH-000148,-0.684866420739
ACH-000150,-0.9264794979009999
ACH-000152,-1.27642570232
ACH-000153,-0.631525220758
ACH-000159,-0.6071792573100001
ACH-000160,-0.729593646932
ACH-000163,-1.1528228014
ACH-000167,-0.7742263799789999
ACH-000168,-1.0605105581799998
ACH-000169,-0.716439929276
ACH-000178,-0.704483606529
ACH-000182,-0.760120157095
ACH-000183,-0.722250323101
ACH-000188,-0.794822243989
ACH-000189,-1.09759779347
ACH-000190,-0.811712640315
ACH-000198,-0.779940933523
ACH-000204,-0.735538819359
ACH-000206,-0.858129301486
ACH-000207,-0.598141650666
ACH-000211,-0.7278551673360001
ACH-000215,-0.9401032700149999
ACH-000221,-0.731578052234
ACH-000222,-0.70590746337
ACH-000223,-0.9860759907080001
ACH-000226,-1.0089969134299999
ACH-000227,-0.657424666118
ACH-000228,-0.663814469823
ACH-000231,-0.7634555688510001
ACH-000232,-0.563141014582
ACH-000233,-0.859813100944
ACH-000234,-0.734179020806
ACH-000235,-0.7819914028530001
ACH-000237,-0.985610882231
ACH-000238,-0.871303736852
ACH-000243,-0.571216867981
ACH-000244,-0.8188036405470001
ACH-000246,-1.02075913206
ACH-000248,-0.919434621477
ACH-000250,-0.818319230737
ACH-000251,-0.7148528874719999
ACH-000253,-0.721189076673
ACH-000255,-0.72447168183
ACH-000256,-0.7819786697750001
ACH-000257,-0.716263065844
ACH-000258,-1.40890747471
ACH-000259,-0.7659844353730001
ACH-000260,-0.616371803552
ACH-000261,-0.69824067512
ACH-000262,-0.537497957099
ACH-000263,-0.709121862806
ACH-000264,-0.878345181213
ACH-000265,-0.678556845768
ACH-000266,-1.1296397146600001
ACH-000272,-0.54757945863
ACH-000273,-0.8173774448989999
ACH-000274,-0.882306198994
ACH-000277,-0.8384773961669999
ACH-000278,-1.07109797006
ACH-000279,-0.724060250721
ACH-000280,-0.8250158556460001
ACH-000281,-0.773060310376
ACH-000288,-0.766124690661
ACH-000291,-0.7290499706300001
ACH-000293,-0.817709776475
ACH-000294,-0.744444325494
ACH-000295,-0.534073239011
ACH-000296,-1.29305663824
ACH-000302,-0.9461425622190001
ACH-000304,-0.7365999259649999
ACH-000307,-0.8270822683750001
ACH-000308,-0.9581172719509999
ACH-000310,-0.6870664248270001
ACH-000311,-0.723103721075
ACH-000312,-0.816115904569
ACH-000315,-0.7441229571469999
ACH-000316,-0.604994619438
ACH-000317,-0.7484368762100001
ACH-000318,-0.7427035386220001
ACH-000319,-0.8005027944059999
ACH-000320,-0.847893618603
ACH-000322,-0.705594864816
ACH-000323,-0.775564974421
ACH-000324,-0.970988559959
ACH-000329,-0.775538947659
ACH-000330,-0.8636826955310001
ACH-000331,-0.825659231335
ACH-000332,-0.7060143701870001
ACH-000334,-0.962338926307
ACH-000335,-0.43860526214100004
ACH-000336,-0.666113651195
ACH-000337,-0.7605445859829999
ACH-000339,-0.787175918028
ACH-000341,-0.31252889355
ACH-000348,-0.7641427628030001
