,SHMT2 (6472)
ACH-000004,-0.434526694317
ACH-000007,-0.308155974537
ACH-000009,-0.170089130396
ACH-000011,-0.462662923175
ACH-000012,-0.210627528576
ACH-000013,-0.318764450409
ACH-000014,-0.17806219460499997
ACH-000015,-0.263501847339
ACH-000017,-0.16627240193099999
ACH-000018,-0.365587562713
ACH-000019,-0.28256860856
ACH-000021,-0.315445472498
ACH-000022,-0.15040367618
ACH-000025,-0.203383052425
ACH-000028,-0.174637434002
ACH-000030,-0.208104284659
ACH-000035,-0.319113782189
ACH-000036,-0.150336476374
ACH-000037,-0.5039813373300001
ACH-000039,-0.32346000359
ACH-000040,-0.329131393958
ACH-000041,-0.583245017696
ACH-000042,-0.284506354497
ACH-000045,0.0380232589854
ACH-000047,-0.197395759492
ACH-000052,-0.19922576210700002
ACH-000053,-0.346940289924
ACH-000054,-0.016357828735
ACH-000055,0.0532238317858
ACH-000060,0.0700997374627
ACH-000067,-0.315864178164
ACH-000070,-0.256993124749
ACH-000075,-0.145876141159
ACH-000078,-0.183935734343
ACH-000082,-0.308001752291
ACH-000085,-0.223122446446
ACH-000086,-0.329165197042
ACH-000087,-0.457437476324
ACH-000092,-0.223529307992
ACH-000095,-0.07124062579769999
ACH-000097,-0.276227506312
ACH-000098,-0.0758594770556
ACH-000099,-0.0681157191163
ACH-000108,-0.0331915742855
ACH-000113,-0.25157692594000003
ACH-000115,-0.353527257759
ACH-000116,-0.08228795722910001
ACH-000118,-0.238708478656
ACH-000120,-0.052732923348699993
ACH-000123,-0.168499086694
ACH-000127,-0.207533770343
ACH-000128,-0.27629230207
ACH-000132,0.0636201130698
ACH-000133,-0.356372231954
ACH-000137,-0.392208172829
ACH-000138,-0.308860473485
ACH-000142,-0.149452014549
ACH-000143,-0.14911037386499998
ACH-000146,-0.28540120323199997
ACH-000148,-0.26376791404100003
ACH-000150,-0.34335669506899996
ACH-000152,-0.286177089133
ACH-000153,-0.315822918448
ACH-000159,-0.300184813938
ACH-000160,-0.288309316539
ACH-000163,-0.41386960141199997
ACH-000167,-0.156314200929
ACH-000168,-0.272269594266
ACH-000169,-0.229886031688
ACH-000178,-0.21911055360399997
ACH-000182,-0.0715936147243
ACH-000183,-0.0813851918427
ACH-000188,-0.206184483847
ACH-000189,-0.708929051709
ACH-000190,-0.133017148601
ACH-000198,-0.684037320853
ACH-000204,-0.154288626599
ACH-000206,-0.645968094667
ACH-000207,0.013354684527300001
ACH-000211,-0.133466344691
ACH-000215,-0.19537300289
ACH-000221,-0.107321855556
ACH-000222,-0.421576287346
ACH-000223,-0.1458812926
ACH-000226,-0.470379457998
ACH-000227,-0.140862001771
ACH-000228,-0.26261658206300004
ACH-000231,-0.262586723359
ACH-000232,-0.140759672283
ACH-000233,-0.294606113794
ACH-000234,-0.511443163271
ACH-000235,-0.331066582516
ACH-000237,-0.151681365501
ACH-000238,-0.39841936570799996
ACH-000243,-0.284294531936
ACH-000244,0.0101759531496
ACH-000246,-0.207531700821
ACH-000248,-0.49090256759900003
ACH-000250,-0.318065624201
ACH-000251,-0.200956979015
ACH-000253,-0.42597848582
ACH-000255,0.00035887626136800005
ACH-000256,-0.14710086500999997
ACH-000257,-0.225020948214
ACH-000258,-0.23416150364500002
