,SLAIN1 (122060)
ACH-000004,-0.06014108017059999
ACH-000007,-0.26268636416200003
ACH-000009,0.0324429845632
ACH-000011,0.211823133345
ACH-000012,0.0650364575131
ACH-000013,0.11364384094100001
ACH-000014,0.107844362005
ACH-000015,-0.00540403416016
ACH-000017,-0.0225829701484
ACH-000018,-0.176826264831
ACH-000019,0.0101152829736
ACH-000021,0.125963231403
ACH-000022,0.13919581705700002
ACH-000025,-0.023186632705299998
ACH-000028,-0.05423307513730001
ACH-000030,-0.025914267497099998
ACH-000035,0.150000813157
ACH-000036,0.0594274116892
ACH-000037,0.165438304133
ACH-000039,-0.13595970238900001
ACH-000040,0.18972771751200002
ACH-000041,0.0469873406202
ACH-000042,-0.0371796526443
ACH-000045,0.17100757634799998
ACH-000047,0.130612323595
ACH-000052,0.320270744822
ACH-000053,0.0573323203488
ACH-000054,0.040999255014199994
ACH-000055,0.0458441625207
ACH-000060,-0.0659166598932
ACH-000067,-0.0574783519945
ACH-000070,0.176688060212
ACH-000075,0.158552778717
ACH-000078,-0.00953786827928
ACH-000082,-0.0052179151075800005
ACH-000085,0.198677664113
ACH-000086,0.0661704966101
ACH-000087,0.0537448933466
ACH-000092,0.200868236668
ACH-000095,0.055443248778400005
ACH-000097,0.021092762966900002
ACH-000098,0.110480696107
ACH-000099,0.11984459819700001
ACH-000108,-0.00549626770997
ACH-000113,0.014206418080500001
ACH-000115,0.045189946166
ACH-000116,0.10561854580800001
ACH-000118,0.18611996667199998
ACH-000120,0.128405376179
ACH-000123,0.23184468251200002
ACH-000127,0.103665273829
ACH-000128,0.225681283777
ACH-000132,-0.0205802521482
ACH-000133,-0.017507087962099998
ACH-000137,-0.009159890050959999
ACH-000138,0.199103639186
ACH-000142,0.033297963794200004
ACH-000143,-0.005319176072859999
ACH-000146,0.19444838444
ACH-000148,0.000145102882361
ACH-000150,-0.0399634923333
ACH-000152,-0.144662434507
ACH-000153,-0.0614491676998
ACH-000159,-0.07017055659230001
ACH-000160,0.162780541139
ACH-000163,0.09510331089810001
ACH-000167,-0.0710546281046
ACH-000168,0.0873530112381
ACH-000169,-0.0327428307397
ACH-000178,0.06466761839139999
ACH-000182,-0.041924489487699994
ACH-000183,0.146686346887
ACH-000188,0.14745181741
ACH-000189,0.24879433335099999
ACH-000190,0.26258505091999995
ACH-000198,0.0035254680131
ACH-000204,0.18097598503600001
ACH-000206,-0.23178628040899998
ACH-000207,0.14850501447699999
ACH-000211,0.0731010596515
ACH-000215,0.10336561538999998
ACH-000221,0.0171245349063
ACH-000222,-0.101819021866
ACH-000223,0.10662010799100001
ACH-000226,0.0702819462563
ACH-000227,0.128949259484
ACH-000228,-0.0760233195069
ACH-000231,-0.0202045031877
ACH-000232,0.00670038810774
ACH-000233,0.12608072298599998
ACH-000234,0.24245581137400002
ACH-000235,0.0208556850597
ACH-000237,0.0721634295194
ACH-000238,-0.113105286386
ACH-000243,0.152156791219
ACH-000244,0.28675968532900004
ACH-000246,0.0650538443377
ACH-000248,0.12272838214199999
ACH-000250,0.0418449189634
ACH-000251,-0.007411213478529999
ACH-000253,0.18174584651099998
ACH-000255,0.217658859658
ACH-000256,0.172022119205
ACH-000257,-0.0485420785249
ACH-000258,-0.136681870792
ACH-000259,0.0015614332086199998
ACH-000260,0.0307372684993
ACH-000261,0.0795065512479
ACH-000262,0.20160640756700002
ACH-000263,-0.046552030689900006
ACH-000264,0.0286603339007
ACH-000265,0.0495901165823
ACH-000266,0.14578855175
ACH-000272,0.10053281079500001
ACH-000273,-0.01651772315
ACH-000274,-0.0263827671143
ACH-000277,-0.00681191140865
ACH-000278,0.064333205224
ACH-000279,0.0226944715668
ACH-000280,0.17659592322999998
ACH-000281,0.0628738209858
ACH-000288,0.0539238846788
ACH-000291,0.111106750373
ACH-000293,0.067521240377
ACH-000294,0.03727346457069999
ACH-000295,-0.201428499331
ACH-000296,-0.0868949613654
ACH-000302,0.0476191197772
ACH-000304,0.0339241446724
ACH-000307,0.106360674547
ACH-000308,0.0539663325824
ACH-000310,-0.16850458549800001
ACH-000311,0.033893842024
ACH-000312,0.17205390821699998
ACH-000315,0.136546737479
ACH-000316,0.218016016786
ACH-000317,0.09683334057660001
ACH-000318,-0.0438834159686
ACH-000319,0.327791875567
ACH-000320,0.11507062921399999
ACH-000322,-0.028829721823
ACH-000323,0.08571726777010001
ACH-000324,0.056131446989500004
ACH-000329,0.243243866956
ACH-000330,0.26466287667
ACH-000331,-0.0216457454231
ACH-000332,0.127701303343
ACH-000334,0.0765206646208
ACH-000335,-0.009061066739959999
ACH-000336,0.26377994523299997
ACH-000337,0.0174490717117
ACH-000339,0.0730022370814
ACH-000341,-0.10238858950799999
ACH-000348,0.128008011405
ACH-000350,0.160439115827
ACH-000352,-0.00981138167731
ACH-000356,0.174559979892
ACH-000361,0.185164485612
ACH-000362,0.0835713755787
ACH-000363,0.017199003435799998
ACH-000364,0.0612957773165
ACH-000365,0.010150175645600001
ACH-000366,0.202901560928
ACH-000368,0.12438969833499999
ACH-000374,0.0874178525264
ACH-000375,0.260769481851
ACH-000376,0.09138448345969999
ACH-000381,0.133451091573
ACH-000383,4.48052435339e-05
ACH-000387,0.0693264641795
ACH-000389,-0.0131942403638
ACH-000390,0.0323846630502
ACH-000393,0.0861441248557
ACH-000395,-0.12158525703199999
ACH-000397,0.210736713252
ACH-000401,0.22622996856199998
ACH-000402,0.014754442072199999
ACH-000403,0.0720738942321
ACH-000404,0.042117517396
ACH-000406,0.04697437624
ACH-000407,0.114540834585
ACH-000408,0.127818046052
ACH-000410,0.023593940626500002
ACH-000411,0.118957014274
ACH-000414,-0.0196167597713
ACH-000415,0.0050779500791899995
ACH-000416,0.025583642009799998
ACH-000420,0.0364323732187
ACH-000421,0.10501186636399999
ACH-000424,-0.31719273463000003
ACH-000425,0.125776381805
ACH-000426,0.323022311334
ACH-000427,0.220616813985
ACH-000433,0.0878733328663
ACH-000436,0.0960813439384
ACH-000444,-0.027305539281799997
ACH-000445,-0.0010789166735999999
ACH-000448,-0.0009636675177839999
ACH-000450,0.0672389623183
ACH-000452,0.18619825020199998
ACH-000454,0.106156419967
ACH-000458,0.0532866123252
ACH-000459,0.021262718398
ACH-000460,0.041055139802099995
ACH-000461,0.125954863115
ACH-000463,0.151628403986
ACH-000464,0.132958236631
ACH-000466,-0.10940674775499999
ACH-000467,-0.03520249426
ACH-000468,0.245556235126
ACH-000469,0.0937169327584
ACH-000470,-0.0244803100031
ACH-000471,0.0824470847844
ACH-000472,0.167461844625
ACH-000473,0.148975238578
ACH-000475,0.033661454224400006
ACH-000476,0.148349076844
ACH-000477,-0.143407073533
ACH-000480,-0.07572582789099999
ACH-000481,0.00184918007676
ACH-000483,0.213817989766
ACH-000484,0.009510594984
ACH-000485,0.20999925287300003
ACH-000486,0.00769189265182
ACH-000487,-0.00829065814068
ACH-000488,-0.06277627542690001
ACH-000490,0.231658841937
ACH-000491,0.0769892725393
ACH-000495,-0.09797216654989999
ACH-000496,0.0330713970671
ACH-000499,0.050581025259
ACH-000500,-0.0971276667267
ACH-000502,0.111322076765
ACH-000503,0.254012045477
ACH-000505,0.0438671849446
ACH-000507,0.0871303318561
ACH-000510,0.025014269819
ACH-000511,-0.0967382502527
ACH-000512,0.149960123627
ACH-000516,0.274544243087
ACH-000517,0.0805196226332
ACH-000518,0.103078888589
ACH-000520,-0.00039550911498200005
ACH-000521,0.08880958753820001
ACH-000522,0.0033676445050600003
ACH-000524,0.161281101277
ACH-000527,0.015055497461700002
ACH-000528,0.14024439168199998
ACH-000537,0.0975121089158
ACH-000541,0.0275431466538
ACH-000542,0.0327161161757
ACH-000544,-0.046965843880199996
ACH-000545,-0.09421397171399999
ACH-000547,0.12352127771
ACH-000548,-0.132075520341
ACH-000549,-0.124029900879
ACH-000550,0.191035369317
ACH-000552,0.0865354590783
ACH-000556,0.0976509444738
ACH-000557,-0.0506578518919
ACH-000570,0.121588606828
ACH-000571,0.135053276395
ACH-000573,0.06677498658009999
ACH-000576,0.052652104286099996
ACH-000580,-0.202678369863
ACH-000584,-0.0193599885775
ACH-000585,0.11148436262499999
ACH-000588,0.0240819726361
ACH-000589,0.193791730209
ACH-000591,-0.18959161567699997
ACH-000593,0.0424562060429
ACH-000600,0.0322310007373
ACH-000601,0.0631239006919
ACH-000604,0.21511122151599998
ACH-000605,-0.042287303574
ACH-000606,0.117754434482
ACH-000608,0.0818040841387
ACH-000614,0.171751969476
