,RPP14 (11102)
ACH-000004,-1.26046819205
ACH-000007,-0.922072786061
ACH-000009,-1.33229628593
ACH-000011,-1.12208799194
ACH-000012,-0.9548476616299999
ACH-000013,-0.9893393494149999
ACH-000014,-0.949272403024
ACH-000015,-1.1173574631299998
ACH-000017,-1.28507959265
ACH-000018,-1.15096087775
ACH-000019,-1.30293931502
ACH-000021,-1.04388464674
ACH-000022,-1.0852006408200001
ACH-000025,-1.13772669958
ACH-000028,-0.9051177373170001
ACH-000030,-1.18689495877
ACH-000035,-1.11566885729
ACH-000036,-1.13580701547
ACH-000037,-1.0813871028
ACH-000039,-1.08418164043
ACH-000040,-1.0573043394200001
ACH-000041,-1.09230531842
ACH-000042,-1.42146787023
ACH-000045,-0.899142729785
ACH-000047,-0.917564944497
ACH-000052,-1.270914615
ACH-000053,-1.15898819487
ACH-000054,-1.01294775922
ACH-000055,-1.21801249169
ACH-000060,-1.41862919352
ACH-000067,-1.1271029659899998
ACH-000070,-1.06863056527
ACH-000075,-1.33402723339
ACH-000078,-1.07924034284
ACH-000082,-0.731600211111
ACH-000085,-1.17099814483
ACH-000086,-1.0474392667499999
ACH-000087,-0.716753635095
ACH-000092,-1.0174573877600002
ACH-000095,-1.24935885661
ACH-000097,-1.05488024581
ACH-000098,-1.02793140316
ACH-000099,-0.9363094690870001
ACH-000108,-1.10866002848
ACH-000113,-1.2188892688600002
ACH-000115,-0.819150181329
ACH-000116,-1.1585399681100002
ACH-000118,-0.885549873933
ACH-000120,-0.8532516675030001
ACH-000123,-1.01360775271
ACH-000127,-0.903755877364
ACH-000128,-0.88697626987
ACH-000132,-0.902199089993
ACH-000133,-0.970889318539
ACH-000137,-1.29020476577
ACH-000138,-1.32772919125
ACH-000142,-1.3825515367299999
ACH-000143,-0.9633652377840001
ACH-000146,-0.85124440146
ACH-000148,-1.09120859365
ACH-000150,-1.2161893239700001
ACH-000152,-1.0805453811
ACH-000153,-1.13618820657
